No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
260,20221230,EPAC,50.0,0.0,50.0,50.0,50.0,15400.0,0.0,770000.0,3.0,50.0,33523000.0,0.0,0.0,0.0,0.0
260,20230102,EPAC,50.0,0.0,50.0,50.0,50.0,800.0,0.0,40000.0,4.0,50.0,30182500.0,0.0,0.0,0.0,0.0
260,20230103,EPAC,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,35208800.0,0.0,0.0,0.0,0.0
260,20230104,EPAC,50.0,0.0,50.0,50.0,50.0,900.0,0.0,45000.0,6.0,50.0,36112400.0,0.0,0.0,0.0,0.0
260,20230105,EPAC,50.0,0.0,50.0,50.0,50.0,3100.0,0.0,155000.0,2.0,50.0,36853200.0,0.0,0.0,0.0,0.0
263,20230106,EPAC,50.0,0.0,50.0,50.0,50.0,700.0,0.0,35000.0,2.0,50.0,30981000.0,0.0,0.0,0.0,0.0
264,20230109,EPAC,50.0,0.0,50.0,50.0,50.0,20300.0,0.0,1015000.0,3.0,50.0,34509300.0,0.0,0.0,0.0,0.0
264,20230110,EPAC,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,33781400.0,0.0,0.0,0.0,0.0
265,20230111,EPAC,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,38050600.0,0.0,0.0,0.0,0.0
265,20230112,EPAC,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,1.0,50.0,30928000.0,0.0,0.0,0.0,0.0
265,20230113,EPAC,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,33524900.0,0.0,0.0,0.0,0.0
265,20230116,EPAC,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,29895800.0,0.0,0.0,0.0,0.0
265,20230117,EPAC,50.0,0.0,50.0,50.0,50.0,300.0,0.0,15000.0,2.0,50.0,29013600.0,0.0,0.0,0.0,100.0
265,20230118,EPAC,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,30215300.0,0.0,0.0,0.0,0.0
265,20230119,EPAC,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,37071400.0,0.0,0.0,0.0,0.0
265,20230120,EPAC,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,28668700.0,0.0,0.0,0.0,0.0
265,20230124,EPAC,50.0,0.0,50.0,50.0,50.0,1100.0,0.0,55000.0,2.0,50.0,32366800.0,0.0,0.0,0.0,0.0
265,20230125,EPAC,50.0,0.0,50.0,50.0,50.0,9800.0,0.0,490000.0,11.0,50.0,29730200.0,0.0,0.0,0.0,0.0
265,20230126,EPAC,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,31097500.0,0.0,0.0,0.0,0.0
265,20230127,EPAC,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,30994500.0,0.0,0.0,0.0,0.0
265,20230130,EPAC,50.0,0.0,50.0,50.0,50.0,2000.0,0.0,100000.0,1.0,50.0,34843100.0,0.0,0.0,0.0,0.0
265,20230131,EPAC,50.0,0.0,50.0,50.0,50.0,190700.0,0.0,9535000.0,5.0,50.0,31691400.0,0.0,0.0,0.0,0.0
265,20230201,EPAC,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,32921600.0,0.0,0.0,0.0,0.0
265,20230202,EPAC,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,24119600.0,0.0,0.0,0.0,0.0
265,20230203,EPAC,50.0,0.0,50.0,50.0,50.0,1100.0,0.0,55000.0,4.0,50.0,29211300.0,0.0,0.0,0.0,0.0
265,20230206,EPAC,50.0,0.0,50.0,50.0,50.0,17400.0,0.0,870000.0,3.0,50.0,30419000.0,0.0,0.0,0.0,0.0
265,20230207,EPAC,50.0,0.0,50.0,50.0,50.0,1600.0,0.0,80000.0,2.0,50.0,28757300.0,0.0,0.0,0.0,0.0
266,20230208,EPAC,50.0,0.0,50.0,50.0,50.0,800.0,0.0,40000.0,2.0,50.0,28839800.0,0.0,0.0,0.0,0.0
