No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
261,20221230,EPMT,2680.0,0.0,2750.0,2690.0,2750.0,54300.0,70.0,148828000.0,45.0,2750.0,10300.0,2700.0,10000.0,0.0,0.0
261,20230102,EPMT,2750.0,0.0,2750.0,2720.0,2740.0,6500.0,-10.0,17779000.0,15.0,2740.0,1400.0,2720.0,300.0,0.0,0.0
261,20230103,EPMT,2740.0,0.0,2750.0,2740.0,2750.0,600.0,10.0,1646000.0,5.0,2740.0,8700.0,2700.0,13300.0,0.0,0.0
261,20230104,EPMT,2750.0,0.0,2740.0,2690.0,2690.0,7600.0,-60.0,20553000.0,21.0,2700.0,1300.0,2690.0,24300.0,400.0,2300.0
261,20230105,EPMT,2690.0,0.0,2720.0,2680.0,2720.0,14600.0,30.0,39204000.0,29.0,2720.0,700.0,2680.0,1500.0,0.0,100.0
264,20230106,EPMT,2720.0,0.0,2720.0,2700.0,2720.0,2000.0,0.0,5430000.0,7.0,2720.0,7000.0,2700.0,200.0,0.0,0.0
265,20230109,EPMT,2720.0,0.0,2800.0,2700.0,2730.0,23900.0,10.0,65439000.0,26.0,2720.0,300.0,2700.0,11000.0,0.0,0.0
265,20230110,EPMT,2730.0,0.0,2720.0,2700.0,2720.0,6300.0,-10.0,17090000.0,18.0,2720.0,200.0,2700.0,17000.0,0.0,0.0
266,20230111,EPMT,2720.0,0.0,2760.0,2740.0,2740.0,95800.0,20.0,263541000.0,65.0,2740.0,2500.0,2720.0,5400.0,0.0,90800.0
266,20230112,EPMT,2740.0,0.0,2750.0,2700.0,2740.0,12700.0,0.0,34764000.0,19.0,2750.0,5800.0,2740.0,12600.0,0.0,7400.0
266,20230113,EPMT,2740.0,0.0,2750.0,2720.0,2720.0,23400.0,-20.0,64121000.0,18.0,2740.0,14700.0,2720.0,900.0,0.0,12600.0
266,20230116,EPMT,2720.0,0.0,2750.0,2700.0,2700.0,5300.0,-20.0,14363000.0,20.0,2740.0,300.0,2700.0,16200.0,0.0,0.0
266,20230117,EPMT,2700.0,0.0,2740.0,2700.0,2740.0,1100.0,40.0,2974000.0,6.0,2740.0,1500.0,2700.0,6400.0,0.0,0.0
266,20230118,EPMT,2740.0,0.0,2740.0,2730.0,2740.0,1300.0,0.0,3552000.0,7.0,2740.0,2300.0,2730.0,100.0,0.0,0.0
266,20230119,EPMT,2740.0,0.0,2740.0,2740.0,2740.0,16700.0,0.0,45758000.0,14.0,2740.0,300.0,2730.0,100.0,200.0,0.0
266,20230120,EPMT,2740.0,0.0,2730.0,2710.0,2730.0,2700.0,-10.0,7321000.0,5.0,2740.0,2400.0,2730.0,2500.0,0.0,0.0
266,20230124,EPMT,2730.0,0.0,2730.0,2710.0,2720.0,3600.0,-10.0,9793000.0,9.0,2730.0,500.0,2720.0,3000.0,0.0,0.0
266,20230125,EPMT,2720.0,0.0,2740.0,2730.0,2740.0,6700.0,20.0,18345000.0,14.0,2750.0,4000.0,2740.0,100.0,0.0,0.0
266,20230126,EPMT,2740.0,0.0,2750.0,2730.0,2740.0,2000.0,0.0,5488000.0,10.0,2750.0,5800.0,2720.0,24100.0,0.0,0.0
266,20230127,EPMT,2740.0,0.0,2750.0,2740.0,2740.0,2900.0,0.0,7970000.0,10.0,2750.0,5600.0,2730.0,3100.0,300.0,0.0
