No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
265,20221230,ESSA,920.0,0.0,945.0,915.0,915.0,8680300.0,-5.0,8035641500.0,10464.0,915.0,10800.0,910.0,820500.0,305600.0,1888500.0
265,20230102,ESSA,915.0,0.0,925.0,915.0,920.0,1594000.0,5.0,1464860000.0,589.0,920.0,274300.0,915.0,363900.0,9900.0,65700.0
265,20230103,ESSA,920.0,0.0,960.0,915.0,925.0,20189400.0,5.0,18806540000.0,2651.0,925.0,989800.0,920.0,45200.0,974700.0,3734800.0
265,20230104,ESSA,925.0,0.0,940.0,900.0,905.0,9637800.0,-20.0,8870438500.0,1777.0,905.0,71400.0,900.0,209700.0,361600.0,2222400.0
265,20230105,ESSA,905.0,0.0,920.0,845.0,845.0,25501700.0,-60.0,21941990000.0,3449.0,845.0,2229600.0,0.0,0.0,923500.0,7388900.0
268,20230106,ESSA,845.0,0.0,845.0,790.0,795.0,31564300.0,-50.0,25450413000.0,3204.0,795.0,188500.0,790.0,1489400.0,582900.0,5567700.0
269,20230109,ESSA,795.0,0.0,830.0,800.0,825.0,10984200.0,30.0,8962210500.0,1925.0,825.0,549600.0,820.0,9700.0,1811300.0,4215000.0
269,20230110,ESSA,825.0,0.0,850.0,810.0,835.0,6357300.0,10.0,5264411000.0,1446.0,840.0,24600.0,835.0,344800.0,816600.0,2076900.0
270,20230111,ESSA,835.0,0.0,845.0,815.0,840.0,8886400.0,5.0,7364827000.0,1920.0,840.0,472200.0,825.0,500.0,2764500.0,3854400.0
270,20230112,ESSA,840.0,0.0,840.0,810.0,825.0,15272300.0,-15.0,12613925000.0,2408.0,825.0,85100.0,820.0,45100.0,1557500.0,8068400.0
270,20230113,ESSA,825.0,0.0,890.0,825.0,890.0,25248800.0,65.0,21888953000.0,3376.0,890.0,468300.0,885.0,96000.0,2116600.0,8385200.0
270,20230116,ESSA,890.0,0.0,950.0,890.0,930.0,35844200.0,40.0,33162055000.0,3568.0,935.0,5700.0,930.0,124100.0,5091500.0,8732300.0
270,20230117,ESSA,930.0,0.0,970.0,935.0,965.0,27416900.0,35.0,26162317000.0,3182.0,965.0,733600.0,960.0,395400.0,3072800.0,9153100.0
270,20230118,ESSA,965.0,0.0,970.0,940.0,960.0,13252800.0,-5.0,12658393000.0,2522.0,965.0,206500.0,960.0,459900.0,2623400.0,6147600.0
270,20230119,ESSA,960.0,0.0,980.0,955.0,975.0,10523000.0,15.0,10202418500.0,2144.0,980.0,1942100.0,975.0,160900.0,3980600.0,5479100.0
270,20230120,ESSA,975.0,0.0,985.0,965.0,980.0,14928700.0,5.0,14564813000.0,3779.0,980.0,1445400.0,975.0,10200.0,3235300.0,5881900.0
