No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
267,20221230,ESTI,53.0,0.0,58.0,52.0,53.0,1896700.0,0.0,101977700.0,497.0,53.0,142600.0,52.0,567700.0,282100.0,0.0
267,20230102,ESTI,53.0,0.0,56.0,52.0,54.0,723800.0,1.0,38447600.0,139.0,54.0,371500.0,53.0,1800.0,108300.0,0.0
267,20230103,ESTI,54.0,0.0,54.0,52.0,52.0,2292000.0,-2.0,120611000.0,248.0,53.0,3000.0,52.0,143900.0,308000.0,0.0
267,20230104,ESTI,52.0,0.0,55.0,51.0,51.0,2091600.0,-1.0,107497000.0,243.0,52.0,389300.0,51.0,175400.0,252500.0,0.0
267,20230105,ESTI,51.0,0.0,55.0,50.0,50.0,11152500.0,-1.0,558018800.0,312.0,50.0,1800000.0,0.0,0.0,896500.0,0.0
270,20230106,ESTI,50.0,0.0,50.0,50.0,50.0,147500.0,0.0,7375000.0,39.0,50.0,2553300.0,0.0,0.0,0.0,0.0
271,20230109,ESTI,50.0,0.0,51.0,50.0,50.0,4166000.0,0.0,208376600.0,132.0,51.0,426000.0,50.0,456100.0,0.0,0.0
271,20230110,ESTI,50.0,0.0,51.0,50.0,50.0,2575900.0,0.0,128797200.0,91.0,50.0,27500.0,0.0,0.0,0.0,0.0
272,20230111,ESTI,50.0,0.0,51.0,50.0,50.0,2281700.0,0.0,114085200.0,41.0,51.0,753500.0,50.0,1254300.0,0.0,0.0
272,20230112,ESTI,50.0,0.0,51.0,50.0,51.0,768100.0,1.0,38460400.0,133.0,51.0,296200.0,50.0,728300.0,0.0,0.0
272,20230113,ESTI,51.0,0.0,52.0,50.0,52.0,896600.0,1.0,45648100.0,94.0,52.0,191000.0,51.0,83600.0,0.0,0.0
272,20230116,ESTI,52.0,0.0,52.0,50.0,51.0,662100.0,-1.0,33829000.0,95.0,51.0,258900.0,50.0,1157500.0,0.0,0.0
272,20230117,ESTI,51.0,0.0,51.0,50.0,51.0,216400.0,0.0,10995000.0,64.0,51.0,147300.0,50.0,1302000.0,0.0,0.0
272,20230118,ESTI,51.0,0.0,51.0,50.0,50.0,859000.0,-1.0,43031800.0,69.0,51.0,322800.0,50.0,660900.0,0.0,0.0
272,20230119,ESTI,50.0,0.0,51.0,50.0,51.0,162400.0,1.0,8205300.0,40.0,51.0,555700.0,50.0,867400.0,0.0,0.0
272,20230120,ESTI,51.0,0.0,51.0,50.0,51.0,811400.0,0.0,40788200.0,84.0,51.0,466300.0,50.0,162000.0,0.0,0.0
272,20230124,ESTI,51.0,0.0,51.0,50.0,51.0,381700.0,0.0,19133600.0,54.0,51.0,506900.0,50.0,1403400.0,0.0,0.0
272,20230125,ESTI,51.0,0.0,51.0,50.0,51.0,220100.0,0.0,11121000.0,46.0,51.0,475900.0,50.0,421600.0,0.0,0.0
272,20230126,ESTI,51.0,0.0,51.0,50.0,51.0,268100.0,0.0,13527700.0,57.0,51.0,559700.0,50.0,405200.0,0.0,0.0
272,20230127,ESTI,51.0,0.0,51.0,50.0,51.0,223000.0,0.0,11234000.0,40.0,51.0,513000.0,50.0,314300.0,0.0,0.0
272,20230130,ESTI,51.0,0.0,51.0,50.0,51.0,576000.0,0.0,28819900.0,62.0,51.0,680000.0,50.0,342600.0,0.0,0.0
272,20230131,ESTI,51.0,0.0,51.0,50.0,51.0,151400.0,0.0,7687200.0,28.0,51.0,932900.0,50.0,301700.0,0.0,0.0
272,20230201,ESTI,51.0,0.0,51.0,50.0,51.0,47100.0,0.0,2360100.0,23.0,51.0,765100.0,50.0,358700.0,0.0,0.0
272,20230202,ESTI,51.0,0.0,51.0,50.0,51.0,205900.0,0.0,10425300.0,37.0,51.0,717500.0,50.0,242900.0,0.0,0.0
272,20230203,ESTI,51.0,0.0,51.0,50.0,51.0,476000.0,0.0,23922500.0,102.0,51.0,659200.0,50.0,130800.0,0.0,0.0
272,20230206,ESTI,51.0,0.0,51.0,50.0,51.0,226100.0,0.0,11372500.0,63.0,51.0,988700.0,50.0,1241200.0,0.0,0.0
272,20230207,ESTI,51.0,0.0,51.0,50.0,51.0,361500.0,0.0,18089300.0,33.0,51.0,1192700.0,50.0,1021300.0,0.0,0.0
273,20230208,ESTI,51.0,0.0,51.0,50.0,51.0,1220600.0,0.0,61031700.0,77.0,51.0,1491200.0,50.0,31500.0,0.0,0.0
273,20230209,ESTI,51.0,0.0,51.0,50.0,51.0,153000.0,0.0,7653500.0,48.0,51.0,1153800.0,50.0,1305500.0,0.0,0.0
273,20230210,ESTI,51.0,0.0,51.0,50.0,50.0,1261300.0,-1.0,63067400.0,46.0,51.0,989300.0,50.0,347300.0,0.0,0.0
273,20230213,ESTI,50.0,0.0,51.0,50.0,51.0,536700.0,1.0,26837800.0,121.0,51.0,1114800.0,0.0,0.0,0.0,0.0
273,20230214,ESTI,51.0,0.0,51.0,50.0,51.0,254600.0,0.0,12731200.0,32.0,51.0,1346400.0,50.0,355200.0,0.0,0.0
273,20230215,ESTI,51.0,0.0,51.0,50.0,51.0,318800.0,0.0,15950500.0,29.0,51.0,1483600.0,50.0,264400.0,0.0,0.0
273,20230216,ESTI,51.0,0.0,51.0,50.0,50.0,183100.0,-1.0,9155300.0,24.0,51.0,986700.0,50.0,183400.0,0.0,0.0
