No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
270,20221230,EXCL,2140.0,2150.0,2180.0,2140.0,2140.0,11469100.0,0.0,24801784000.0,2270.0,2150.0,325400.0,2140.0,676200.0,3191400.0,2693500.0
270,20230102,EXCL,2140.0,2130.0,2170.0,2120.0,2170.0,8103500.0,30.0,17437827000.0,1224.0,2170.0,37100.0,2160.0,158800.0,825100.0,1647300.0
270,20230103,EXCL,2170.0,2170.0,2380.0,2170.0,2350.0,47003900.0,180.0,108372092000.0,8616.0,2350.0,350400.0,2340.0,9700.0,7578400.0,8660300.0
270,20230104,EXCL,2350.0,2340.0,2360.0,2310.0,2340.0,14348900.0,-10.0,33527616000.0,2979.0,2340.0,16000.0,2330.0,270800.0,5497800.0,627700.0
270,20230105,EXCL,2340.0,2340.0,2350.0,2200.0,2290.0,23833000.0,-50.0,53833075000.0,4769.0,2290.0,582000.0,2280.0,1000.0,7050100.0,6596500.0
273,20230106,EXCL,2290.0,2270.0,2280.0,2220.0,2260.0,14351800.0,-30.0,32343471000.0,2949.0,2260.0,55200.0,2250.0,113100.0,6696900.0,802900.0
274,20230109,EXCL,2260.0,2260.0,2320.0,2260.0,2290.0,10508400.0,30.0,24029335000.0,7171.0,2290.0,232300.0,2280.0,48800.0,2462100.0,284300.0
274,20230110,EXCL,2290.0,2290.0,2330.0,2280.0,2300.0,8301700.0,10.0,19092333000.0,5796.0,2300.0,234900.0,2290.0,81400.0,2071200.0,533500.0
275,20230111,EXCL,2300.0,2290.0,2340.0,2280.0,2320.0,10558600.0,20.0,24480553000.0,3178.0,2320.0,181900.0,2310.0,338000.0,4172700.0,474500.0
275,20230112,EXCL,2320.0,2320.0,2330.0,2260.0,2290.0,10035200.0,-30.0,23040663000.0,3702.0,2300.0,138800.0,2290.0,216000.0,2592700.0,1067700.0
275,20230113,EXCL,2290.0,2300.0,2300.0,2250.0,2270.0,5970600.0,-20.0,13527294000.0,2847.0,2270.0,24200.0,2260.0,217300.0,1147900.0,441800.0
275,20230116,EXCL,2270.0,2270.0,2350.0,2270.0,2290.0,15086000.0,20.0,34893322000.0,3433.0,2300.0,16500.0,2290.0,221500.0,3311400.0,4448700.0
275,20230117,EXCL,2290.0,2310.0,2340.0,2290.0,2300.0,12973000.0,10.0,30014503000.0,3605.0,2310.0,9400.0,2300.0,1641000.0,1880000.0,1832200.0
