No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
274,20221230,FILM,2050.0,0.0,1960.0,1910.0,1910.0,3507300.0,-140.0,6719814000.0,1184.0,1910.0,1495600.0,0.0,0.0,544000.0,144100.0
274,20230102,FILM,1910.0,0.0,1910.0,1780.0,1780.0,3748500.0,-130.0,6685905500.0,964.0,1780.0,778800.0,0.0,0.0,562000.0,564500.0
274,20230103,FILM,1780.0,0.0,1780.0,1660.0,1765.0,6278800.0,-15.0,10681115000.0,2424.0,1765.0,54800.0,1760.0,600.0,2057200.0,1305000.0
274,20230104,FILM,1765.0,0.0,1855.0,1765.0,1775.0,3786000.0,10.0,6866084500.0,2328.0,1775.0,4500.0,1770.0,9700.0,958300.0,530700.0
274,20230105,FILM,1775.0,0.0,1795.0,1655.0,1655.0,4168700.0,-120.0,6950974000.0,1589.0,1660.0,18900.0,1655.0,245800.0,929600.0,451700.0
277,20230106,FILM,1655.0,0.0,1680.0,1540.0,1540.0,2313000.0,-115.0,3649173500.0,1029.0,1540.0,288800.0,0.0,0.0,396600.0,357100.0
278,20230109,FILM,1540.0,0.0,1540.0,1435.0,1435.0,2107000.0,-105.0,3030845000.0,383.0,1435.0,2204700.0,0.0,0.0,70100.0,1384300.0
278,20230110,FILM,1435.0,0.0,1460.0,1335.0,1440.0,5318800.0,5.0,7210838500.0,1150.0,1440.0,29700.0,1435.0,3200.0,165200.0,838600.0
279,20230111,FILM,1440.0,0.0,1535.0,1340.0,1340.0,2022500.0,-100.0,2888911000.0,1772.0,1340.0,4500.0,0.0,0.0,863400.0,480100.0
279,20230112,FILM,1340.0,0.0,1350.0,1255.0,1300.0,1182800.0,-40.0,1540486500.0,687.0,1300.0,55500.0,1295.0,11700.0,235100.0,718800.0
279,20230113,FILM,1300.0,0.0,1330.0,1275.0,1285.0,582500.0,-15.0,752616500.0,572.0,1285.0,60000.0,1280.0,25500.0,178300.0,233200.0
279,20230116,FILM,1285.0,0.0,1325.0,1275.0,1300.0,764600.0,15.0,993183000.0,588.0,1300.0,53800.0,1295.0,300.0,139600.0,157200.0
279,20230117,FILM,1300.0,0.0,1300.0,1210.0,1210.0,7035000.0,-90.0,8554595000.0,1123.0,1215.0,121800.0,1210.0,2506000.0,302700.0,321700.0
279,20230118,FILM,1210.0,0.0,1215.0,1130.0,1200.0,15902100.0,-10.0,18162414000.0,1446.0,1200.0,188800.0,1165.0,300.0,150400.0,6542800.0
279,20230119,FILM,1200.0,0.0,1190.0,1125.0,1140.0,6299200.0,-60.0,7169174500.0,1208.0,1140.0,80600.0,1135.0,251700.0,35200.0,1194100.0
279,20230120,FILM,1140.0,0.0,1240.0,1100.0,1145.0,5152700.0,5.0,5970729000.0,1996.0,1160.0,700.0,1145.0,32800.0,413400.0,836000.0
279,20230124,FILM,1145.0,0.0,1185.0,1065.0,1065.0,10294700.0,-80.0,11400321500.0,2226.0,1070.0,2000.0,1065.0,14900.0,872300.0,1918900.0
279,20230125,FILM,1065.0,0.0,1065.0,995.0,995.0,8809700.0,-70.0,8887743000.0,2116.0,995.0,28000.0,0.0,0.0,70000.0,2633400.0
279,20230126,FILM,995.0,0.0,1090.0,940.0,1030.0,10171200.0,35.0,10408393000.0,2736.0,1030.0,37200.0,1025.0,4900.0,1182800.0,2090200.0
279,20230127,FILM,1030.0,0.0,1090.0,1010.0,1010.0,3753600.0,-20.0,3924333500.0,1474.0,1025.0,81600.0,1010.0,4900.0,402400.0,653200.0
279,20230130,FILM,1010.0,0.0,1030.0,995.0,1020.0,2112400.0,10.0,2142147000.0,638.0,1020.0,20000.0,1010.0,5000.0,561100.0,622900.0
279,20230131,FILM,1020.0,0.0,1045.0,950.0,950.0,6127400.0,-70.0,5904828000.0,2180.0,950.0,21000.0,0.0,0.0,1918800.0,1385500.0
279,20230201,FILM,950.0,0.0,960.0,885.0,885.0,6582800.0,-65.0,5925584000.0,2021.0,890.0,9000.0,885.0,1900.0,295100.0,2065400.0
279,20230202,FILM,885.0,0.0,925.0,830.0,830.0,7870700.0,-55.0,6825105000.0,2385.0,835.0,4000.0,830.0,6400.0,818100.0,2089000.0
279,20230203,FILM,830.0,0.0,840.0,775.0,775.0,11715700.0,-55.0,9262126000.0,2752.0,780.0,26900.0,775.0,192200.0,391400.0,3469600.0
279,20230206,FILM,775.0,0.0,800.0,730.0,730.0,10284900.0,-45.0,7736938500.0,2784.0,735.0,4000.0,730.0,287100.0,1375700.0,2604200.0
279,20230207,FILM,730.0,0.0,855.0,700.0,820.0,13373200.0,90.0,10705590500.0,4541.0,825.0,2200.0,820.0,11100.0,2108200.0,2508100.0
