No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
280,20221230,FMII,260.0,0.0,264.0,256.0,256.0,10700.0,-4.0,2748200.0,11.0,264.0,700.0,256.0,17700.0,0.0,0.0
280,20230102,FMII,256.0,0.0,266.0,264.0,264.0,1000.0,8.0,264400.0,6.0,264.0,1000.0,258.0,4000.0,0.0,0.0
280,20230103,FMII,264.0,0.0,264.0,264.0,264.0,1500.0,0.0,396000.0,4.0,266.0,100.0,264.0,8500.0,0.0,0.0
280,20230104,FMII,264.0,0.0,330.0,270.0,330.0,176200.0,66.0,55092200.0,173.0,0.0,0.0,330.0,70000.0,0.0,0.0
280,20230105,FMII,330.0,0.0,412.0,356.0,412.0,496300.0,82.0,200472800.0,231.0,0.0,0.0,412.0,269800.0,0.0,0.0
283,20230106,FMII,412.0,0.0,515.0,398.0,515.0,1103200.0,103.0,515247800.0,816.0,0.0,0.0,515.0,1566800.0,0.0,0.0
284,20230109,FMII,515.0,0.0,595.0,480.0,480.0,1260500.0,-35.0,692694900.0,722.0,480.0,219200.0,0.0,0.0,0.0,10700.0
284,20230110,FMII,480.0,0.0,448.0,448.0,448.0,21100.0,-32.0,9452800.0,14.0,448.0,145500.0,0.0,0.0,0.0,17400.0
285,20230111,FMII,448.0,0.0,418.0,418.0,418.0,32000.0,-30.0,13376000.0,21.0,418.0,243400.0,0.0,0.0,0.0,0.0
285,20230112,FMII,418.0,0.0,400.0,390.0,390.0,20200.0,-28.0,7928400.0,22.0,390.0,184300.0,0.0,0.0,0.0,0.0
285,20230113,FMII,390.0,0.0,486.0,364.0,420.0,231100.0,30.0,91537800.0,270.0,420.0,600.0,404.0,300.0,0.0,0.0
285,20230116,FMII,420.0,0.0,492.0,392.0,438.0,83500.0,18.0,34126200.0,111.0,438.0,201700.0,418.0,100.0,0.0,0.0
285,20230117,FMII,438.0,0.0,490.0,426.0,434.0,88000.0,-4.0,39312200.0,164.0,434.0,242200.0,432.0,2100.0,2500.0,2200.0
285,20230118,FMII,434.0,0.0,434.0,404.0,404.0,316900.0,-30.0,129070800.0,103.0,404.0,8300.0,0.0,0.0,14900.0,0.0
285,20230119,FMII,404.0,0.0,418.0,376.0,376.0,28900.0,-28.0,10910200.0,49.0,388.0,100.0,376.0,400.0,0.0,0.0
285,20230120,FMII,376.0,0.0,378.0,350.0,350.0,20400.0,-26.0,7198400.0,35.0,350.0,98200.0,0.0,0.0,0.0,0.0
285,20230124,FMII,350.0,0.0,350.0,326.0,326.0,11600.0,-24.0,3808800.0,35.0,326.0,300.0,0.0,0.0,0.0,0.0
285,20230125,FMII,326.0,0.0,320.0,304.0,304.0,29700.0,-22.0,9073200.0,55.0,304.0,400.0,0.0,0.0,0.0,0.0
285,20230126,FMII,304.0,0.0,304.0,284.0,284.0,26700.0,-20.0,7680000.0,66.0,294.0,1100.0,284.0,2500.0,0.0,0.0
