No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
294,20230807,FOLK,100.0,0.0,135.0,110.0,113.0,771271300.0,13.0,95030654900.0,59308.0,113.0,1017500.0,112.0,1025900.0,2610000.0,3376000.0
296,20230808,FOLK,113.0,0.0,114.0,97.0,97.0,134791400.0,-16.0,13539918300.0,12373.0,97.0,8267100.0,0.0,0.0,859700.0,240000.0
296,20230809,FOLK,97.0,0.0,95.0,83.0,83.0,137766100.0,-14.0,11745528600.0,8810.0,83.0,1677000.0,0.0,0.0,145900.0,160000.0
296,20230810,FOLK,83.0,0.0,95.0,72.0,90.0,161644800.0,7.0,14475814000.0,10127.0,90.0,12600.0,89.0,80700.0,0.0,185000.0
296,20230811,FOLK,90.0,0.0,93.0,85.0,85.0,45615800.0,-5.0,3992639700.0,2520.0,86.0,134800.0,85.0,1684500.0,10800.0,92800.0
296,20230814,FOLK,85.0,0.0,88.0,73.0,86.0,20475200.0,1.0,1770079200.0,1655.0,86.0,5800.0,85.0,1210700.0,183500.0,159700.0
296,20230815,FOLK,86.0,0.0,89.0,79.0,80.0,73277200.0,-6.0,6107062900.0,2947.0,81.0,312100.0,80.0,623400.0,56200.0,474800.0
296,20230816,FOLK,80.0,0.0,82.0,68.0,82.0,52195200.0,2.0,3975562900.0,2584.0,82.0,277700.0,80.0,576100.0,77500.0,56000.0
296,20230818,FOLK,82.0,0.0,91.0,80.0,88.0,121820300.0,6.0,10550751000.0,5983.0,89.0,973100.0,88.0,722800.0,1085000.0,1038200.0
296,20230821,FOLK,88.0,0.0,93.0,85.0,85.0,40211000.0,-3.0,3586035300.0,3049.0,86.0,136900.0,85.0,542100.0,98300.0,563400.0
296,20230822,FOLK,85.0,0.0,91.0,83.0,85.0,31820700.0,0.0,2762424200.0,2419.0,85.0,957200.0,84.0,422600.0,36600.0,0.0
296,20230823,FOLK,85.0,0.0,87.0,82.0,83.0,15292000.0,-2.0,1280454200.0,1082.0,83.0,195100.0,82.0,1175800.0,9100.0,69700.0
296,20230824,FOLK,83.0,0.0,85.0,78.0,83.0,25561200.0,0.0,2095350400.0,1445.0,84.0,680800.0,83.0,492600.0,28700.0,19300.0
296,20230825,FOLK,83.0,0.0,88.0,77.0,83.0,22274700.0,0.0,1894303200.0,1441.0,84.0,496500.0,83.0,111600.0,65500.0,0.0
296,20230828,FOLK,83.0,0.0,86.0,81.0,82.0,15099400.0,-1.0,1254435300.0,1030.0,82.0,88700.0,81.0,2138500.0,50000.0,55100.0
296,20230829,FOLK,82.0,0.0,84.0,81.0,82.0,7833300.0,0.0,640480800.0,588.0,83.0,270000.0,82.0,39800.0,7200.0,100000.0
296,20230830,FOLK,82.0,0.0,84.0,81.0,83.0,3944700.0,1.0,324468900.0,453.0,83.0,733100.0,82.0,9700.0,10200.0,0.0
296,20230831,FOLK,83.0,0.0,84.0,82.0,82.0,9602700.0,-1.0,792000400.0,564.0,83.0,199000.0,82.0,307200.0,36800.0,100000.0
296,20230901,FOLK,82.0,0.0,83.0,81.0,81.0,4238900.0,-1.0,348250600.0,380.0,82.0,1111100.0,81.0,4014900.0,900.0,33300.0
296,20230904,FOLK,81.0,0.0,82.0,78.0,79.0,6997300.0,-2.0,557620700.0,559.0,79.0,41600.0,78.0,833700.0,113500.0,541200.0
296,20230905,FOLK,79.0,0.0,80.0,77.0,77.0,6368800.0,-2.0,495315100.0,630.0,78.0,334000.0,77.0,3480800.0,0.0,0.0
296,20230906,FOLK,77.0,0.0,78.0,64.0,73.0,17792900.0,-4.0,1313717400.0,954.0,74.0,114500.0,73.0,3026000.0,1263000.0,803000.0
297,20230907,FOLK,73.0,0.0,80.0,73.0,76.0,22866800.0,3.0,1764186200.0,1478.0,76.0,285500.0,75.0,185700.0,140200.0,2675700.0
297,20230908,FOLK,76.0,0.0,78.0,75.0,75.0,2605100.0,-1.0,197703100.0,263.0,76.0,100700.0,75.0,647200.0,0.0,0.0
298,20230911,FOLK,75.0,0.0,77.0,74.0,74.0,3609400.0,-1.0,269408000.0,356.0,75.0,97400.0,74.0,1693400.0,0.0,7000.0
298,20230912,FOLK,74.0,0.0,77.0,74.0,74.0,4253000.0,0.0,320406200.0,620.0,75.0,217200.0,74.0,1104100.0,0.0,557200.0
298,20230913,FOLK,74.0,0.0,76.0,74.0,74.0,2293300.0,0.0,170497300.0,219.0,75.0,178400.0,74.0,319400.0,0.0,0.0
298,20230914,FOLK,74.0,0.0,76.0,74.0,75.0,3375000.0,1.0,252171000.0,229.0,76.0,409900.0,75.0,445800.0,0.0,343300.0
298,20230915,FOLK,75.0,0.0,76.0,74.0,74.0,3081900.0,-1.0,230764800.0,265.0,75.0,65900.0,74.0,1563400.0,0.0,335700.0
298,20230918,FOLK,74.0,0.0,76.0,73.0,75.0,4137600.0,1.0,307190000.0,402.0,75.0,497400.0,74.0,286200.0,0.0,135100.0
298,20230919,FOLK,75.0,0.0,76.0,73.0,74.0,3580100.0,-1.0,265016300.0,289.0,74.0,76300.0,73.0,799000.0,0.0,100000.0
298,20230920,FOLK,74.0,0.0,74.0,73.0,73.0,1922100.0,-1.0,140501500.0,230.0,74.0,422600.0,73.0,525000.0,0.0,0.0
298,20230921,FOLK,73.0,0.0,74.0,72.0,74.0,4072400.0,1.0,297764200.0,193.0,74.0,783400.0,73.0,7600.0,0.0,118200.0
298,20230922,FOLK,74.0,0.0,75.0,74.0,74.0,5412400.0,0.0,402385200.0,525.0,75.0,947800.0,74.0,541500.0,54400.0,1298400.0
298,20230925,FOLK,74.0,0.0,75.0,73.0,75.0,4822100.0,1.0,358702700.0,311.0,75.0,1087900.0,74.0,163600.0,0.0,0.0
298,20230926,FOLK,75.0,0.0,75.0,73.0,73.0,1802800.0,-2.0,133198200.0,201.0,74.0,37400.0,73.0,1165000.0,0.0,0.0
298,20230927,FOLK,73.0,0.0,76.0,73.0,74.0,5923900.0,1.0,439378000.0,483.0,74.0,938900.0,73.0,3648800.0,1419600.0,0.0
298,20230929,FOLK,74.0,0.0,75.0,73.0,73.0,3151500.0,-1.0,230766800.0,258.0,74.0,230500.0,73.0,497000.0,0.0,0.0
298,20231002,FOLK,73.0,0.0,75.0,73.0,73.0,2208600.0,0.0,161827000.0,288.0,74.0,380800.0,73.0,274500.0,0.0,0.0
298,20231003,FOLK,73.0,0.0,74.0,72.0,73.0,2306700.0,0.0,167002400.0,236.0,73.0,363100.0,72.0,1046100.0,0.0,0.0
298,20231004,FOLK,73.0,0.0,74.0,65.0,71.0,2174400.0,-2.0,156663700.0,210.0,72.0,257800.0,71.0,1855400.0,0.0,0.0
298,20231005,FOLK,71.0,0.0,90.0,71.0,75.0,304411500.0,4.0,24831067700.0,16476.0,76.0,354200.0,75.0,1257300.0,13343300.0,10217700.0
298,20231006,FOLK,75.0,0.0,76.0,65.0,68.0,57492500.0,-7.0,4065163900.0,3381.0,69.0,227900.0,68.0,23800.0,2989300.0,2245800.0
299,20231009,FOLK,68.0,0.0,71.0,50.0,69.0,12076800.0,1.0,826643600.0,752.0,70.0,200300.0,69.0,734600.0,202400.0,738000.0
299,20231010,FOLK,69.0,0.0,70.0,67.0,67.0,20550400.0,-2.0,1392704300.0,710.0,68.0,942800.0,67.0,2356100.0,51800.0,860500.0
299,20231011,FOLK,67.0,0.0,74.0,67.0,69.0,25497100.0,2.0,1798483700.0,1914.0,70.0,282300.0,69.0,969900.0,1863300.0,4497900.0
299,20231012,FOLK,69.0,0.0,74.0,68.0,70.0,22166400.0,1.0,1559725300.0,1491.0,71.0,608800.0,70.0,1124500.0,1517900.0,325500.0
299,20231013,FOLK,70.0,0.0,71.0,68.0,69.0,7030100.0,-1.0,485074500.0,499.0,69.0,438800.0,68.0,852900.0,717900.0,28700.0
299,20231016,FOLK,69.0,0.0,69.0,66.0,68.0,8180400.0,-1.0,551471600.0,479.0,68.0,712800.0,67.0,462100.0,22800.0,189600.0
299,20231017,FOLK,68.0,0.0,68.0,66.0,68.0,3915100.0,0.0,262740400.0,306.0,68.0,823000.0,67.0,117400.0,0.0,131400.0
299,20231018,FOLK,68.0,0.0,68.0,65.0,66.0,6181400.0,-2.0,407064100.0,449.0,66.0,6600.0,65.0,2018100.0,24400.0,346200.0
299,20231019,FOLK,66.0,0.0,67.0,64.0,66.0,5494500.0,0.0,355993100.0,381.0,66.0,305500.0,65.0,45800.0,7800.0,503500.0
299,20231020,FOLK,66.0,0.0,66.0,64.0,64.0,2707000.0,-2.0,174389500.0,174.0,65.0,124300.0,64.0,750200.0,5200.0,0.0
299,20231023,FOLK,64.0,0.0,71.0,64.0,65.0,12334200.0,1.0,823816000.0,1131.0,66.0,410700.0,65.0,13500.0,2261600.0,116900.0
299,20231024,FOLK,65.0,0.0,67.0,64.0,64.0,3149700.0,-1.0,204256200.0,239.0,65.0,158500.0,64.0,1613000.0,205800.0,0.0
299,20231025,FOLK,64.0,0.0,65.0,64.0,64.0,2952700.0,0.0,189872700.0,195.0,65.0,25700.0,64.0,652400.0,0.0,0.0
299,20231026,FOLK,64.0,0.0,65.0,64.0,64.0,1643500.0,0.0,105300700.0,117.0,65.0,164600.0,64.0,1166400.0,188500.0,0.0
299,20231027,FOLK,64.0,0.0,65.0,64.0,64.0,2187700.0,0.0,140467700.0,136.0,65.0,66900.0,64.0,220200.0,1300.0,0.0
299,20231030,FOLK,64.0,0.0,65.0,63.0,63.0,2323000.0,-1.0,147818900.0,151.0,64.0,42200.0,63.0,1254900.0,16900.0,0.0
299,20231031,FOLK,63.0,0.0,65.0,63.0,64.0,1552700.0,1.0,99364400.0,162.0,64.0,7100.0,63.0,1648800.0,12300.0,0.0
299,20231101,FOLK,64.0,0.0,69.0,64.0,65.0,9781700.0,1.0,646181700.0,834.0,66.0,23000.0,65.0,155100.0,0.0,1096000.0
299,20231102,FOLK,65.0,0.0,67.0,65.0,66.0,2777700.0,1.0,183717300.0,262.0,67.0,1275300.0,66.0,92900.0,0.0,273300.0
299,20231103,FOLK,66.0,0.0,67.0,65.0,66.0,2497500.0,0.0,165000300.0,219.0,67.0,269800.0,66.0,252500.0,273300.0,827700.0
299,20231106,FOLK,66.0,0.0,68.0,65.0,67.0,2716900.0,1.0,180237600.0,738.0,67.0,445100.0,66.0,10300.0,770100.0,0.0
299,20231107,FOLK,67.0,0.0,67.0,66.0,66.0,2849300.0,-1.0,188484400.0,203.0,66.0,139500.0,65.0,957500.0,0.0,0.0
299,20231108,FOLK,66.0,0.0,67.0,65.0,66.0,1344900.0,0.0,88742700.0,139.0,67.0,784200.0,66.0,3805000.0,0.0,288600.0
299,20231109,FOLK,66.0,0.0,69.0,66.0,66.0,4683400.0,0.0,315161000.0,334.0,67.0,332300.0,66.0,676600.0,52300.0,583500.0
299,20231110,FOLK,66.0,0.0,67.0,65.0,66.0,2628100.0,0.0,173422600.0,190.0,66.0,180200.0,65.0,1057600.0,0.0,0.0
299,20231113,FOLK,66.0,0.0,67.0,65.0,66.0,867900.0,0.0,56889600.0,101.0,66.0,538500.0,65.0,953600.0,0.0,0.0
299,20231114,FOLK,66.0,0.0,66.0,64.0,65.0,1415600.0,-1.0,92142900.0,164.0,66.0,138800.0,65.0,80300.0,0.0,0.0
299,20231115,FOLK,65.0,0.0,66.0,64.0,64.0,1444400.0,-1.0,93750000.0,148.0,65.0,78600.0,64.0,1389900.0,0.0,0.0
299,20231116,FOLK,64.0,0.0,66.0,64.0,66.0,1728400.0,2.0,111937900.0,240.0,66.0,479400.0,65.0,73900.0,0.0,0.0
299,20231117,FOLK,66.0,0.0,67.0,65.0,67.0,3272200.0,1.0,215577100.0,222.0,67.0,322600.0,66.0,153300.0,0.0,0.0
299,20231120,FOLK,67.0,0.0,67.0,65.0,65.0,1343500.0,-2.0,87518600.0,149.0,66.0,207100.0,65.0,494800.0,0.0,0.0
299,20231121,FOLK,65.0,0.0,66.0,64.0,64.0,1211800.0,-1.0,78539100.0,141.0,65.0,6600.0,64.0,1899000.0,1900.0,0.0
299,20231122,FOLK,64.0,0.0,66.0,64.0,65.0,862100.0,1.0,55881300.0,126.0,66.0,400000.0,65.0,471200.0,0.0,0.0
299,20231123,FOLK,65.0,0.0,66.0,64.0,66.0,819200.0,1.0,53642500.0,90.0,66.0,470800.0,65.0,443600.0,0.0,0.0
299,20231124,FOLK,66.0,0.0,66.0,64.0,66.0,1041400.0,0.0,67467400.0,105.0,66.0,457100.0,65.0,199200.0,0.0,0.0
299,20231127,FOLK,66.0,0.0,68.0,64.0,66.0,2162300.0,0.0,142364600.0,188.0,66.0,229200.0,65.0,422100.0,0.0,0.0
299,20231128,FOLK,66.0,0.0,67.0,65.0,65.0,2227600.0,-1.0,146036700.0,155.0,66.0,462500.0,65.0,134400.0,0.0,0.0
299,20231129,FOLK,65.0,0.0,66.0,64.0,65.0,1728200.0,0.0,112636800.0,132.0,66.0,659400.0,65.0,67700.0,0.0,0.0
300,20231130,FOLK,65.0,0.0,66.0,64.0,65.0,1853600.0,0.0,119485700.0,115.0,65.0,412800.0,64.0,1255600.0,0.0,0.0
300,20231201,FOLK,65.0,0.0,65.0,63.0,64.0,3041600.0,-1.0,194108900.0,301.0,64.0,23400.0,63.0,1468400.0,758800.0,0.0
300,20231204,FOLK,64.0,0.0,65.0,63.0,64.0,1371400.0,0.0,86842800.0,93.0,64.0,621800.0,63.0,554200.0,200.0,0.0
300,20231205,FOLK,64.0,0.0,64.0,62.0,63.0,5496300.0,-1.0,343677300.0,329.0,64.0,425200.0,63.0,614500.0,3200.0,0.0
300,20231206,FOLK,63.0,0.0,64.0,63.0,63.0,1376600.0,0.0,86776900.0,327.0,64.0,625500.0,63.0,150500.0,0.0,0.0
300,20231207,FOLK,63.0,0.0,66.0,62.0,63.0,1834900.0,0.0,116135000.0,130.0,64.0,909100.0,63.0,3300.0,100600.0,0.0
300,20231208,FOLK,63.0,0.0,64.0,62.0,64.0,1359200.0,1.0,85411000.0,109.0,64.0,983700.0,63.0,526300.0,79800.0,0.0
300,20231211,FOLK,64.0,0.0,64.0,61.0,61.0,3391700.0,-3.0,209696500.0,206.0,62.0,193200.0,61.0,704100.0,834200.0,0.0
300,20231212,FOLK,61.0,0.0,64.0,61.0,62.0,1743600.0,1.0,108121900.0,153.0,63.0,49300.0,62.0,509200.0,527800.0,0.0
300,20231213,FOLK,62.0,0.0,64.0,61.0,61.0,1842000.0,-1.0,113277900.0,113.0,62.0,214600.0,61.0,534000.0,73100.0,0.0
300,20231214,FOLK,61.0,0.0,62.0,53.0,60.0,7678100.0,-1.0,450921000.0,407.0,61.0,195600.0,60.0,976600.0,353500.0,0.0
300,20231215,FOLK,60.0,0.0,64.0,57.0,60.0,341300.0,0.0,20592700.0,54.0,61.0,94200.0,60.0,78500.0,78900.0,0.0
300,20231218,FOLK,60.0,0.0,61.0,51.0,60.0,1718600.0,0.0,102079800.0,106.0,61.0,259100.0,60.0,320000.0,34100.0,0.0
300,20231219,FOLK,60.0,0.0,61.0,59.0,60.0,711700.0,0.0,42561200.0,70.0,61.0,117400.0,60.0,131000.0,5200.0,0.0
300,20231220,FOLK,60.0,0.0,61.0,58.0,60.0,1689000.0,0.0,99849000.0,155.0,61.0,279000.0,60.0,145600.0,245600.0,0.0
300,20231221,FOLK,60.0,0.0,61.0,59.0,61.0,822000.0,1.0,49169100.0,76.0,61.0,279100.0,60.0,157400.0,0.0,0.0
300,20231222,FOLK,61.0,0.0,61.0,59.0,60.0,1350800.0,-1.0,80988400.0,77.0,61.0,254700.0,60.0,97700.0,72300.0,0.0
300,20231227,FOLK,60.0,0.0,61.0,58.0,60.0,6130100.0,0.0,361649700.0,495.0,61.0,864100.0,60.0,594600.0,86200.0,500.0
300,20231228,FOLK,60.0,0.0,61.0,58.0,60.0,3087900.0,0.0,184061000.0,242.0,61.0,459300.0,60.0,338400.0,101400.0,113700.0
300,20231229,FOLK,60.0,0.0,65.0,59.0,63.0,1787300.0,3.0,111063500.0,200.0,64.0,117200.0,63.0,1292900.0,72100.0,100.0
300,20240102,FOLK,63.0,0.0,63.0,62.0,62.0,623500.0,-1.0,38755700.0,52.0,63.0,701400.0,62.0,361600.0,0.0,0.0
300,20240103,FOLK,62.0,0.0,63.0,61.0,62.0,397900.0,0.0,24556500.0,37.0,62.0,200.0,61.0,130600.0,111100.0,0.0
300,20240104,FOLK,62.0,0.0,62.0,58.0,61.0,1489400.0,-1.0,89823000.0,108.0,61.0,75900.0,60.0,110400.0,332400.0,92800.0
301,20240105,FOLK,61.0,0.0,62.0,60.0,61.0,595300.0,0.0,36095700.0,42.0,61.0,64900.0,60.0,372600.0,0.0,0.0
302,20240108,FOLK,61.0,0.0,61.0,59.0,61.0,225700.0,0.0,13537800.0,147.0,61.0,153100.0,60.0,82300.0,0.0,0.0
302,20240109,FOLK,61.0,0.0,61.0,58.0,61.0,1391600.0,0.0,83051400.0,82.0,61.0,65700.0,60.0,1663300.0,0.0,0.0
302,20240110,FOLK,61.0,0.0,61.0,55.0,60.0,1690200.0,-1.0,101502300.0,42.0,61.0,47800.0,60.0,212900.0,0.0,0.0
303,20240111,FOLK,60.0,0.0,61.0,59.0,61.0,631800.0,1.0,37920700.0,55.0,61.0,177400.0,60.0,105900.0,0.0,0.0
303,20240112,FOLK,61.0,0.0,61.0,59.0,60.0,638700.0,-1.0,38282800.0,72.0,61.0,122000.0,60.0,151200.0,0.0,83500.0
303,20240115,FOLK,60.0,0.0,60.0,59.0,60.0,219500.0,0.0,13032300.0,46.0,61.0,143900.0,60.0,133600.0,0.0,0.0
303,20240116,FOLK,60.0,0.0,61.0,58.0,61.0,380600.0,1.0,22489400.0,56.0,61.0,74200.0,60.0,92400.0,5500.0,0.0
303,20240117,FOLK,61.0,0.0,61.0,59.0,61.0,445500.0,0.0,26568100.0,52.0,61.0,81300.0,60.0,26700.0,16100.0,0.0
303,20240118,FOLK,61.0,0.0,61.0,59.0,61.0,361000.0,0.0,21525600.0,83.0,61.0,155300.0,60.0,98000.0,84100.0,0.0
303,20240119,FOLK,61.0,0.0,61.0,59.0,61.0,647100.0,0.0,38736900.0,48.0,61.0,344800.0,60.0,27400.0,15300.0,0.0
303,20240122,FOLK,61.0,0.0,61.0,59.0,60.0,865900.0,-1.0,51792600.0,56.0,60.0,50700.0,59.0,85300.0,0.0,0.0
303,20240123,FOLK,60.0,0.0,60.0,59.0,60.0,923400.0,0.0,54590700.0,54.0,60.0,354600.0,59.0,442800.0,26700.0,0.0
303,20240124,FOLK,60.0,0.0,60.0,59.0,59.0,847700.0,-1.0,50014400.0,59.0,60.0,456100.0,59.0,70100.0,0.0,0.0
303,20240125,FOLK,59.0,0.0,60.0,59.0,59.0,472900.0,0.0,27901600.0,50.0,60.0,314800.0,59.0,130300.0,0.0,0.0
303,20240126,FOLK,59.0,0.0,60.0,59.0,59.0,635300.0,0.0,37492400.0,43.0,60.0,262900.0,59.0,14500.0,0.0,2500.0
303,20240129,FOLK,59.0,0.0,61.0,59.0,59.0,1253100.0,0.0,74140700.0,93.0,60.0,33100.0,59.0,136800.0,0.0,0.0
303,20240130,FOLK,59.0,0.0,63.0,58.0,59.0,3594100.0,0.0,215045800.0,331.0,60.0,254400.0,58.0,141300.0,699600.0,1000.0
303,20240131,FOLK,59.0,0.0,60.0,58.0,59.0,790900.0,0.0,47253200.0,63.0,60.0,24200.0,59.0,211900.0,0.0,0.0
303,20240201,FOLK,59.0,0.0,62.0,59.0,60.0,2050100.0,1.0,123785000.0,166.0,60.0,6400.0,59.0,268500.0,0.0,52900.0
303,20240202,FOLK,60.0,0.0,61.0,59.0,59.0,801900.0,-1.0,47356900.0,71.0,60.0,187000.0,59.0,106500.0,0.0,0.0
303,20240205,FOLK,59.0,0.0,61.0,59.0,61.0,940200.0,2.0,56175100.0,64.0,61.0,224900.0,59.0,142400.0,16900.0,0.0
303,20240206,FOLK,61.0,0.0,61.0,59.0,59.0,526300.0,-2.0,31414100.0,71.0,60.0,131000.0,59.0,279100.0,1600.0,0.0
304,20240207,FOLK,59.0,0.0,60.0,58.0,59.0,3598300.0,0.0,212533400.0,177.0,60.0,50600.0,59.0,300300.0,0.0,0.0
304,20240212,FOLK,59.0,0.0,60.0,59.0,60.0,1225100.0,1.0,73313100.0,86.0,60.0,27800.0,59.0,510000.0,0.0,0.0
304,20240213,FOLK,60.0,0.0,61.0,59.0,60.0,1794000.0,0.0,107622600.0,78.0,60.0,6200.0,59.0,370200.0,0.0,0.0
305,20240215,FOLK,60.0,0.0,61.0,59.0,61.0,658200.0,1.0,39205300.0,81.0,61.0,200800.0,60.0,46000.0,0.0,0.0
305,20240216,FOLK,61.0,0.0,61.0,60.0,61.0,579100.0,0.0,35123600.0,114.0,61.0,3300.0,60.0,1110000.0,48900.0,0.0
305,20240219,FOLK,61.0,0.0,61.0,59.0,60.0,461700.0,-1.0,27606700.0,73.0,60.0,12000.0,59.0,81900.0,42100.0,0.0
305,20240220,FOLK,60.0,0.0,61.0,59.0,60.0,835200.0,0.0,49285000.0,58.0,60.0,71500.0,59.0,163200.0,0.0,0.0
