No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
319,20250414,FORE,188.0,252.0,252.0,252.0,252.0,23462800.0,64.0,5912625600.0,4612.0,0.0,0.0,252.0,313526900.0,10645600.0,0.0
319,20250415,FORE,252.0,314.0,314.0,314.0,314.0,20217700.0,62.0,6348357800.0,2887.0,0.0,0.0,314.0,232008500.0,13844700.0,0.0
319,20250416,FORE,314.0,392.0,392.0,372.0,392.0,322596100.0,78.0,125997859400.0,55404.0,0.0,0.0,392.0,86582800.0,12690200.0,157100.0
319,20250417,FORE,392.0,394.0,456.0,392.0,410.0,712259300.0,18.0,300278111200.0,119146.0,410.0,1109800.0,408.0,441100.0,14703400.0,411100.0
319,20250421,FORE,410.0,500.0,500.0,364.0,370.0,329043500.0,-40.0,132779274000.0,49511.0,372.0,193800.0,370.0,373600.0,9577900.0,12887200.0
319,20250422,FORE,370.0,366.0,374.0,336.0,354.0,177324000.0,-16.0,62464539800.0,25809.0,354.0,807000.0,352.0,1291300.0,9299400.0,11656800.0
319,20250423,FORE,354.0,362.0,386.0,354.0,368.0,110019100.0,14.0,40830206400.0,16554.0,370.0,521000.0,368.0,204000.0,3899600.0,3471500.0
319,20250424,FORE,368.0,368.0,388.0,364.0,374.0,110884700.0,6.0,42021822200.0,13502.0,374.0,114300.0,372.0,1501100.0,1670000.0,2391700.0
319,20250425,FORE,374.0,376.0,388.0,370.0,372.0,46005900.0,-2.0,17385642600.0,7498.0,374.0,292200.0,372.0,1548400.0,1285500.0,0.0
319,20250428,FORE,372.0,372.0,378.0,360.0,366.0,35912100.0,-6.0,13205365600.0,7050.0,366.0,157400.0,364.0,1226000.0,2230500.0,1806200.0
319,20250429,FORE,366.0,366.0,370.0,356.0,358.0,46856900.0,-8.0,16864549800.0,6078.0,360.0,967000.0,358.0,21000.0,6835300.0,7796100.0
319,20250430,FORE,358.0,362.0,376.0,352.0,360.0,45524100.0,2.0,16630416200.0,5937.0,362.0,63400.0,360.0,3164900.0,2218700.0,5342900.0
319,20250502,FORE,360.0,362.0,366.0,356.0,356.0,11470200.0,-4.0,4113660600.0,3602.0,358.0,337800.0,356.0,544100.0,1265700.0,300900.0
319,20250505,FORE,356.0,356.0,358.0,352.0,356.0,9721400.0,0.0,3452206400.0,3302.0,356.0,311700.0,354.0,813500.0,1062600.0,559600.0
319,20250506,FORE,356.0,356.0,384.0,354.0,368.0,75963900.0,12.0,28259905000.0,9151.0,368.0,2100.0,366.0,1252100.0,486000.0,1417700.0
319,20250507,FORE,368.0,372.0,376.0,360.0,368.0,38773900.0,0.0,14205431600.0,4656.0,370.0,153100.0,368.0,788300.0,763200.0,518700.0
