No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
285,20221230,FREN,66.0,0.0,67.0,65.0,66.0,116424700.0,0.0,7717408300.0,2522.0,67.0,41221300.0,66.0,23774700.0,8648900.0,5416200.0
285,20230102,FREN,66.0,0.0,67.0,66.0,67.0,53966300.0,1.0,3600256600.0,2531.0,67.0,4928200.0,66.0,67877300.0,1600000.0,1698800.0
285,20230103,FREN,67.0,0.0,73.0,66.0,71.0,489286200.0,4.0,34649941100.0,10430.0,71.0,11054600.0,70.0,51513600.0,18215100.0,35429400.0
285,20230104,FREN,71.0,0.0,72.0,69.0,69.0,157321900.0,-2.0,11002952100.0,4084.0,70.0,18070700.0,69.0,42228900.0,25028700.0,9637700.0
285,20230105,FREN,69.0,0.0,70.0,65.0,66.0,359014500.0,-3.0,24075491200.0,8037.0,67.0,18584000.0,66.0,16744600.0,47630300.0,46533100.0
288,20230106,FREN,66.0,0.0,67.0,65.0,66.0,122609300.0,0.0,8107240000.0,4333.0,67.0,29142800.0,66.0,13341300.0,5575400.0,17922100.0
289,20230109,FREN,66.0,0.0,67.0,65.0,66.0,154237000.0,0.0,10187325900.0,4838.0,66.0,35230500.0,65.0,78138300.0,10562400.0,17462200.0
289,20230110,FREN,66.0,0.0,67.0,65.0,67.0,101320100.0,1.0,6675448800.0,3186.0,67.0,33391600.0,66.0,9969100.0,13668400.0,9311600.0
290,20230111,FREN,67.0,0.0,67.0,66.0,66.0,42051600.0,-1.0,2787396400.0,2566.0,67.0,29448500.0,66.0,31799500.0,2276700.0,10346700.0
290,20230112,FREN,66.0,0.0,67.0,66.0,66.0,83919700.0,0.0,5567131800.0,3599.0,67.0,24075400.0,66.0,109538000.0,45909500.0,20597700.0
290,20230113,FREN,66.0,0.0,67.0,65.0,66.0,152469700.0,0.0,10085489600.0,3445.0,67.0,39441600.0,66.0,42145000.0,13405200.0,28782400.0
290,20230116,FREN,66.0,0.0,67.0,66.0,67.0,102993100.0,1.0,6866129300.0,3664.0,68.0,26176000.0,67.0,28262600.0,5806400.0,29894700.0
290,20230117,FREN,67.0,0.0,69.0,66.0,68.0,226747900.0,1.0,15450519100.0,5436.0,69.0,74907200.0,68.0,55592300.0,14082700.0,15764900.0
290,20230118,FREN,68.0,0.0,72.0,68.0,69.0,465294600.0,1.0,32518690800.0,7616.0,70.0,29781800.0,69.0,11677100.0,16188500.0,99210000.0
290,20230119,FREN,69.0,0.0,70.0,68.0,69.0,113577400.0,0.0,7852782700.0,4349.0,70.0,39399200.0,69.0,13083900.0,16802000.0,15875500.0
290,20230120,FREN,69.0,0.0,70.0,68.0,69.0,108845400.0,0.0,7481221400.0,3387.0,70.0,54250800.0,69.0,5300.0,16600900.0,18856600.0
290,20230124,FREN,69.0,0.0,70.0,68.0,70.0,60834400.0,1.0,4225450000.0,3457.0,70.0,38963200.0,69.0,16556500.0,1061000.0,6798000.0
290,20230125,FREN,70.0,0.0,70.0,68.0,69.0,128096200.0,-1.0,8858640000.0,3899.0,69.0,19517700.0,68.0,52872900.0,8001900.0,5842700.0
290,20230126,FREN,69.0,0.0,70.0,68.0,70.0,103987800.0,1.0,7185381600.0,3659.0,70.0,64851200.0,69.0,17509100.0,15927300.0,19074200.0
290,20230127,FREN,70.0,0.0,70.0,69.0,69.0,53564500.0,-1.0,3708409300.0,2921.0,70.0,49119500.0,69.0,43595900.0,6895300.0,8427700.0
290,20230130,FREN,69.0,0.0,70.0,68.0,68.0,186228700.0,-1.0,12734462700.0,4895.0,69.0,24623900.0,68.0,1386500.0,27592200.0,20872600.0
290,20230131,FREN,68.0,0.0,69.0,67.0,68.0,111634700.0,0.0,7586830200.0,4634.0,68.0,3307100.0,67.0,81443000.0,42057000.0,35945500.0
290,20230201,FREN,68.0,0.0,69.0,68.0,68.0,91358400.0,0.0,6233968300.0,4315.0,68.0,2852700.0,67.0,57015900.0,14835400.0,17347500.0
290,20230202,FREN,68.0,0.0,69.0,68.0,68.0,87935200.0,0.0,5987974300.0,4241.0,68.0,2592700.0,67.0,60741300.0,5620100.0,18610200.0
290,20230203,FREN,68.0,0.0,71.0,67.0,69.0,324917000.0,1.0,22517187000.0,7756.0,70.0,60820600.0,69.0,16274100.0,39333100.0,69815600.0
290,20230206,FREN,69.0,0.0,70.0,68.0,69.0,130300600.0,0.0,9010890100.0,6251.0,69.0,12411600.0,68.0,69380600.0,12499500.0,22681900.0
290,20230207,FREN,69.0,0.0,70.0,68.0,69.0,97523300.0,0.0,6740012200.0,4428.0,70.0,94755000.0,69.0,9100.0,11622100.0,17452800.0
291,20230208,FREN,69.0,0.0,70.0,68.0,69.0,139929900.0,0.0,9550527600.0,4547.0,69.0,42456400.0,68.0,21196700.0,20535500.0,35723200.0
291,20230209,FREN,69.0,0.0,69.0,67.0,68.0,192125600.0,-1.0,13012313600.0,5986.0,68.0,12350300.0,67.0,61300400.0,57186500.0,33812100.0
291,20230210,FREN,68.0,0.0,68.0,66.0,67.0,163679300.0,-1.0,10963901900.0,5245.0,67.0,4382200.0,66.0,150506600.0,13406400.0,24485300.0
291,20230213,FREN,67.0,0.0,69.0,66.0,68.0,144751100.0,1.0,9860736200.0,16935.0,69.0,35347300.0,68.0,5924800.0,1718200.0,16874700.0
291,20230214,FREN,68.0,0.0,69.0,68.0,69.0,53565400.0,1.0,3662099700.0,4072.0,69.0,92330100.0,68.0,21906200.0,6500000.0,12607600.0
291,20230215,FREN,69.0,0.0,69.0,67.0,67.0,100522000.0,-2.0,6830450600.0,4697.0,68.0,940400.0,67.0,95195600.0,5246100.0,20283000.0
291,20230216,FREN,67.0,0.0,69.0,67.0,68.0,101125400.0,1.0,6883015200.0,4053.0,69.0,92328300.0,68.0,670600.0,12752400.0,31859300.0
291,20230217,FREN,68.0,0.0,69.0,67.0,68.0,58317000.0,0.0,3967066200.0,5027.0,68.0,2930900.0,67.0,67282200.0,5103200.0,11184700.0
291,20230220,FREN,68.0,0.0,69.0,67.0,68.0,129665000.0,0.0,8828677900.0,22052.0,69.0,93713100.0,68.0,7937600.0,11730800.0,24170200.0
291,20230221,FREN,68.0,0.0,69.0,67.0,68.0,79772600.0,0.0,5430957500.0,4199.0,68.0,3310600.0,67.0,136031400.0,766000.0,1722100.0
291,20230222,FREN,68.0,0.0,68.0,67.0,67.0,61043300.0,-1.0,4100440700.0,3618.0,68.0,40760200.0,67.0,53270400.0,1519700.0,15586300.0
291,20230223,FREN,67.0,0.0,68.0,66.0,67.0,90321500.0,0.0,6063460200.0,4274.0,67.0,75763200.0,66.0,145312800.0,55034600.0,11033400.0
291,20230224,FREN,67.0,0.0,68.0,66.0,67.0,108876200.0,0.0,7288212400.0,3934.0,68.0,42211700.0,67.0,1481800.0,26014700.0,35424000.0
