No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
291,20221230,GEMS,7025.0,0.0,7125.0,7025.0,7050.0,87000.0,25.0,614380000.0,116.0,7075.0,1100.0,7050.0,1000.0,0.0,12700.0
291,20230102,GEMS,7050.0,0.0,7125.0,7000.0,7050.0,50600.0,0.0,356592500.0,112.0,7075.0,6400.0,7050.0,6600.0,0.0,0.0
291,20230103,GEMS,7050.0,0.0,7075.0,7000.0,7050.0,38000.0,0.0,266897500.0,83.0,7100.0,5400.0,7050.0,500.0,0.0,200.0
291,20230104,GEMS,7050.0,0.0,7050.0,6975.0,7000.0,47300.0,-50.0,331075000.0,120.0,7000.0,2800.0,6975.0,3700.0,300.0,0.0
291,20230105,GEMS,7000.0,0.0,7000.0,6600.0,6725.0,96600.0,-275.0,650565000.0,293.0,6725.0,4200.0,6700.0,1500.0,600.0,2700.0
294,20230106,GEMS,6725.0,0.0,6900.0,6700.0,6850.0,26400.0,125.0,179947500.0,120.0,6850.0,2000.0,6750.0,2600.0,0.0,400.0
295,20230109,GEMS,6850.0,0.0,6975.0,6800.0,6800.0,34000.0,-50.0,232017500.0,124.0,6800.0,5300.0,6775.0,400.0,0.0,0.0
295,20230110,GEMS,6800.0,0.0,6850.0,6700.0,6850.0,26900.0,50.0,182690000.0,87.0,6850.0,14100.0,6825.0,500.0,0.0,0.0
296,20230111,GEMS,6850.0,0.0,6850.0,6725.0,6825.0,20700.0,-25.0,141110000.0,84.0,6825.0,100.0,6800.0,10200.0,0.0,0.0
296,20230112,GEMS,6825.0,0.0,6850.0,6750.0,6800.0,25700.0,-25.0,174597500.0,77.0,6800.0,3200.0,6775.0,2100.0,0.0,0.0
296,20230113,GEMS,6800.0,0.0,6925.0,6775.0,6800.0,15000.0,0.0,101990000.0,59.0,6825.0,100.0,6800.0,4200.0,6100.0,0.0
296,20230116,GEMS,6800.0,0.0,6800.0,6725.0,6775.0,23500.0,-25.0,158812500.0,83.0,6775.0,2000.0,6750.0,100.0,11700.0,0.0
296,20230117,GEMS,6775.0,0.0,6850.0,6750.0,6825.0,17900.0,50.0,121642500.0,55.0,6850.0,1600.0,6825.0,1000.0,0.0,0.0
296,20230118,GEMS,6825.0,0.0,6850.0,6800.0,6825.0,27900.0,0.0,190057500.0,52.0,6850.0,11200.0,6825.0,300.0,0.0,0.0
296,20230119,GEMS,6825.0,0.0,6875.0,6825.0,6825.0,22800.0,0.0,156000000.0,51.0,6875.0,500.0,6850.0,900.0,0.0,0.0
296,20230120,GEMS,6825.0,0.0,7000.0,6825.0,6900.0,45100.0,75.0,310027500.0,101.0,6975.0,200.0,6900.0,1300.0,0.0,500.0
296,20230124,GEMS,6900.0,0.0,6950.0,6850.0,6875.0,23900.0,-25.0,164735000.0,65.0,6900.0,3900.0,6875.0,4000.0,0.0,0.0
296,20230125,GEMS,6875.0,0.0,6875.0,6825.0,6825.0,10300.0,-50.0,70582500.0,57.0,6850.0,800.0,6825.0,24900.0,0.0,0.0
296,20230126,GEMS,6825.0,0.0,6850.0,6775.0,6825.0,31000.0,0.0,210677500.0,111.0,6850.0,1000.0,6825.0,3800.0,0.0,0.0
296,20230127,GEMS,6825.0,0.0,6875.0,6750.0,6825.0,17000.0,0.0,115665000.0,58.0,6850.0,1500.0,6825.0,500.0,0.0,0.0
296,20230130,GEMS,6825.0,0.0,6875.0,6800.0,6825.0,14200.0,0.0,97117500.0,44.0,6825.0,11600.0,6800.0,800.0,100.0,100.0
296,20230131,GEMS,6825.0,0.0,6800.0,6750.0,6750.0,27200.0,-75.0,183845000.0,91.0,6775.0,2400.0,6750.0,2000.0,200.0,100.0
297,20230201,GEMS,6750.0,0.0,6900.0,6750.0,6775.0,52900.0,25.0,359415000.0,96.0,6800.0,500.0,6775.0,200.0,0.0,0.0
297,20230202,GEMS,6775.0,0.0,6800.0,6750.0,6800.0,17200.0,25.0,116800000.0,44.0,6800.0,3500.0,6775.0,1100.0,0.0,100.0
297,20230203,GEMS,6800.0,0.0,6800.0,6600.0,6600.0,49900.0,-200.0,334197500.0,133.0,6725.0,100.0,6625.0,200.0,0.0,100.0
297,20230206,GEMS,6600.0,0.0,6675.0,6600.0,6625.0,13400.0,25.0,88775000.0,60.0,6650.0,1600.0,6625.0,600.0,0.0,0.0
297,20230207,GEMS,6625.0,0.0,6775.0,6625.0,6675.0,19500.0,50.0,130717500.0,87.0,6750.0,700.0,6725.0,100.0,100.0,0.0
298,20230208,GEMS,6675.0,0.0,6800.0,6675.0,6700.0,13800.0,25.0,92867500.0,60.0,6725.0,600.0,6700.0,5900.0,0.0,0.0
298,20230209,GEMS,6700.0,0.0,6750.0,6700.0,6725.0,17800.0,25.0,119575000.0,48.0,6725.0,100.0,6700.0,2700.0,0.0,900.0
298,20230210,GEMS,6725.0,0.0,6725.0,6600.0,6600.0,43600.0,-125.0,288735000.0,89.0,6650.0,19900.0,6600.0,11000.0,1100.0,600.0
298,20230213,GEMS,6600.0,0.0,6700.0,6475.0,6575.0,48000.0,-25.0,315100000.0,133.0,6675.0,6800.0,6600.0,300.0,300.0,400.0
