No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
292,20221230,GGRM,18400.0,0.0,18400.0,18000.0,18000.0,1198400.0,-400.0,21704142500.0,2242.0,18050.0,500.0,18000.0,202900.0,675900.0,120000.0
292,20230102,GGRM,18000.0,0.0,18150.0,18000.0,18025.0,219800.0,25.0,3972120000.0,571.0,18050.0,3200.0,18025.0,4600.0,35900.0,9200.0
292,20230103,GGRM,18025.0,0.0,18075.0,18000.0,18000.0,320300.0,-25.0,5776175000.0,899.0,18025.0,3100.0,18000.0,198800.0,162200.0,26300.0
292,20230104,GGRM,18000.0,0.0,18050.0,17500.0,17625.0,1398100.0,-375.0,24646332500.0,2504.0,17650.0,2100.0,17625.0,39100.0,811000.0,297100.0
292,20230105,GGRM,17625.0,0.0,17650.0,16500.0,16600.0,2318100.0,-1025.0,39362662500.0,4417.0,16625.0,400.0,16600.0,7800.0,1360200.0,482100.0
295,20230106,GGRM,16600.0,0.0,17900.0,16550.0,17775.0,1231100.0,1175.0,21587972500.0,2843.0,17775.0,7400.0,17750.0,600.0,278500.0,848800.0
296,20230109,GGRM,17775.0,0.0,18075.0,17525.0,17800.0,678700.0,25.0,12115662500.0,1768.0,17800.0,26600.0,17750.0,200.0,330100.0,367100.0
296,20230110,GGRM,17800.0,0.0,17800.0,17125.0,17475.0,636600.0,-325.0,11025990000.0,1460.0,17475.0,13500.0,17300.0,400.0,297900.0,334600.0
297,20230111,GGRM,17475.0,0.0,17600.0,17225.0,17275.0,376100.0,-200.0,6544127500.0,1437.0,17275.0,9000.0,17250.0,11900.0,200500.0,196900.0
297,20230112,GGRM,17275.0,0.0,17575.0,17275.0,17350.0,279700.0,75.0,4887265000.0,988.0,17500.0,4900.0,17350.0,3500.0,148900.0,139100.0
297,20230113,GGRM,17350.0,0.0,17700.0,17300.0,17300.0,250400.0,-50.0,4343202500.0,852.0,17325.0,100.0,17300.0,11300.0,71700.0,60800.0
