No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
299,20221230,GMFI,69.0,0.0,70.0,65.0,66.0,3063500.0,-3.0,203700400.0,367.0,67.0,70500.0,66.0,501200.0,0.0,0.0
299,20230102,GMFI,66.0,0.0,67.0,63.0,67.0,2525700.0,1.0,164890800.0,236.0,67.0,576300.0,66.0,261800.0,0.0,0.0
299,20230103,GMFI,67.0,0.0,73.0,66.0,68.0,54042800.0,1.0,3831471900.0,2367.0,68.0,1195800.0,67.0,709200.0,500000.0,500000.0
299,20230104,GMFI,68.0,0.0,69.0,64.0,65.0,6631600.0,-3.0,438285500.0,523.0,66.0,88100.0,65.0,262300.0,0.0,0.0
299,20230105,GMFI,65.0,0.0,66.0,61.0,61.0,5999700.0,-4.0,370836600.0,319.0,62.0,54400.0,61.0,2573500.0,0.0,0.0
302,20230106,GMFI,61.0,0.0,62.0,60.0,61.0,2505100.0,0.0,153304600.0,162.0,61.0,1577600.0,60.0,659800.0,0.0,0.0
303,20230109,GMFI,61.0,0.0,62.0,60.0,60.0,2434600.0,-1.0,146766300.0,170.0,61.0,186000.0,60.0,393200.0,0.0,0.0
303,20230110,GMFI,60.0,0.0,61.0,60.0,60.0,996900.0,0.0,60117600.0,83.0,61.0,81600.0,60.0,646600.0,28500.0,0.0
304,20230111,GMFI,60.0,0.0,60.0,59.0,59.0,1822200.0,-1.0,108629000.0,100.0,60.0,56500.0,59.0,1490000.0,0.0,0.0
304,20230112,GMFI,59.0,0.0,62.0,59.0,60.0,1172800.0,1.0,70514000.0,70.0,61.0,11900.0,60.0,807400.0,71500.0,0.0
304,20230113,GMFI,60.0,0.0,61.0,59.0,60.0,756200.0,0.0,45315700.0,95.0,60.0,1006500.0,59.0,1639400.0,0.0,0.0
304,20230116,GMFI,60.0,0.0,62.0,60.0,60.0,1508600.0,0.0,91486900.0,119.0,61.0,477700.0,60.0,703200.0,0.0,0.0
304,20230117,GMFI,60.0,0.0,62.0,60.0,62.0,835100.0,2.0,51102000.0,88.0,62.0,3549800.0,61.0,100300.0,0.0,0.0
304,20230118,GMFI,62.0,0.0,65.0,60.0,62.0,23393800.0,0.0,1449475100.0,580.0,62.0,1557800.0,61.0,270000.0,0.0,20000.0
304,20230119,GMFI,62.0,0.0,66.0,61.0,63.0,7007300.0,1.0,441898700.0,910.0,63.0,714000.0,62.0,613300.0,0.0,600.0
304,20230120,GMFI,63.0,0.0,63.0,61.0,62.0,1549200.0,-1.0,96036200.0,122.0,62.0,398700.0,61.0,1053800.0,0.0,0.0
304,20230124,GMFI,62.0,0.0,62.0,61.0,61.0,691700.0,-1.0,42288300.0,85.0,62.0,327300.0,61.0,1258000.0,0.0,0.0
304,20230125,GMFI,61.0,0.0,62.0,60.0,61.0,2445100.0,0.0,149068500.0,170.0,62.0,1193900.0,60.0,1067800.0,0.0,0.0
304,20230126,GMFI,61.0,0.0,62.0,60.0,61.0,1797600.0,0.0,109233400.0,108.0,62.0,1176800.0,61.0,14200.0,0.0,0.0
304,20230127,GMFI,61.0,0.0,61.0,60.0,61.0,2961300.0,0.0,177939700.0,167.0,61.0,551200.0,60.0,1488900.0,0.0,0.0
304,20230130,GMFI,61.0,0.0,61.0,60.0,60.0,1916300.0,-1.0,115524700.0,92.0,61.0,526000.0,60.0,1253100.0,0.0,0.0
304,20230131,GMFI,60.0,0.0,61.0,59.0,60.0,1591300.0,0.0,95657300.0,482.0,61.0,559700.0,60.0,40000.0,0.0,0.0
305,20230201,GMFI,60.0,0.0,61.0,59.0,60.0,1177100.0,0.0,70569100.0,516.0,60.0,2043800.0,59.0,1950800.0,0.0,0.0
305,20230202,GMFI,60.0,0.0,60.0,58.0,59.0,4305100.0,-1.0,254440100.0,301.0,60.0,1505000.0,59.0,100000.0,3000000.0,0.0
305,20230203,GMFI,59.0,0.0,60.0,59.0,60.0,1034500.0,1.0,61543700.0,84.0,60.0,335600.0,59.0,604100.0,0.0,0.0
305,20230206,GMFI,60.0,0.0,61.0,59.0,61.0,1104200.0,1.0,66579800.0,822.0,61.0,420300.0,60.0,648300.0,0.0,0.0
305,20230207,GMFI,61.0,0.0,61.0,59.0,61.0,1378500.0,0.0,82596100.0,412.0,61.0,1381200.0,59.0,2210900.0,0.0,2000.0
306,20230208,GMFI,61.0,0.0,61.0,59.0,61.0,634100.0,0.0,37777700.0,82.0,61.0,1149700.0,60.0,9600.0,0.0,100.0
306,20230209,GMFI,61.0,0.0,60.0,59.0,59.0,587600.0,-2.0,34894300.0,45.0,60.0,656400.0,59.0,2233200.0,600.0,0.0
306,20230210,GMFI,59.0,0.0,60.0,58.0,59.0,3897600.0,0.0,228606900.0,165.0,59.0,391600.0,58.0,147200.0,0.0,0.0
306,20230213,GMFI,59.0,0.0,59.0,57.0,59.0,3169800.0,0.0,183365100.0,1000.0,59.0,522300.0,58.0,29300.0,0.0,0.0
306,20230214,GMFI,59.0,0.0,60.0,58.0,59.0,3529000.0,0.0,208231900.0,117.0,60.0,793800.0,59.0,392200.0,0.0,0.0
306,20230215,GMFI,59.0,0.0,60.0,58.0,59.0,2175900.0,0.0,126514800.0,440.0,59.0,1464100.0,58.0,822000.0,1434400.0,0.0
306,20230216,GMFI,59.0,0.0,64.0,58.0,62.0,33905100.0,3.0,2119394900.0,1339.0,62.0,186600.0,61.0,257700.0,2965600.0,100.0
306,20230217,GMFI,62.0,0.0,62.0,61.0,61.0,1340800.0,-1.0,82436100.0,142.0,62.0,267400.0,61.0,23700.0,0.0,87500.0
306,20230220,GMFI,61.0,0.0,62.0,58.0,60.0,6691500.0,-1.0,394229900.0,252.0,60.0,319800.0,59.0,4537400.0,0.0,0.0
306,20230221,GMFI,60.0,0.0,61.0,59.0,59.0,1438900.0,-1.0,85331900.0,111.0,60.0,479400.0,59.0,573900.0,0.0,0.0
306,20230222,GMFI,59.0,0.0,60.0,58.0,59.0,1001200.0,0.0,58871700.0,76.0,59.0,565400.0,58.0,1154700.0,0.0,40000.0
306,20230223,GMFI,59.0,0.0,60.0,58.0,58.0,890900.0,-1.0,52278900.0,83.0,59.0,78600.0,58.0,1039700.0,0.0,0.0
306,20230224,GMFI,58.0,0.0,60.0,58.0,59.0,830000.0,1.0,49001000.0,90.0,60.0,1019600.0,59.0,251600.0,0.0,0.0
307,20230227,GMFI,59.0,0.0,60.0,58.0,59.0,574000.0,0.0,33551900.0,53.0,59.0,548800.0,58.0,756600.0,0.0,0.0
307,20230228,GMFI,59.0,0.0,60.0,58.0,60.0,6216800.0,1.0,367158100.0,84.0,60.0,312800.0,59.0,57300.0,4888000.0,5100000.0
307,20230301,GMFI,60.0,0.0,60.0,57.0,58.0,7453300.0,-2.0,431675800.0,196.0,59.0,1110700.0,58.0,2642200.0,0.0,0.0
307,20230302,GMFI,58.0,0.0,60.0,58.0,58.0,4816300.0,0.0,285174100.0,180.0,59.0,58800.0,58.0,242000.0,100.0,0.0
308,20230303,GMFI,58.0,0.0,60.0,58.0,59.0,1552000.0,1.0,91740900.0,114.0,59.0,1074500.0,58.0,751900.0,0.0,0.0
308,20230306,GMFI,59.0,0.0,63.0,58.0,58.0,11748900.0,-1.0,709302400.0,13514.0,59.0,1600.0,58.0,1439200.0,0.0,0.0
308,20230307,GMFI,58.0,0.0,60.0,58.0,59.0,4107600.0,1.0,240887600.0,171.0,59.0,99600.0,58.0,1259800.0,0.0,0.0
309,20230308,GMFI,59.0,0.0,60.0,58.0,58.0,1187600.0,-1.0,69343900.0,1081.0,59.0,437700.0,58.0,1086200.0,0.0,0.0
309,20230309,GMFI,58.0,0.0,59.0,58.0,58.0,1108900.0,0.0,64469700.0,1239.0,59.0,481400.0,58.0,1900.0,0.0,0.0
309,20230310,GMFI,58.0,0.0,59.0,57.0,58.0,1097200.0,0.0,63573400.0,1226.0,59.0,602100.0,57.0,1980100.0,0.0,0.0
309,20230313,GMFI,58.0,0.0,59.0,57.0,58.0,571400.0,0.0,32837900.0,1293.0,58.0,2593200.0,57.0,1510000.0,0.0,0.0
309,20230314,GMFI,58.0,0.0,58.0,54.0,54.0,10859200.0,-4.0,594635500.0,281.0,54.0,33800.0,0.0,0.0,0.0,380000.0
309,20230315,GMFI,54.0,0.0,54.0,51.0,52.0,6860500.0,-2.0,357105600.0,274.0,53.0,172300.0,52.0,17800.0,0.0,0.0
309,20230316,GMFI,52.0,0.0,53.0,51.0,52.0,2872000.0,0.0,147730000.0,109.0,52.0,182900.0,51.0,708300.0,0.0,0.0
309,20230317,GMFI,52.0,0.0,53.0,51.0,52.0,2218800.0,0.0,114164200.0,97.0,52.0,150500.0,51.0,599500.0,0.0,0.0
309,20230320,GMFI,52.0,0.0,53.0,51.0,51.0,2215600.0,-1.0,113241100.0,95.0,52.0,302800.0,51.0,551600.0,0.0,0.0
309,20230321,GMFI,51.0,0.0,52.0,50.0,51.0,1779600.0,0.0,90851300.0,77.0,52.0,687000.0,51.0,115900.0,0.0,0.0
309,20230324,GMFI,51.0,0.0,53.0,51.0,51.0,2320200.0,0.0,119558900.0,80.0,52.0,25700.0,51.0,5678300.0,0.0,237000.0
309,20230327,GMFI,51.0,0.0,53.0,51.0,53.0,629700.0,2.0,32442500.0,74.0,53.0,470100.0,52.0,149700.0,0.0,132000.0
309,20230328,GMFI,53.0,0.0,53.0,52.0,53.0,891300.0,0.0,46403300.0,47.0,53.0,483000.0,52.0,364000.0,0.0,0.0
309,20230329,GMFI,53.0,0.0,54.0,52.0,53.0,1080400.0,0.0,57278600.0,79.0,54.0,122600.0,53.0,1150000.0,0.0,360600.0
309,20230330,GMFI,53.0,0.0,55.0,53.0,54.0,1809100.0,1.0,97982600.0,78.0,54.0,2337900.0,53.0,808100.0,0.0,0.0
309,20230331,GMFI,54.0,0.0,54.0,53.0,53.0,606000.0,-1.0,32389000.0,55.0,54.0,154800.0,53.0,309400.0,0.0,0.0
309,20230403,GMFI,53.0,0.0,55.0,53.0,53.0,738700.0,0.0,39744100.0,63.0,54.0,2197000.0,53.0,400300.0,0.0,10000.0
309,20230404,GMFI,53.0,0.0,55.0,52.0,54.0,808500.0,1.0,43226000.0,76.0,54.0,1912000.0,53.0,200.0,0.0,0.0
309,20230405,GMFI,54.0,0.0,54.0,52.0,53.0,810200.0,-1.0,42913800.0,65.0,53.0,344000.0,52.0,724700.0,0.0,10000.0
309,20230406,GMFI,53.0,0.0,53.0,52.0,52.0,319800.0,-1.0,16888100.0,22.0,53.0,241700.0,52.0,894700.0,0.0,0.0
309,20230410,GMFI,52.0,0.0,53.0,51.0,52.0,1686500.0,0.0,86624900.0,102.0,52.0,257700.0,51.0,1164300.0,0.0,110900.0
309,20230411,GMFI,52.0,0.0,52.0,51.0,51.0,451100.0,-1.0,23032800.0,43.0,52.0,454900.0,51.0,1418700.0,0.0,0.0
