No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
303,20221230,GOOD,505.0,0.0,525.0,498.0,525.0,2552200.0,20.0,1298343200.0,636.0,525.0,113100.0,515.0,400.0,206100.0,85500.0
303,20230102,GOOD,525.0,0.0,525.0,505.0,510.0,2698000.0,-15.0,1387080000.0,420.0,510.0,109200.0,505.0,60800.0,213800.0,0.0
303,20230103,GOOD,510.0,0.0,515.0,498.0,515.0,3324300.0,5.0,1681701500.0,462.0,515.0,463400.0,510.0,155300.0,1062700.0,53400.0
303,20230104,GOOD,515.0,0.0,515.0,498.0,500.0,4546500.0,-15.0,2288238100.0,476.0,500.0,145800.0,498.0,161600.0,976500.0,351300.0
303,20230105,GOOD,500.0,0.0,500.0,474.0,486.0,4497200.0,-14.0,2182594800.0,694.0,488.0,42700.0,486.0,3200.0,1750200.0,273800.0
306,20230106,GOOD,486.0,0.0,492.0,478.0,490.0,5276900.0,4.0,2546610200.0,695.0,490.0,33600.0,488.0,64300.0,1378800.0,89700.0
307,20230109,GOOD,490.0,0.0,490.0,482.0,486.0,4915600.0,-4.0,2389087400.0,524.0,486.0,4000.0,484.0,63700.0,1602200.0,341900.0
307,20230110,GOOD,486.0,0.0,486.0,476.0,480.0,4019900.0,-6.0,1934818000.0,515.0,480.0,98400.0,478.0,100500.0,1567400.0,366200.0
308,20230111,GOOD,480.0,0.0,480.0,464.0,470.0,5220500.0,-10.0,2452506200.0,575.0,470.0,66800.0,468.0,200600.0,1927900.0,353000.0
308,20230112,GOOD,470.0,0.0,470.0,458.0,468.0,6880400.0,-2.0,3193411400.0,679.0,468.0,26100.0,462.0,1000.0,1540300.0,23400.0
308,20230113,GOOD,468.0,0.0,468.0,452.0,462.0,7001000.0,-6.0,3199394800.0,682.0,462.0,200800.0,460.0,75500.0,2101700.0,5700.0
308,20230116,GOOD,462.0,0.0,462.0,448.0,456.0,4798400.0,-6.0,2171018800.0,528.0,456.0,20900.0,454.0,85000.0,2051100.0,52200.0
308,20230117,GOOD,456.0,0.0,456.0,438.0,438.0,5259600.0,-18.0,2347499200.0,839.0,442.0,3000.0,438.0,49400.0,2095900.0,186500.0
308,20230118,GOOD,438.0,0.0,438.0,422.0,430.0,5020700.0,-8.0,2169163200.0,743.0,432.0,24800.0,430.0,2500.0,963200.0,590500.0
308,20230119,GOOD,430.0,0.0,442.0,422.0,440.0,5730600.0,10.0,2479711800.0,724.0,442.0,92700.0,440.0,31000.0,211300.0,714500.0
308,20230120,GOOD,440.0,0.0,454.0,440.0,452.0,5486100.0,12.0,2439891800.0,765.0,452.0,14500.0,450.0,94700.0,6900.0,1189600.0
308,20230124,GOOD,452.0,0.0,478.0,446.0,478.0,7349100.0,26.0,3418443600.0,1105.0,478.0,47700.0,476.0,62100.0,273800.0,788800.0
308,20230125,GOOD,478.0,0.0,480.0,468.0,472.0,4690400.0,-6.0,2209875000.0,641.0,472.0,43900.0,470.0,48300.0,384100.0,7300.0
308,20230126,GOOD,472.0,0.0,474.0,458.0,470.0,4810300.0,-2.0,2238222000.0,716.0,470.0,103700.0,468.0,94800.0,474100.0,25900.0
308,20230127,GOOD,470.0,0.0,472.0,466.0,470.0,4202400.0,0.0,1970180600.0,752.0,470.0,31400.0,468.0,80300.0,293600.0,3200.0
308,20230130,GOOD,470.0,0.0,476.0,468.0,470.0,5797800.0,0.0,2739728400.0,574.0,472.0,50300.0,470.0,22500.0,46100.0,336700.0
308,20230131,GOOD,470.0,0.0,490.0,468.0,490.0,8126300.0,20.0,3871414000.0,1169.0,490.0,7000.0,488.0,8500.0,93900.0,1441300.0
309,20230201,GOOD,490.0,0.0,490.0,480.0,486.0,5199000.0,-4.0,2517841000.0,1057.0,486.0,221500.0,484.0,400.0,333500.0,4700.0
309,20230202,GOOD,486.0,0.0,486.0,478.0,482.0,4287200.0,-4.0,2063663600.0,667.0,482.0,6400.0,478.0,110700.0,254700.0,1100.0
309,20230203,GOOD,482.0,0.0,482.0,474.0,476.0,4157700.0,-6.0,1984332600.0,583.0,476.0,48800.0,474.0,160900.0,219300.0,164000.0
309,20230206,GOOD,476.0,0.0,478.0,472.0,476.0,5241700.0,0.0,2493681600.0,463.0,476.0,442300.0,474.0,106900.0,55700.0,399200.0
309,20230207,GOOD,476.0,0.0,480.0,474.0,480.0,4772700.0,4.0,2271244000.0,603.0,480.0,227400.0,478.0,86700.0,4000.0,515500.0
310,20230208,GOOD,480.0,0.0,498.0,478.0,488.0,7960900.0,8.0,3852731800.0,834.0,488.0,22300.0,486.0,9600.0,44000.0,1493600.0
310,20230209,GOOD,488.0,0.0,494.0,484.0,488.0,5604700.0,0.0,2732697200.0,847.0,488.0,41900.0,486.0,13300.0,321900.0,148400.0
310,20230210,GOOD,488.0,0.0,490.0,482.0,486.0,4341800.0,-2.0,2106769000.0,474.0,486.0,60100.0,484.0,48300.0,408600.0,413600.0
