No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
325,20230808,GRIA,120.0,0.0,139.0,102.0,118.0,495216700.0,-2.0,60341304200.0,36278.0,118.0,6536900.0,117.0,670600.0,9316600.0,393400.0
325,20230809,GRIA,118.0,0.0,128.0,115.0,121.0,82948000.0,3.0,9998107300.0,6615.0,122.0,159800.0,121.0,918700.0,760100.0,100.0
325,20230810,GRIA,121.0,0.0,124.0,116.0,118.0,30756100.0,-3.0,3676714200.0,2598.0,118.0,549400.0,117.0,90200.0,206500.0,0.0
325,20230811,GRIA,118.0,0.0,119.0,115.0,116.0,10721300.0,-2.0,1249860700.0,901.0,116.0,191800.0,115.0,883900.0,150000.0,0.0
325,20230814,GRIA,116.0,0.0,124.0,114.0,118.0,129867900.0,2.0,15491930600.0,3176.0,118.0,1160800.0,117.0,56400.0,261200.0,41200.0
325,20230815,GRIA,118.0,0.0,119.0,115.0,115.0,14656800.0,-3.0,1711123200.0,1215.0,116.0,843800.0,115.0,21400.0,617100.0,0.0
325,20230816,GRIA,115.0,0.0,120.0,111.0,120.0,53259300.0,5.0,6345755400.0,1375.0,120.0,1324400.0,119.0,64600.0,0.0,53800.0
325,20230818,GRIA,120.0,0.0,145.0,120.0,126.0,194774200.0,6.0,25882485900.0,16101.0,127.0,149200.0,126.0,2007200.0,127200.0,132400.0
325,20230821,GRIA,126.0,0.0,132.0,120.0,121.0,29372400.0,-5.0,3599477600.0,3316.0,122.0,125100.0,121.0,522900.0,555900.0,137000.0
325,20230822,GRIA,121.0,0.0,126.0,120.0,121.0,15550600.0,0.0,1899424500.0,1333.0,122.0,15200.0,121.0,218700.0,52700.0,42400.0
325,20230823,GRIA,121.0,0.0,124.0,119.0,121.0,49740900.0,0.0,6013274800.0,941.0,122.0,268600.0,121.0,210600.0,42400.0,320000.0
325,20230824,GRIA,121.0,0.0,122.0,119.0,121.0,8489500.0,0.0,1023404800.0,647.0,122.0,782000.0,121.0,39800.0,30000.0,171300.0
325,20230825,GRIA,121.0,0.0,121.0,117.0,118.0,8062900.0,-3.0,958776700.0,467.0,119.0,99300.0,118.0,88600.0,29800.0,130200.0
