No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
313,20221230,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,22676200.0,0.0,0.0,0.0,0.0
313,20230102,HADE,50.0,0.0,50.0,50.0,50.0,30000.0,0.0,1500000.0,1.0,50.0,20682900.0,0.0,0.0,0.0,0.0
313,20230103,HADE,50.0,0.0,50.0,50.0,50.0,1700.0,0.0,85000.0,3.0,50.0,59673100.0,0.0,0.0,0.0,0.0
313,20230104,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,60393500.0,0.0,0.0,0.0,0.0
313,20230105,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,60070100.0,0.0,0.0,0.0,0.0
316,20230106,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,60858200.0,0.0,0.0,0.0,0.0
317,20230109,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,53179400.0,0.0,0.0,0.0,0.0
317,20230110,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,53217200.0,0.0,0.0,0.0,0.0
318,20230111,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,53342500.0,0.0,0.0,0.0,0.0
318,20230112,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,53316700.0,0.0,0.0,0.0,0.0
318,20230113,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,57189100.0,0.0,0.0,0.0,0.0
318,20230116,HADE,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,54385800.0,0.0,0.0,0.0,0.0
318,20230117,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,55262200.0,0.0,0.0,0.0,0.0
318,20230118,HADE,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,56483900.0,0.0,0.0,0.0,0.0
318,20230119,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,56208200.0,0.0,0.0,0.0,0.0
318,20230120,HADE,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,55772700.0,0.0,0.0,0.0,0.0
318,20230124,HADE,50.0,0.0,50.0,50.0,50.0,300.0,0.0,15000.0,1.0,50.0,75711300.0,0.0,0.0,0.0,0.0
318,20230125,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,75194900.0,0.0,0.0,0.0,0.0
318,20230126,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,74508600.0,0.0,0.0,0.0,0.0
318,20230127,HADE,50.0,0.0,50.0,50.0,50.0,5000.0,0.0,250000.0,1.0,50.0,76546500.0,0.0,0.0,0.0,0.0
318,20230130,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,76230800.0,0.0,0.0,0.0,0.0
318,20230131,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,75602500.0,0.0,0.0,0.0,0.0
319,20230201,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,75596800.0,0.0,0.0,0.0,0.0
319,20230202,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,75552500.0,0.0,0.0,0.0,0.0
319,20230203,HADE,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,75571600.0,0.0,0.0,0.0,0.0
319,20230206,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,63342000.0,0.0,0.0,0.0,0.0
319,20230207,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,65750100.0,0.0,0.0,0.0,0.0
320,20230208,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,64809500.0,0.0,0.0,0.0,0.0
320,20230209,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,64893500.0,0.0,0.0,0.0,0.0
320,20230210,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,64857300.0,0.0,0.0,0.0,0.0
320,20230213,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,65051200.0,0.0,0.0,0.0,0.0
320,20230214,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,62165600.0,0.0,0.0,0.0,0.0
320,20230215,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,61466200.0,0.0,0.0,0.0,0.0
320,20230216,HADE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,61515600.0,0.0,0.0,0.0,0.0
