No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
317,20221230,HDIT,55.0,0.0,56.0,54.0,54.0,12471300.0,-1.0,678872500.0,872.0,54.0,475800.0,53.0,3469800.0,3000000.0,0.0
317,20230102,HDIT,54.0,0.0,55.0,52.0,53.0,3931500.0,-1.0,209422900.0,1378.0,54.0,1330300.0,53.0,245400.0,0.0,0.0
317,20230103,HDIT,53.0,0.0,56.0,53.0,55.0,10686300.0,2.0,584376100.0,847.0,56.0,2409400.0,55.0,29800.0,200000.0,255200.0
317,20230104,HDIT,55.0,0.0,56.0,54.0,54.0,4324600.0,-1.0,237867400.0,852.0,55.0,115000.0,54.0,5443400.0,161600.0,38700.0
317,20230105,HDIT,54.0,0.0,56.0,54.0,55.0,9873300.0,1.0,542226700.0,1054.0,55.0,986000.0,54.0,2036800.0,132300.0,0.0
320,20230106,HDIT,55.0,0.0,56.0,52.0,53.0,12017900.0,-2.0,634581200.0,529.0,54.0,446500.0,53.0,845000.0,0.0,0.0
321,20230109,HDIT,53.0,0.0,55.0,53.0,54.0,5327200.0,1.0,287315700.0,604.0,54.0,9200.0,53.0,1013900.0,18000.0,28600.0
321,20230110,HDIT,54.0,0.0,55.0,51.0,53.0,9146800.0,-1.0,479459800.0,515.0,53.0,884600.0,52.0,3066400.0,0.0,0.0
322,20230111,HDIT,53.0,0.0,53.0,50.0,50.0,23312100.0,-3.0,1179782200.0,681.0,51.0,567600.0,50.0,9809600.0,1600.0,0.0
322,20230112,HDIT,50.0,0.0,52.0,50.0,51.0,10331000.0,1.0,521792700.0,394.0,52.0,3748100.0,51.0,3817800.0,4122500.0,200000.0
322,20230113,HDIT,51.0,0.0,53.0,50.0,53.0,10374300.0,2.0,540252700.0,365.0,53.0,4083300.0,52.0,491400.0,0.0,0.0
322,20230116,HDIT,53.0,0.0,53.0,52.0,52.0,4252300.0,-1.0,221461800.0,224.0,52.0,431800.0,51.0,6732700.0,0.0,0.0
322,20230117,HDIT,52.0,0.0,54.0,51.0,53.0,9325500.0,1.0,490057000.0,459.0,53.0,19500.0,52.0,5039300.0,9000.0,0.0
