No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
321,20221230,HERO,1500.0,0.0,1500.0,1480.0,1500.0,1800.0,0.0,2682000.0,10.0,1500.0,3600.0,1480.0,600.0,600.0,0.0
321,20230102,HERO,1500.0,0.0,1500.0,1500.0,1500.0,900.0,0.0,1350000.0,1.0,1500.0,6200.0,1490.0,500.0,900.0,0.0
321,20230103,HERO,1500.0,0.0,1500.0,1480.0,1500.0,2200.0,0.0,3276500.0,9.0,1500.0,17000.0,1480.0,1000.0,400.0,0.0
321,20230104,HERO,1500.0,0.0,1510.0,1480.0,1510.0,12200.0,10.0,18245000.0,19.0,1495.0,10000.0,1455.0,100.0,4000.0,0.0
321,20230105,HERO,1510.0,0.0,1500.0,1470.0,1500.0,37700.0,-10.0,55753000.0,34.0,1500.0,14300.0,1495.0,600.0,11000.0,0.0
324,20230106,HERO,1500.0,0.0,1520.0,1500.0,1520.0,600.0,20.0,902000.0,2.0,1500.0,6100.0,1495.0,100.0,0.0,0.0
325,20230109,HERO,1520.0,0.0,1510.0,1495.0,1500.0,6700.0,-20.0,10047000.0,13.0,1500.0,59300.0,1495.0,1400.0,5900.0,0.0
325,20230110,HERO,1500.0,0.0,1500.0,1430.0,1495.0,900.0,-5.0,1330500.0,5.0,1495.0,1000.0,1490.0,100.0,300.0,0.0
326,20230111,HERO,1495.0,0.0,1500.0,1440.0,1495.0,16500.0,0.0,24266500.0,13.0,1485.0,500.0,1460.0,100.0,1600.0,0.0
326,20230112,HERO,1495.0,0.0,1500.0,1480.0,1495.0,8400.0,0.0,12515000.0,21.0,1495.0,4800.0,1480.0,700.0,2600.0,0.0
326,20230113,HERO,1495.0,0.0,1500.0,1435.0,1495.0,3400.0,0.0,5054500.0,13.0,1490.0,15200.0,1460.0,100.0,2000.0,0.0
326,20230116,HERO,1495.0,0.0,1495.0,1490.0,1490.0,3700.0,-5.0,5520000.0,11.0,1500.0,6700.0,1470.0,300.0,0.0,0.0
326,20230117,HERO,1490.0,0.0,1500.0,1490.0,1500.0,1800.0,10.0,2685000.0,7.0,1490.0,5000.0,1485.0,100.0,1400.0,0.0
