No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
370,20250109,HGII,200.0,250.0,270.0,208.0,212.0,795262600.0,12.0,191741923600.0,104922.0,212.0,6458700.0,210.0,6039800.0,3851600.0,6193900.0
370,20250110,HGII,212.0,210.0,212.0,163.0,194.0,339931000.0,-18.0,61469305900.0,42514.0,194.0,432700.0,193.0,2033200.0,3720800.0,2546100.0
372,20250113,HGII,194.0,196.0,204.0,186.0,195.0,100131300.0,1.0,19199970900.0,13531.0,196.0,287500.0,195.0,72000.0,627700.0,914100.0
372,20250114,HGII,195.0,200.0,212.0,197.0,206.0,139612300.0,11.0,28552099600.0,13874.0,208.0,1801800.0,206.0,530800.0,12600.0,808900.0
372,20250115,HGII,206.0,204.0,204.0,187.0,195.0,84845000.0,-11.0,16462195900.0,9242.0,195.0,664500.0,194.0,2124500.0,667900.0,873000.0
372,20250116,HGII,195.0,195.0,197.0,183.0,193.0,49126800.0,-2.0,9305934600.0,5436.0,194.0,128500.0,193.0,955100.0,1356200.0,692200.0
372,20250117,HGII,193.0,194.0,195.0,188.0,194.0,43233800.0,1.0,8271327500.0,4502.0,194.0,1203200.0,193.0,63400.0,1584700.0,704000.0
372,20250120,HGII,194.0,195.0,202.0,190.0,194.0,45749700.0,0.0,8932644000.0,5532.0,195.0,254400.0,193.0,795200.0,965600.0,836400.0
372,20250121,HGII,194.0,195.0,198.0,193.0,196.0,20808100.0,2.0,4062488300.0,2122.0,196.0,484300.0,195.0,2203800.0,371100.0,169000.0
372,20250122,HGII,196.0,197.0,228.0,197.0,226.0,214012800.0,30.0,45647730900.0,16853.0,228.0,1799600.0,226.0,1346300.0,5308500.0,7999000.0
372,20250123,HGII,226.0,218.0,224.0,202.0,202.0,89443300.0,-24.0,18865386200.0,8751.0,204.0,141000.0,202.0,3106900.0,2225800.0,1707900.0
372,20250124,HGII,202.0,202.0,224.0,202.0,214.0,109614300.0,12.0,23479862200.0,11851.0,214.0,1433700.0,212.0,12540000.0,2943300.0,3611400.0
372,20250130,HGII,214.0,216.0,218.0,206.0,208.0,47409700.0,-6.0,10039889200.0,4983.0,210.0,3789100.0,208.0,6653800.0,1321300.0,212400.0
372,20250131,HGII,208.0,208.0,208.0,197.0,198.0,54784200.0,-10.0,10959037900.0,4810.0,199.0,184500.0,198.0,2352100.0,1481500.0,470100.0
372,20250203,HGII,198.0,196.0,197.0,184.0,190.0,45867000.0,-8.0,8681327700.0,5175.0,191.0,61900.0,190.0,769400.0,1172500.0,1664800.0
372,20250204,HGII,190.0,190.0,195.0,187.0,192.0,32396600.0,2.0,6193191600.0,3726.0,192.0,2393800.0,191.0,351700.0,1417000.0,2011200.0
372,20250205,HGII,192.0,194.0,195.0,189.0,190.0,17742900.0,-2.0,3392582600.0,3353.0,191.0,2000.0,190.0,109000.0,2494200.0,137800.0
372,20250206,HGII,190.0,191.0,191.0,185.0,186.0,22111900.0,-4.0,4132272200.0,2570.0,187.0,85200.0,186.0,163000.0,490600.0,301400.0
372,20250207,HGII,186.0,186.0,189.0,183.0,188.0,24148800.0,2.0,4485623100.0,3470.0,188.0,513500.0,187.0,1072300.0,366900.0,931800.0
372,20250210,HGII,188.0,188.0,192.0,184.0,191.0,32295300.0,3.0,6110090900.0,4712.0,192.0,1916700.0,191.0,2101500.0,1022000.0,2596900.0
372,20250211,HGII,191.0,192.0,193.0,187.0,189.0,19368100.0,-2.0,3673536900.0,2232.0,189.0,191900.0,188.0,273700.0,1132700.0,306800.0
372,20250212,HGII,189.0,190.0,190.0,187.0,190.0,26939900.0,1.0,5084431600.0,5053.0,190.0,7227800.0,189.0,821500.0,771200.0,2209300.0
372,20250213,HGII,190.0,190.0,190.0,188.0,189.0,10932000.0,-1.0,2069511800.0,1549.0,190.0,8247900.0,189.0,494000.0,794900.0,1973500.0
372,20250214,HGII,189.0,189.0,193.0,189.0,191.0,53776400.0,2.0,10275735600.0,5997.0,191.0,357000.0,190.0,1708400.0,4713300.0,7693600.0
372,20250217,HGII,191.0,191.0,197.0,189.0,196.0,33433200.0,5.0,6474175500.0,2883.0,197.0,3312800.0,196.0,1354600.0,1584900.0,7599400.0
372,20250218,HGII,196.0,196.0,202.0,194.0,199.0,56212300.0,3.0,11128414600.0,7468.0,199.0,283100.0,198.0,499400.0,5254400.0,8523800.0
