No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
332,20230301,HILL,1250.0,0.0,1380.0,1270.0,1330.0,67971300.0,80.0,90160975000.0,16955.0,1330.0,3010100.0,1325.0,62700.0,11043800.0,4163100.0
332,20230302,HILL,1330.0,0.0,1615.0,1325.0,1495.0,67748100.0,165.0,99604599500.0,19667.0,1500.0,408500.0,1495.0,5266700.0,963100.0,1350200.0
333,20230303,HILL,1495.0,0.0,1540.0,1425.0,1510.0,44537100.0,15.0,66062637000.0,10536.0,1510.0,1500000.0,1505.0,115600.0,3479300.0,2628800.0
333,20230306,HILL,1510.0,0.0,1570.0,1505.0,1560.0,24838400.0,50.0,38175699000.0,5715.0,1565.0,216600.0,1560.0,16900.0,139000.0,890500.0
333,20230307,HILL,1560.0,0.0,1610.0,1555.0,1580.0,15968900.0,20.0,25265643000.0,3906.0,1580.0,737900.0,1575.0,4700.0,41900.0,240700.0
334,20230308,HILL,1580.0,0.0,1660.0,1575.0,1630.0,19404000.0,50.0,31424403500.0,4041.0,1630.0,283000.0,1625.0,119700.0,47200.0,242000.0
334,20230309,HILL,1630.0,0.0,1660.0,1590.0,1640.0,20286000.0,10.0,32962540000.0,3306.0,1640.0,140800.0,1635.0,46200.0,60200.0,45000.0
334,20230310,HILL,1640.0,0.0,1700.0,1620.0,1700.0,14211800.0,60.0,23581667500.0,2564.0,1705.0,218200.0,1700.0,56700.0,61400.0,378200.0
334,20230313,HILL,1700.0,0.0,1745.0,1690.0,1735.0,12020800.0,35.0,20762452000.0,2646.0,1735.0,178900.0,1730.0,49400.0,1550600.0,282700.0
334,20230314,HILL,1735.0,0.0,1900.0,1730.0,1820.0,27873700.0,85.0,50231596000.0,6491.0,1820.0,266900.0,1815.0,138800.0,3086900.0,2756800.0
334,20230315,HILL,1820.0,0.0,2010.0,1820.0,2000.0,32499700.0,180.0,62669025500.0,7879.0,2010.0,179500.0,2000.0,87100.0,1977600.0,3942500.0
334,20230316,HILL,2000.0,0.0,2180.0,1930.0,2020.0,45449300.0,20.0,93606807000.0,11473.0,2020.0,309200.0,2010.0,183000.0,2097300.0,3786300.0
334,20230317,HILL,2020.0,0.0,2080.0,1900.0,2040.0,48588800.0,20.0,96217661500.0,9635.0,2040.0,74600.0,2030.0,245300.0,1421000.0,2302000.0
334,20230320,HILL,2040.0,0.0,2120.0,2030.0,2050.0,15840800.0,10.0,32856233000.0,3789.0,2050.0,340400.0,2040.0,134400.0,306600.0,781200.0
334,20230321,HILL,2050.0,0.0,2100.0,2020.0,2080.0,12829700.0,30.0,26445272000.0,3395.0,2080.0,561500.0,2070.0,21600.0,572100.0,1008100.0
334,20230324,HILL,2080.0,0.0,2190.0,2070.0,2120.0,18425800.0,40.0,39199571000.0,4117.0,2120.0,404900.0,2110.0,32500.0,1307200.0,398200.0
334,20230327,HILL,2120.0,0.0,2160.0,1975.0,2130.0,26059400.0,10.0,54333147500.0,5078.0,2130.0,720100.0,2110.0,100.0,2299000.0,1510400.0
334,20230328,HILL,2130.0,0.0,2170.0,2090.0,2140.0,21359200.0,10.0,45472620000.0,3817.0,2140.0,479200.0,2130.0,1700.0,2738800.0,271900.0
334,20230329,HILL,2140.0,0.0,2150.0,2060.0,2060.0,13685600.0,-80.0,28823859000.0,3104.0,2060.0,712500.0,2050.0,310200.0,832100.0,957900.0
335,20230330,HILL,2060.0,0.0,2060.0,1920.0,1920.0,14332200.0,-140.0,28039490000.0,3436.0,1920.0,3401000.0,0.0,0.0,1625200.0,456800.0
335,20230331,HILL,1920.0,0.0,2040.0,1790.0,2020.0,37602700.0,100.0,71931934500.0,6298.0,2020.0,560700.0,2010.0,9200.0,2948100.0,2884700.0
335,20230403,HILL,2020.0,0.0,2080.0,1975.0,2030.0,17329800.0,10.0,35056014500.0,4156.0,2030.0,424800.0,2020.0,4900.0,1135900.0,1279000.0
335,20230404,HILL,2030.0,0.0,2040.0,1980.0,1990.0,5750000.0,-40.0,11484894500.0,1872.0,1990.0,233100.0,1985.0,84300.0,901500.0,163500.0
336,20230405,HILL,1990.0,0.0,1990.0,1855.0,1875.0,22698900.0,-115.0,42811524000.0,4508.0,1875.0,552600.0,1870.0,500.0,350000.0,999200.0
336,20230406,HILL,1875.0,0.0,1890.0,1745.0,1745.0,18594400.0,-130.0,32952092000.0,2555.0,1745.0,821000.0,0.0,0.0,1626800.0,1843900.0
336,20230410,HILL,1745.0,0.0,1775.0,1625.0,1760.0,33631800.0,15.0,56604052500.0,7452.0,1760.0,507400.0,1755.0,10300.0,3282000.0,769000.0
336,20230411,HILL,1760.0,0.0,1790.0,1735.0,1765.0,8832900.0,5.0,15587108000.0,3089.0,1765.0,117600.0,1760.0,21400.0,644700.0,323500.0
336,20230412,HILL,1765.0,0.0,1765.0,1645.0,1670.0,21130100.0,-95.0,35424345000.0,3728.0,1670.0,329200.0,1665.0,10600.0,2018000.0,1224600.0
336,20230413,HILL,1670.0,0.0,1695.0,1555.0,1585.0,9461400.0,-85.0,15552031000.0,3508.0,1585.0,256200.0,1580.0,12000.0,525000.0,304000.0
336,20230414,HILL,1585.0,0.0,1600.0,1535.0,1590.0,5057700.0,5.0,7927478500.0,2568.0,1590.0,288500.0,1585.0,2100.0,800900.0,73000.0
336,20230417,HILL,1590.0,0.0,1730.0,1585.0,1705.0,8122000.0,115.0,13618348000.0,2498.0,1710.0,31500.0,1705.0,5800.0,789100.0,259400.0
337,20230418,HILL,1705.0,0.0,1740.0,1655.0,1710.0,7289700.0,5.0,12418055500.0,2263.0,1710.0,348500.0,1705.0,31700.0,460800.0,131500.0
337,20230426,HILL,1710.0,0.0,2130.0,1705.0,2130.0,43678900.0,420.0,90019634500.0,5052.0,2130.0,1119200.0,2120.0,1009000.0,1710600.0,2634900.0
337,20230427,HILL,2130.0,0.0,2660.0,2000.0,2650.0,97497800.0,520.0,233253826000.0,12356.0,2650.0,268500.0,2640.0,199800.0,8142300.0,14327100.0
337,20230428,HILL,2650.0,0.0,2860.0,2620.0,2730.0,39008600.0,80.0,107115767000.0,11250.0,2730.0,670700.0,2710.0,10100.0,4562000.0,7035900.0
337,20230502,HILL,2730.0,0.0,3010.0,2700.0,2900.0,28478700.0,170.0,82102654000.0,7273.0,2900.0,380100.0,2890.0,41500.0,3130500.0,9528100.0
337,20230503,HILL,2900.0,0.0,3290.0,2750.0,3160.0,72040100.0,260.0,218643454000.0,16339.0,3160.0,299000.0,3140.0,15600.0,7421000.0,12907900.0
337,20230504,HILL,3160.0,0.0,3500.0,3120.0,3430.0,46763700.0,270.0,155784168000.0,12713.0,3430.0,36800.0,3420.0,21900.0,7457600.0,6634900.0
337,20230505,HILL,3430.0,0.0,3740.0,3410.0,3700.0,44511900.0,270.0,160791427000.0,13939.0,3700.0,76900.0,3690.0,33800.0,3957100.0,5475100.0
338,20230508,HILL,3700.0,0.0,3890.0,3460.0,3740.0,39625000.0,40.0,147956691000.0,14824.0,3740.0,36800.0,3730.0,328700.0,8370900.0,3424000.0
338,20230509,HILL,3740.0,0.0,3930.0,3730.0,3850.0,59112400.0,110.0,227928327000.0,11911.0,3850.0,130100.0,3840.0,71700.0,1863900.0,7698900.0
338,20230510,HILL,3850.0,0.0,4000.0,3760.0,3910.0,54439800.0,60.0,213288730000.0,14753.0,3910.0,121600.0,3900.0,59700.0,5356600.0,7103600.0
338,20230511,HILL,3910.0,0.0,4000.0,3720.0,3910.0,47579000.0,0.0,186915915000.0,10666.0,3910.0,277500.0,3900.0,50700.0,4543000.0,6921700.0
338,20230512,HILL,3910.0,0.0,3990.0,3640.0,3660.0,45705700.0,-250.0,172732233000.0,11583.0,3660.0,83100.0,3650.0,31900.0,12512900.0,2152600.0
338,20230515,HILL,3660.0,0.0,3660.0,3410.0,3410.0,800300.0,-250.0,2741500000.0,360.0,3410.0,8448600.0,0.0,0.0,0.0,144300.0
338,20230516,HILL,3410.0,0.0,3350.0,3180.0,3180.0,487600.0,-230.0,1550804000.0,148.0,3180.0,8151100.0,0.0,0.0,0.0,47000.0
338,20230517,HILL,3180.0,0.0,3180.0,2960.0,2960.0,5995800.0,-220.0,17747788000.0,4561.0,2960.0,638200.0,0.0,0.0,1500.0,605000.0
338,20230519,HILL,2960.0,0.0,3100.0,2760.0,3020.0,22552800.0,60.0,66338161000.0,9812.0,3020.0,292700.0,3010.0,22900.0,5831100.0,1637700.0
338,20230522,HILL,3020.0,0.0,3160.0,2810.0,2810.0,14740500.0,-210.0,44665628000.0,9486.0,2810.0,3143300.0,0.0,0.0,4039700.0,2372400.0
338,20230523,HILL,2810.0,0.0,2810.0,2620.0,2620.0,5437800.0,-190.0,14289388000.0,1619.0,2620.0,1583500.0,0.0,0.0,212200.0,465000.0
338,20230524,HILL,2620.0,0.0,2630.0,2440.0,2440.0,2111100.0,-180.0,5335840000.0,750.0,2440.0,7874600.0,0.0,0.0,425300.0,124400.0
338,20230525,HILL,2440.0,0.0,2800.0,2270.0,2270.0,35507800.0,-170.0,87794840000.0,9849.0,2270.0,2169500.0,0.0,0.0,12575400.0,4051700.0
338,20230526,HILL,2270.0,0.0,2830.0,2260.0,2830.0,49721600.0,560.0,133117893000.0,16728.0,2830.0,153400.0,2820.0,290600.0,7026400.0,5368300.0
338,20230529,HILL,2830.0,0.0,2860.0,2640.0,2680.0,23135300.0,-150.0,62575211000.0,11166.0,2680.0,1498100.0,2670.0,51100.0,6240700.0,1120200.0
338,20230530,HILL,2680.0,0.0,2680.0,2500.0,2550.0,64020100.0,-130.0,160704591000.0,5364.0,2550.0,12000.0,2540.0,330400.0,1877700.0,1622700.0
338,20230531,HILL,2550.0,0.0,2650.0,2460.0,2580.0,15280500.0,30.0,39346442000.0,9367.0,2580.0,1538800.0,2570.0,5500.0,2128100.0,587700.0
338,20230605,HILL,2580.0,0.0,2770.0,2540.0,2640.0,20200900.0,60.0,53864382000.0,10462.0,2640.0,344500.0,2630.0,54000.0,1591300.0,2845700.0
338,20230606,HILL,2640.0,0.0,2750.0,2600.0,2670.0,11063100.0,30.0,29694566000.0,8558.0,2670.0,63600.0,2660.0,27600.0,655800.0,1407500.0
338,20230607,HILL,2670.0,0.0,2840.0,2670.0,2760.0,15735600.0,90.0,43454003000.0,3853.0,2760.0,163100.0,2750.0,11400.0,858700.0,2093100.0
338,20230608,HILL,2760.0,0.0,2840.0,2510.0,2720.0,20557600.0,-40.0,55396693000.0,10628.0,2720.0,160700.0,2710.0,12500.0,3920900.0,1546200.0
338,20230609,HILL,2720.0,0.0,2770.0,2710.0,2730.0,8240200.0,10.0,22528872000.0,4832.0,2730.0,257500.0,2720.0,102800.0,281300.0,21900.0
338,20230612,HILL,2730.0,0.0,3030.0,2720.0,2950.0,26392700.0,220.0,76381768000.0,10277.0,2950.0,152800.0,2940.0,106600.0,736600.0,4819000.0
338,20230613,HILL,2950.0,0.0,3000.0,2790.0,2880.0,20624100.0,-70.0,59531023000.0,8666.0,2880.0,387300.0,2870.0,106200.0,4575900.0,895000.0
338,20230614,HILL,2880.0,0.0,2970.0,2870.0,2910.0,9606000.0,30.0,28026527000.0,8028.0,2910.0,218500.0,2900.0,11800.0,685700.0,826300.0
338,20230615,HILL,2910.0,0.0,2980.0,2900.0,2940.0,8568000.0,30.0,25266614000.0,4890.0,2940.0,504300.0,2930.0,146900.0,628000.0,1475900.0
338,20230616,HILL,2940.0,0.0,3140.0,2940.0,3110.0,17788800.0,170.0,54561186000.0,7041.0,3110.0,202500.0,3100.0,131100.0,674700.0,2945600.0
338,20230619,HILL,3110.0,0.0,3170.0,3080.0,3080.0,10603700.0,-30.0,33109267000.0,5611.0,3080.0,346800.0,3070.0,119900.0,2416400.0,682600.0
338,20230620,HILL,3080.0,0.0,3140.0,2950.0,3010.0,9775800.0,-70.0,29826255000.0,6306.0,3010.0,59600.0,3000.0,19500.0,734300.0,594100.0
338,20230621,HILL,3010.0,0.0,3070.0,2970.0,2990.0,6832700.0,-20.0,20669080000.0,5036.0,2990.0,90200.0,2980.0,1400.0,1002600.0,710400.0
338,20230622,HILL,2990.0,0.0,3030.0,2800.0,2800.0,5430700.0,-190.0,15671039000.0,3564.0,2800.0,12100.0,2790.0,116700.0,721700.0,502300.0
338,20230623,HILL,2800.0,0.0,2800.0,2580.0,2580.0,8745200.0,-220.0,23236265000.0,3157.0,2580.0,131800.0,2570.0,39900.0,1799100.0,545800.0
338,20230626,HILL,2580.0,0.0,2670.0,2560.0,2660.0,9634100.0,80.0,25316895000.0,2950.0,2660.0,510700.0,2650.0,97000.0,1273600.0,1531800.0
338,20230627,HILL,2660.0,0.0,2710.0,2650.0,2690.0,5461300.0,30.0,14653950000.0,1697.0,2690.0,269300.0,2680.0,99600.0,1153200.0,1554500.0
338,20230703,HILL,2690.0,0.0,2780.0,2670.0,2740.0,8452700.0,50.0,23130766000.0,2789.0,2740.0,79800.0,2730.0,57600.0,921200.0,1579600.0
338,20230704,HILL,2740.0,0.0,2790.0,2730.0,2770.0,3934400.0,30.0,10874482000.0,3327.0,2770.0,230800.0,2760.0,30000.0,355600.0,557500.0
338,20230705,HILL,2770.0,0.0,2830.0,2760.0,2790.0,5313700.0,20.0,14847016000.0,2980.0,2790.0,229900.0,2780.0,25200.0,291700.0,1389700.0
338,20230706,HILL,2790.0,0.0,2840.0,2790.0,2800.0,4632400.0,10.0,13031875000.0,3644.0,2810.0,61400.0,2800.0,7800.0,318200.0,223000.0
339,20230707,HILL,2800.0,0.0,2810.0,2560.0,2660.0,7980000.0,-140.0,21248413000.0,2968.0,2660.0,445000.0,2650.0,26200.0,2604300.0,160700.0
341,20230710,HILL,2660.0,0.0,2740.0,2650.0,2720.0,4098500.0,60.0,11095543000.0,3211.0,2720.0,161800.0,2710.0,37700.0,33100.0,720000.0
341,20230711,HILL,2720.0,0.0,2780.0,2600.0,2740.0,12159800.0,20.0,32825634000.0,5135.0,2740.0,276200.0,2730.0,106800.0,1468200.0,2494000.0
341,20230712,HILL,2740.0,0.0,2860.0,2620.0,2660.0,16507500.0,-80.0,45119730000.0,5083.0,2660.0,144400.0,2650.0,3500.0,3046700.0,709500.0
341,20230713,HILL,2660.0,0.0,2680.0,2650.0,2660.0,2128300.0,0.0,5670004000.0,1927.0,2660.0,61800.0,2650.0,113000.0,64500.0,128900.0
341,20230714,HILL,2660.0,0.0,2690.0,2650.0,2680.0,1462400.0,20.0,3912292000.0,994.0,2680.0,234800.0,2670.0,13000.0,11400.0,233300.0
341,20230717,HILL,2680.0,0.0,2750.0,2670.0,2700.0,4773400.0,20.0,12936109000.0,2693.0,2700.0,131200.0,2690.0,57200.0,51500.0,1157600.0
