No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
329,20221230,HOPE,51.0,0.0,51.0,50.0,50.0,1650600.0,-1.0,82730700.0,120.0,51.0,2124600.0,50.0,21814900.0,0.0,0.0
329,20230102,HOPE,50.0,0.0,51.0,50.0,50.0,5490600.0,0.0,275695800.0,131.0,51.0,2118800.0,50.0,10874200.0,0.0,0.0
329,20230103,HOPE,50.0,0.0,51.0,50.0,51.0,3528900.0,1.0,177583600.0,136.0,51.0,3570900.0,50.0,11931800.0,0.0,0.0
329,20230104,HOPE,51.0,0.0,51.0,50.0,50.0,4319200.0,-1.0,216655300.0,119.0,51.0,2593700.0,50.0,9193700.0,0.0,0.0
329,20230105,HOPE,50.0,0.0,51.0,50.0,50.0,19601600.0,0.0,980324800.0,489.0,51.0,5548900.0,50.0,1006800.0,0.0,0.0
332,20230106,HOPE,50.0,0.0,50.0,50.0,50.0,2105000.0,0.0,105250000.0,139.0,50.0,1164700.0,0.0,0.0,0.0,0.0
333,20230109,HOPE,50.0,0.0,50.0,50.0,50.0,897200.0,0.0,44860000.0,104.0,50.0,2261700.0,0.0,0.0,0.0,0.0
333,20230110,HOPE,50.0,0.0,50.0,50.0,50.0,465800.0,0.0,23290000.0,56.0,50.0,2139500.0,0.0,0.0,0.0,0.0
334,20230111,HOPE,50.0,0.0,50.0,50.0,50.0,320400.0,0.0,16020000.0,39.0,50.0,2126700.0,0.0,0.0,0.0,0.0
334,20230112,HOPE,50.0,0.0,50.0,50.0,50.0,43800.0,0.0,2190000.0,41.0,50.0,6169900.0,0.0,0.0,0.0,0.0
334,20230113,HOPE,50.0,0.0,50.0,50.0,50.0,327800.0,0.0,16390000.0,36.0,50.0,4915000.0,0.0,0.0,0.0,0.0
334,20230116,HOPE,50.0,0.0,50.0,50.0,50.0,182500.0,0.0,9125000.0,32.0,50.0,6209800.0,0.0,0.0,0.0,0.0
334,20230117,HOPE,50.0,0.0,50.0,50.0,50.0,133200.0,0.0,6660000.0,35.0,50.0,3342800.0,0.0,0.0,0.0,0.0
334,20230118,HOPE,50.0,0.0,51.0,50.0,50.0,5417100.0,0.0,270855100.0,730.0,50.0,1169400.0,0.0,0.0,0.0,0.0
334,20230119,HOPE,50.0,0.0,50.0,50.0,50.0,205200.0,0.0,10260000.0,41.0,50.0,6048400.0,0.0,0.0,0.0,0.0
334,20230120,HOPE,50.0,0.0,50.0,50.0,50.0,228900.0,0.0,11445000.0,29.0,50.0,5774900.0,0.0,0.0,0.0,0.0
334,20230124,HOPE,50.0,0.0,50.0,50.0,50.0,148000.0,0.0,7400000.0,24.0,50.0,7565400.0,0.0,0.0,0.0,0.0
334,20230125,HOPE,50.0,0.0,50.0,50.0,50.0,238500.0,0.0,11925000.0,36.0,50.0,4488100.0,0.0,0.0,0.0,0.0
334,20230126,HOPE,50.0,0.0,50.0,50.0,50.0,904500.0,0.0,45225000.0,51.0,50.0,10650200.0,0.0,0.0,0.0,0.0
334,20230127,HOPE,50.0,0.0,50.0,50.0,50.0,150300.0,0.0,7515000.0,35.0,50.0,6418700.0,0.0,0.0,0.0,0.0
334,20230130,HOPE,50.0,0.0,50.0,50.0,50.0,73300.0,0.0,3665000.0,240.0,50.0,6921600.0,0.0,0.0,0.0,0.0
334,20230131,HOPE,50.0,0.0,50.0,50.0,50.0,253100.0,0.0,12655000.0,26.0,50.0,8108500.0,0.0,0.0,0.0,0.0
335,20230201,HOPE,50.0,0.0,50.0,50.0,50.0,92100.0,0.0,4605000.0,38.0,50.0,8450000.0,0.0,0.0,0.0,0.0
335,20230202,HOPE,50.0,0.0,50.0,50.0,50.0,285200.0,0.0,14260000.0,32.0,50.0,8357600.0,0.0,0.0,0.0,0.0
335,20230203,HOPE,50.0,0.0,50.0,50.0,50.0,222500.0,0.0,11125000.0,20.0,50.0,8562400.0,0.0,0.0,0.0,0.0
335,20230206,HOPE,50.0,0.0,50.0,50.0,50.0,182800.0,0.0,9140000.0,165.0,50.0,8184800.0,0.0,0.0,0.0,0.0
335,20230207,HOPE,50.0,0.0,50.0,50.0,50.0,74000.0,0.0,3700000.0,15.0,50.0,8726100.0,0.0,0.0,0.0,0.0
337,20230208,HOPE,50.0,0.0,50.0,50.0,50.0,143000.0,0.0,7150000.0,30.0,50.0,10558400.0,0.0,0.0,0.0,0.0
337,20230209,HOPE,50.0,0.0,50.0,50.0,50.0,143300.0,0.0,7165000.0,16.0,50.0,6308300.0,0.0,0.0,0.0,0.0
337,20230210,HOPE,50.0,0.0,50.0,50.0,50.0,34100.0,0.0,1705000.0,18.0,50.0,8197300.0,0.0,0.0,0.0,0.0
337,20230213,HOPE,50.0,0.0,50.0,50.0,50.0,119600.0,0.0,5980000.0,19.0,50.0,9137400.0,0.0,0.0,0.0,0.0
337,20230214,HOPE,50.0,0.0,50.0,50.0,50.0,14000.0,0.0,700000.0,20.0,50.0,9492700.0,0.0,0.0,0.0,0.0
337,20230215,HOPE,50.0,0.0,50.0,50.0,50.0,15200.0,0.0,760000.0,10.0,50.0,6760600.0,0.0,0.0,0.0,0.0
337,20230216,HOPE,50.0,0.0,50.0,50.0,50.0,156200.0,0.0,7810000.0,23.0,50.0,9563700.0,0.0,0.0,0.0,0.0
337,20230217,HOPE,50.0,0.0,50.0,50.0,50.0,61100.0,0.0,3055000.0,29.0,50.0,8440600.0,0.0,0.0,0.0,100.0
337,20230220,HOPE,50.0,0.0,50.0,50.0,50.0,9600.0,0.0,480000.0,12.0,50.0,8856700.0,0.0,0.0,0.0,0.0
337,20230221,HOPE,50.0,0.0,50.0,50.0,50.0,46900.0,0.0,2345000.0,20.0,50.0,10205400.0,0.0,0.0,0.0,0.0
337,20230222,HOPE,50.0,0.0,50.0,50.0,50.0,2800.0,0.0,140000.0,8.0,50.0,10040600.0,0.0,0.0,0.0,0.0
337,20230223,HOPE,50.0,0.0,50.0,50.0,50.0,9300.0,0.0,465000.0,9.0,50.0,10709500.0,0.0,0.0,0.0,0.0
337,20230224,HOPE,50.0,0.0,50.0,50.0,50.0,62300.0,0.0,3115000.0,10.0,50.0,11319000.0,0.0,0.0,0.0,0.0
338,20230227,HOPE,50.0,0.0,50.0,50.0,50.0,86400.0,0.0,4320000.0,13.0,50.0,11226100.0,0.0,0.0,0.0,0.0
338,20230228,HOPE,50.0,0.0,50.0,50.0,50.0,73700.0,0.0,3685000.0,43.0,50.0,9987100.0,0.0,0.0,0.0,0.0
339,20230301,HOPE,50.0,0.0,50.0,50.0,50.0,79700.0,0.0,3985000.0,36.0,50.0,9018900.0,0.0,0.0,0.0,0.0
339,20230302,HOPE,50.0,0.0,50.0,50.0,50.0,17300.0,0.0,865000.0,10.0,50.0,9420800.0,0.0,0.0,0.0,0.0
340,20230303,HOPE,50.0,0.0,50.0,50.0,50.0,11200.0,0.0,560000.0,4.0,50.0,9254600.0,0.0,0.0,0.0,0.0
340,20230306,HOPE,50.0,0.0,50.0,50.0,50.0,5300.0,0.0,265000.0,11.0,50.0,10778800.0,0.0,0.0,0.0,0.0
340,20230307,HOPE,50.0,0.0,50.0,50.0,50.0,16700.0,0.0,835000.0,116.0,50.0,10522400.0,0.0,0.0,0.0,0.0
341,20230308,HOPE,50.0,0.0,50.0,50.0,50.0,13900.0,0.0,695000.0,10.0,50.0,11546200.0,0.0,0.0,0.0,0.0
341,20230309,HOPE,50.0,0.0,50.0,50.0,50.0,29900.0,0.0,1495000.0,9.0,50.0,11306200.0,0.0,0.0,0.0,0.0
341,20230310,HOPE,50.0,0.0,50.0,50.0,50.0,3500.0,0.0,175000.0,9.0,50.0,9751500.0,0.0,0.0,0.0,0.0
341,20230313,HOPE,50.0,0.0,50.0,50.0,50.0,22800.0,0.0,1140000.0,10.0,50.0,9962000.0,0.0,0.0,0.0,0.0
341,20230314,HOPE,50.0,0.0,50.0,50.0,50.0,2100.0,0.0,105000.0,5.0,50.0,7752300.0,0.0,0.0,0.0,0.0
341,20230315,HOPE,50.0,0.0,50.0,50.0,50.0,2900.0,0.0,145000.0,6.0,50.0,10249000.0,0.0,0.0,0.0,0.0
341,20230316,HOPE,50.0,0.0,50.0,50.0,50.0,21700.0,0.0,1085000.0,6.0,50.0,7289900.0,0.0,0.0,0.0,0.0
341,20230317,HOPE,50.0,0.0,50.0,50.0,50.0,29400.0,0.0,1470000.0,9.0,50.0,9335500.0,0.0,0.0,0.0,0.0
341,20230320,HOPE,50.0,0.0,50.0,50.0,50.0,7000.0,0.0,350000.0,8.0,50.0,6467900.0,0.0,0.0,0.0,0.0
341,20230321,HOPE,50.0,0.0,50.0,50.0,50.0,1600.0,0.0,80000.0,3.0,50.0,10163700.0,0.0,0.0,0.0,0.0
341,20230324,HOPE,50.0,0.0,50.0,50.0,50.0,4100.0,0.0,205000.0,18.0,50.0,8314100.0,0.0,0.0,0.0,0.0
