No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
342,20221230,IFII,161.0,0.0,161.0,158.0,158.0,32100.0,-3.0,5123600.0,23.0,160.0,49400.0,158.0,5800.0,0.0,0.0
342,20230102,IFII,158.0,0.0,160.0,153.0,157.0,485800.0,-1.0,75424600.0,116.0,158.0,30100.0,156.0,5600.0,0.0,0.0
342,20230103,IFII,157.0,0.0,159.0,156.0,158.0,28300.0,1.0,4476100.0,24.0,158.0,2500.0,156.0,1500.0,0.0,0.0
342,20230104,IFII,158.0,0.0,158.0,156.0,158.0,25200.0,0.0,3962100.0,28.0,158.0,43100.0,157.0,10000.0,0.0,0.0
342,20230105,IFII,158.0,0.0,158.0,155.0,158.0,102200.0,0.0,15850800.0,14.0,158.0,88200.0,156.0,700.0,0.0,0.0
345,20230106,IFII,158.0,0.0,161.0,158.0,158.0,32500.0,0.0,5152000.0,32.0,158.0,5300.0,157.0,1900.0,200.0,0.0
346,20230109,IFII,158.0,0.0,159.0,156.0,158.0,39900.0,0.0,6236200.0,36.0,159.0,52600.0,158.0,12300.0,0.0,0.0
346,20230110,IFII,158.0,0.0,160.0,156.0,159.0,77500.0,1.0,12177900.0,15.0,159.0,7500.0,158.0,100.0,18000.0,0.0
347,20230111,IFII,159.0,0.0,159.0,157.0,157.0,21200.0,-2.0,3334400.0,17.0,158.0,38800.0,157.0,5700.0,0.0,0.0
347,20230112,IFII,157.0,0.0,158.0,156.0,158.0,30300.0,1.0,4773000.0,16.0,158.0,2500.0,157.0,3800.0,0.0,0.0
347,20230113,IFII,158.0,0.0,159.0,157.0,157.0,6600.0,-1.0,1042400.0,11.0,159.0,2100.0,157.0,1300.0,0.0,0.0
347,20230116,IFII,157.0,0.0,159.0,156.0,159.0,50000.0,2.0,7805900.0,13.0,159.0,9700.0,157.0,700.0,0.0,0.0
347,20230117,IFII,159.0,0.0,160.0,156.0,160.0,12900.0,1.0,2031100.0,19.0,160.0,32100.0,157.0,300.0,0.0,0.0
347,20230118,IFII,160.0,0.0,165.0,159.0,160.0,44400.0,0.0,7108800.0,19.0,160.0,1900.0,159.0,1500.0,0.0,0.0
347,20230119,IFII,160.0,0.0,160.0,157.0,160.0,11700.0,0.0,1857200.0,23.0,160.0,6500.0,157.0,12400.0,0.0,0.0
347,20230120,IFII,160.0,0.0,160.0,157.0,160.0,20900.0,0.0,3296100.0,14.0,160.0,45000.0,158.0,1600.0,0.0,0.0
347,20230124,IFII,160.0,0.0,166.0,158.0,165.0,228400.0,5.0,37144100.0,78.0,164.0,100.0,160.0,30100.0,0.0,0.0
