No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
347,20221230,IKAN,60.0,0.0,60.0,58.0,59.0,3214200.0,-1.0,189533200.0,337.0,59.0,171700.0,58.0,757300.0,0.0,0.0
347,20230102,IKAN,59.0,0.0,61.0,57.0,60.0,2630700.0,1.0,153041700.0,388.0,60.0,340600.0,59.0,127500.0,0.0,0.0
347,20230103,IKAN,60.0,0.0,62.0,58.0,60.0,3295700.0,0.0,199184800.0,283.0,61.0,16100.0,60.0,84700.0,0.0,0.0
347,20230104,IKAN,60.0,0.0,63.0,59.0,61.0,5943200.0,1.0,364455300.0,415.0,61.0,529100.0,60.0,182500.0,0.0,0.0
347,20230105,IKAN,61.0,0.0,61.0,57.0,58.0,5518300.0,-3.0,322184800.0,411.0,58.0,45500.0,57.0,1574700.0,0.0,0.0
350,20230106,IKAN,58.0,0.0,60.0,56.0,57.0,5119600.0,-1.0,297276200.0,269.0,58.0,247200.0,57.0,251600.0,0.0,0.0
351,20230109,IKAN,57.0,0.0,60.0,56.0,57.0,3743800.0,0.0,218161000.0,264.0,58.0,161100.0,57.0,77300.0,0.0,0.0
351,20230110,IKAN,57.0,0.0,58.0,56.0,57.0,2696800.0,0.0,152789100.0,180.0,58.0,216200.0,57.0,4444400.0,0.0,0.0
352,20230111,IKAN,57.0,0.0,58.0,56.0,57.0,2583900.0,0.0,147341200.0,206.0,57.0,528000.0,56.0,809600.0,0.0,0.0
352,20230112,IKAN,57.0,0.0,57.0,55.0,56.0,1846700.0,-1.0,103301100.0,145.0,57.0,238400.0,55.0,698300.0,0.0,0.0
352,20230113,IKAN,56.0,0.0,58.0,55.0,56.0,3560500.0,0.0,201599700.0,182.0,57.0,364400.0,56.0,4567800.0,0.0,0.0
352,20230116,IKAN,56.0,0.0,57.0,54.0,56.0,3805500.0,0.0,211193700.0,256.0,56.0,47400.0,55.0,338100.0,0.0,0.0
352,20230117,IKAN,56.0,0.0,59.0,55.0,58.0,3749900.0,2.0,214919100.0,497.0,58.0,269500.0,57.0,12800.0,0.0,0.0
352,20230118,IKAN,58.0,0.0,59.0,56.0,58.0,4889900.0,0.0,280813700.0,993.0,58.0,304200.0,57.0,515000.0,0.0,0.0
352,20230119,IKAN,58.0,0.0,59.0,57.0,58.0,2276300.0,0.0,132069000.0,187.0,58.0,591500.0,57.0,1179500.0,0.0,0.0
352,20230120,IKAN,58.0,0.0,59.0,56.0,58.0,2671000.0,0.0,154303500.0,186.0,59.0,902900.0,58.0,2437100.0,0.0,0.0
