No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
353,20221230,INAI,258.0,0.0,264.0,246.0,264.0,2000.0,6.0,503400.0,12.0,264.0,75700.0,254.0,600.0,0.0,0.0
353,20230102,INAI,264.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0,264.0,3200.0,252.0,1100.0,0.0,0.0
353,20230103,INAI,264.0,0.0,262.0,262.0,262.0,1800.0,-2.0,471600.0,3.0,262.0,10000.0,258.0,100.0,0.0,0.0
353,20230104,INAI,262.0,0.0,264.0,260.0,260.0,900.0,-2.0,234800.0,7.0,262.0,400.0,260.0,200.0,0.0,0.0
353,20230105,INAI,260.0,0.0,254.0,248.0,248.0,1900.0,-12.0,476800.0,11.0,250.0,1000.0,248.0,2800.0,0.0,0.0
356,20230106,INAI,248.0,0.0,250.0,246.0,250.0,25800.0,2.0,6364000.0,15.0,250.0,1900.0,248.0,100.0,0.0,0.0
357,20230109,INAI,250.0,0.0,252.0,250.0,250.0,2600.0,0.0,652000.0,8.0,264.0,300.0,248.0,600.0,0.0,0.0
357,20230110,INAI,250.0,0.0,268.0,248.0,268.0,500.0,18.0,128000.0,4.0,268.0,1100.0,248.0,100.0,0.0,0.0
358,20230111,INAI,268.0,0.0,266.0,266.0,266.0,3900.0,-2.0,1037400.0,3.0,266.0,10000.0,254.0,100.0,0.0,0.0
358,20230112,INAI,266.0,0.0,266.0,266.0,266.0,100.0,0.0,26600.0,1.0,266.0,4100.0,254.0,400.0,0.0,0.0
358,20230113,INAI,266.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,266.0,1400.0,254.0,100.0,0.0,0.0
358,20230116,INAI,266.0,0.0,266.0,254.0,254.0,1200.0,-12.0,311200.0,5.0,264.0,600.0,254.0,1500.0,0.0,0.0
358,20230117,INAI,254.0,0.0,256.0,254.0,254.0,900.0,0.0,229200.0,4.0,254.0,1000.0,252.0,2500.0,0.0,0.0
358,20230118,INAI,254.0,0.0,268.0,238.0,260.0,7100.0,6.0,1738200.0,19.0,260.0,100.0,254.0,1000.0,0.0,0.0
358,20230119,INAI,260.0,0.0,264.0,246.0,264.0,600.0,4.0,153800.0,5.0,264.0,300.0,262.0,100.0,0.0,0.0
358,20230120,INAI,264.0,0.0,264.0,264.0,264.0,1000.0,0.0,264000.0,2.0,264.0,1000.0,254.0,200.0,0.0,0.0
358,20230124,INAI,264.0,0.0,264.0,258.0,264.0,900.0,0.0,235400.0,5.0,270.0,900.0,258.0,200.0,0.0,0.0
358,20230125,INAI,264.0,0.0,264.0,254.0,264.0,6300.0,0.0,1636200.0,6.0,264.0,8700.0,256.0,1700.0,0.0,0.0
358,20230126,INAI,264.0,0.0,256.0,250.0,250.0,7800.0,-14.0,1965200.0,11.0,268.0,2200.0,254.0,2500.0,0.0,0.0
