No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
356,20221230,INCO,7175.0,7200.0,7200.0,7100.0,7100.0,2344700.0,-75.0,16736937500.0,1565.0,7125.0,600.0,7100.0,3357300.0,1519000.0,819300.0
356,20230102,INCO,7100.0,7125.0,7175.0,7050.0,7050.0,1864200.0,-50.0,13187847500.0,1179.0,7050.0,57400.0,7025.0,114400.0,47400.0,400500.0
356,20230103,INCO,7050.0,7050.0,7150.0,6925.0,7100.0,4382300.0,50.0,31068597500.0,1753.0,7125.0,99900.0,7100.0,267800.0,632800.0,3131300.0
356,20230104,INCO,7100.0,7200.0,7425.0,7200.0,7300.0,11375800.0,200.0,83382320000.0,4597.0,7300.0,160700.0,7275.0,79900.0,770500.0,3620700.0
356,20230105,INCO,7300.0,7250.0,7350.0,6975.0,7100.0,14374200.0,-200.0,103056592500.0,6774.0,7125.0,12800.0,7100.0,162800.0,4643500.0,4375900.0
359,20230106,INCO,7100.0,7100.0,7350.0,7000.0,7350.0,7538000.0,250.0,54766077500.0,2852.0,7350.0,91200.0,7325.0,9000.0,1333200.0,2990700.0
360,20230109,INCO,7350.0,7400.0,7500.0,7275.0,7425.0,9662500.0,75.0,71768515000.0,4194.0,7425.0,106900.0,7400.0,11700.0,2681900.0,3820100.0
360,20230110,INCO,7425.0,7425.0,7450.0,7150.0,7250.0,7228600.0,-175.0,52542367500.0,3920.0,7275.0,45100.0,7250.0,116200.0,3447800.0,2353200.0
361,20230111,INCO,7250.0,7250.0,7350.0,7200.0,7325.0,5551200.0,75.0,40467697500.0,2014.0,7325.0,19500.0,7300.0,63400.0,3610600.0,2085200.0
361,20230112,INCO,7325.0,7350.0,7475.0,7300.0,7325.0,6196500.0,0.0,45753512500.0,3359.0,7325.0,500.0,7300.0,136900.0,1626100.0,1675900.0
361,20230113,INCO,7325.0,7400.0,7500.0,7350.0,7425.0,3999100.0,100.0,29637895000.0,2159.0,7425.0,33700.0,7400.0,28200.0,1759800.0,1939600.0
361,20230116,INCO,7425.0,7475.0,7500.0,7350.0,7450.0,3717800.0,25.0,27641567500.0,1731.0,7450.0,172400.0,7425.0,24800.0,1303400.0,1969000.0
361,20230117,INCO,7450.0,7475.0,7750.0,7450.0,7600.0,20645200.0,150.0,157734227500.0,12292.0,7600.0,130700.0,7575.0,45600.0,2830500.0,7252700.0
361,20230118,INCO,7600.0,7600.0,7675.0,7400.0,7500.0,9265600.0,-100.0,69755587500.0,5429.0,7525.0,67900.0,7500.0,100000.0,2933600.0,2713400.0
361,20230119,INCO,7500.0,7550.0,7625.0,7400.0,7500.0,9146900.0,0.0,68745230000.0,3887.0,7525.0,42400.0,7500.0,22400.0,5319800.0,1859400.0
361,20230120,INCO,7500.0,7550.0,7600.0,7425.0,7550.0,11447900.0,50.0,85803197500.0,5658.0,7550.0,283000.0,7525.0,7000.0,4697200.0,5797000.0
361,20230124,INCO,7550.0,7550.0,7575.0,7400.0,7400.0,4589400.0,-150.0,34209757500.0,2451.0,7425.0,7500.0,7400.0,529200.0,1725100.0,1577700.0
361,20230125,INCO,7400.0,7450.0,7475.0,7250.0,7300.0,7505800.0,-100.0,54772462500.0,3756.0,7300.0,185800.0,7275.0,98700.0,2458000.0,1512200.0
