No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
363,20221230,INKP,8800.0,8800.0,8950.0,8725.0,8725.0,4826600.0,-75.0,42453840000.0,3018.0,8750.0,10200.0,8725.0,100.0,1626300.0,1152100.0
363,20230102,INKP,8725.0,8725.0,8850.0,8675.0,8675.0,2430500.0,-50.0,21190335000.0,1883.0,8700.0,23200.0,8675.0,735300.0,40600.0,492600.0
363,20230103,INKP,8675.0,8675.0,8850.0,8675.0,8750.0,3504100.0,75.0,30663497500.0,2315.0,8775.0,10600.0,8750.0,2202800.0,251200.0,1193600.0
363,20230104,INKP,8750.0,8750.0,8800.0,8300.0,8400.0,8887800.0,-350.0,75704467500.0,5223.0,8425.0,10000.0,8400.0,22100.0,1171700.0,1580600.0
363,20230105,INKP,8400.0,8400.0,8475.0,8125.0,8325.0,8545300.0,-75.0,70616912500.0,4988.0,8325.0,268100.0,8300.0,1000.0,1513400.0,4571200.0
366,20230106,INKP,8325.0,8300.0,8625.0,8250.0,8625.0,6658000.0,300.0,56631460000.0,3333.0,8625.0,475200.0,8600.0,5400.0,1269200.0,3632400.0
367,20230109,INKP,8625.0,8625.0,8725.0,8500.0,8600.0,4644800.0,-25.0,39917320000.0,3272.0,8600.0,25700.0,8575.0,5200.0,2408600.0,2448900.0
367,20230110,INKP,8600.0,8600.0,8625.0,8350.0,8550.0,4430900.0,-50.0,37635762500.0,3515.0,8550.0,50800.0,8500.0,1300.0,1736200.0,1540000.0
368,20230111,INKP,8550.0,8550.0,8575.0,8400.0,8550.0,2307200.0,0.0,19661500000.0,1542.0,8550.0,134100.0,8525.0,3100.0,1123700.0,915900.0
368,20230112,INKP,8550.0,8550.0,8775.0,8475.0,8750.0,4968000.0,200.0,43247962500.0,3416.0,8750.0,10200.0,8725.0,16200.0,971100.0,2247400.0
368,20230113,INKP,8750.0,8750.0,8750.0,8475.0,8625.0,4964300.0,-125.0,42671125000.0,3773.0,8625.0,15700.0,8600.0,2100.0,1320400.0,1328200.0
368,20230116,INKP,8625.0,8650.0,8650.0,8500.0,8625.0,2908100.0,0.0,24985925000.0,1757.0,8625.0,172600.0,8600.0,32100.0,456000.0,1084000.0
368,20230117,INKP,8625.0,8625.0,8800.0,8600.0,8725.0,5380800.0,100.0,46960590000.0,3441.0,8725.0,158200.0,8700.0,44200.0,855800.0,2373400.0
368,20230118,INKP,8725.0,8700.0,8875.0,8625.0,8875.0,3376400.0,150.0,29633132500.0,2160.0,8875.0,345300.0,8850.0,600.0,1042500.0,1575100.0
368,20230119,INKP,8875.0,8800.0,8875.0,8725.0,8750.0,2744400.0,-125.0,24123597500.0,2215.0,8775.0,6000.0,8750.0,213100.0,958600.0,1478900.0
368,20230120,INKP,8750.0,8800.0,8975.0,8700.0,8825.0,8520800.0,75.0,75680867500.0,3317.0,8850.0,20100.0,8825.0,92600.0,2873100.0,2857100.0
368,20230124,INKP,8825.0,8900.0,8925.0,8725.0,8800.0,2162700.0,-25.0,19037625000.0,1448.0,8825.0,35900.0,8800.0,2900.0,604600.0,302700.0
