No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
365,20221230,INPC,72.0,0.0,74.0,71.0,71.0,1525000.0,-1.0,109158400.0,155.0,72.0,35000.0,71.0,1226400.0,0.0,0.0
365,20230102,INPC,71.0,0.0,77.0,71.0,76.0,6125600.0,5.0,456486500.0,457.0,76.0,201200.0,75.0,1200.0,0.0,0.0
365,20230103,INPC,76.0,0.0,76.0,72.0,73.0,2325800.0,-3.0,169361500.0,184.0,74.0,437200.0,73.0,256200.0,0.0,0.0
365,20230104,INPC,73.0,0.0,75.0,73.0,73.0,1835500.0,0.0,135629500.0,114.0,74.0,579800.0,73.0,106900.0,0.0,0.0
365,20230105,INPC,73.0,0.0,74.0,70.0,70.0,2331200.0,-3.0,165935800.0,241.0,71.0,294000.0,70.0,327200.0,0.0,138000.0
368,20230106,INPC,70.0,0.0,71.0,68.0,70.0,2037900.0,0.0,141355000.0,144.0,70.0,21600.0,69.0,506200.0,0.0,0.0
369,20230109,INPC,70.0,0.0,72.0,68.0,68.0,2185500.0,-2.0,151659200.0,162.0,70.0,82800.0,68.0,327700.0,0.0,151800.0
369,20230110,INPC,68.0,0.0,70.0,67.0,68.0,1116300.0,0.0,76350800.0,175.0,69.0,408200.0,68.0,1500.0,0.0,158700.0
370,20230111,INPC,68.0,0.0,69.0,67.0,67.0,1632900.0,-1.0,110331200.0,138.0,68.0,4200.0,67.0,601000.0,0.0,0.0
370,20230112,INPC,67.0,0.0,69.0,66.0,68.0,2904500.0,1.0,197027500.0,123.0,69.0,345000.0,68.0,77100.0,0.0,0.0
370,20230113,INPC,68.0,0.0,69.0,67.0,67.0,796100.0,-1.0,53737100.0,86.0,68.0,360600.0,67.0,599500.0,0.0,0.0
370,20230116,INPC,67.0,0.0,68.0,67.0,68.0,1144500.0,1.0,77044300.0,76.0,68.0,156100.0,67.0,384000.0,0.0,0.0
370,20230117,INPC,68.0,0.0,69.0,67.0,68.0,1318300.0,0.0,89974100.0,218.0,69.0,204200.0,68.0,464700.0,0.0,193200.0
370,20230118,INPC,68.0,0.0,69.0,68.0,68.0,523100.0,0.0,35584200.0,70.0,69.0,327600.0,68.0,148200.0,0.0,0.0
370,20230119,INPC,68.0,0.0,70.0,68.0,69.0,1009600.0,1.0,69335400.0,85.0,70.0,269000.0,69.0,35600.0,0.0,0.0
370,20230120,INPC,69.0,0.0,70.0,69.0,69.0,399100.0,0.0,27712900.0,52.0,70.0,165900.0,69.0,689500.0,0.0,0.0
370,20230124,INPC,69.0,0.0,71.0,69.0,70.0,699800.0,1.0,48881400.0,146.0,70.0,3700.0,69.0,518200.0,0.0,0.0
370,20230125,INPC,70.0,0.0,71.0,69.0,71.0,582600.0,1.0,41096000.0,89.0,72.0,162800.0,71.0,17500.0,0.0,0.0
370,20230126,INPC,71.0,0.0,72.0,70.0,71.0,700100.0,0.0,49965400.0,105.0,72.0,572300.0,71.0,135200.0,0.0,0.0
370,20230127,INPC,71.0,0.0,73.0,71.0,71.0,1119200.0,0.0,80253500.0,137.0,72.0,55000.0,71.0,158200.0,0.0,82800.0
370,20230130,INPC,71.0,0.0,72.0,71.0,71.0,215000.0,0.0,15313200.0,42.0,72.0,110200.0,71.0,189600.0,0.0,0.0
370,20230131,INPC,71.0,0.0,72.0,70.0,70.0,926400.0,-1.0,65264700.0,72.0,71.0,241000.0,70.0,224900.0,0.0,0.0
371,20230201,INPC,70.0,0.0,71.0,70.0,71.0,826500.0,1.0,58510300.0,97.0,71.0,188900.0,70.0,972700.0,0.0,69000.0
371,20230202,INPC,71.0,0.0,72.0,70.0,71.0,1231700.0,0.0,87365700.0,77.0,72.0,320600.0,71.0,33500.0,0.0,100.0
371,20230203,INPC,71.0,0.0,71.0,69.0,70.0,6570800.0,-1.0,460518800.0,192.0,71.0,286500.0,70.0,132100.0,0.0,0.0
371,20230206,INPC,70.0,0.0,72.0,70.0,70.0,1429000.0,0.0,100911500.0,108.0,71.0,439800.0,70.0,150000.0,0.0,0.0
371,20230207,INPC,70.0,0.0,72.0,70.0,70.0,1013200.0,0.0,71915900.0,74.0,71.0,82600.0,70.0,999200.0,0.0,0.0
373,20230208,INPC,70.0,0.0,72.0,70.0,71.0,1282600.0,1.0,91434900.0,89.0,72.0,486600.0,71.0,636800.0,0.0,0.0
373,20230209,INPC,71.0,0.0,72.0,70.0,70.0,3274600.0,-1.0,230913300.0,146.0,71.0,164200.0,70.0,469500.0,0.0,0.0
373,20230210,INPC,70.0,0.0,71.0,69.0,70.0,800800.0,0.0,56015200.0,56.0,71.0,590800.0,70.0,133600.0,0.0,0.0
373,20230213,INPC,70.0,0.0,71.0,69.0,71.0,734900.0,1.0,51431200.0,66.0,71.0,646500.0,70.0,107900.0,0.0,0.0
373,20230214,INPC,71.0,0.0,71.0,70.0,70.0,795700.0,-1.0,55749700.0,43.0,71.0,352900.0,70.0,252300.0,0.0,0.0
373,20230215,INPC,70.0,0.0,71.0,69.0,70.0,575400.0,0.0,40389000.0,187.0,70.0,374700.0,69.0,1232500.0,0.0,213900.0
373,20230216,INPC,70.0,0.0,71.0,69.0,70.0,993500.0,0.0,69477100.0,84.0,71.0,648700.0,69.0,1276500.0,0.0,0.0
373,20230217,INPC,70.0,0.0,70.0,69.0,70.0,749800.0,0.0,51823800.0,44.0,70.0,782000.0,69.0,1094000.0,0.0,0.0
373,20230220,INPC,70.0,0.0,74.0,69.0,70.0,15451200.0,0.0,1108420200.0,7320.0,70.0,296700.0,69.0,1738900.0,0.0,500.0
373,20230221,INPC,70.0,0.0,71.0,68.0,69.0,4823600.0,-1.0,333669300.0,354.0,70.0,503600.0,69.0,1151300.0,0.0,0.0
