No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
370,20221230,INTD,161.0,0.0,163.0,161.0,163.0,200.0,2.0,32400.0,2.0,163.0,12700.0,155.0,100.0,0.0,0.0
370,20230102,INTD,163.0,0.0,162.0,153.0,154.0,102800.0,-9.0,15745000.0,24.0,156.0,3000.0,154.0,1300.0,0.0,0.0
370,20230103,INTD,154.0,0.0,156.0,154.0,156.0,1300.0,2.0,201400.0,5.0,156.0,2400.0,154.0,100.0,0.0,0.0
370,20230104,INTD,156.0,0.0,210.0,156.0,210.0,2852600.0,54.0,551201800.0,770.0,0.0,0.0,210.0,4470400.0,36700.0,36700.0
370,20230105,INTD,210.0,0.0,240.0,196.0,196.0,1877100.0,-14.0,400288700.0,407.0,196.0,431300.0,0.0,0.0,0.0,0.0
373,20230106,INTD,196.0,0.0,196.0,183.0,183.0,1171300.0,-13.0,214694500.0,295.0,183.0,548800.0,0.0,0.0,94200.0,0.0
374,20230109,INTD,183.0,0.0,238.0,171.0,230.0,7788900.0,47.0,1699017100.0,2634.0,230.0,282100.0,228.0,583300.0,0.0,0.0
374,20230110,INTD,230.0,0.0,236.0,214.0,220.0,1841600.0,-10.0,411754200.0,442.0,222.0,15400.0,220.0,59400.0,0.0,35100.0
375,20230111,INTD,220.0,0.0,274.0,226.0,240.0,7976100.0,20.0,2052705800.0,2321.0,240.0,113800.0,236.0,7600.0,19000.0,0.0
375,20230112,INTD,240.0,0.0,240.0,224.0,224.0,70700.0,-16.0,16083400.0,49.0,224.0,836100.0,0.0,0.0,0.0,0.0
375,20230113,INTD,224.0,0.0,210.0,210.0,210.0,106100.0,-14.0,22281000.0,25.0,210.0,1061700.0,0.0,0.0,0.0,0.0
375,20230116,INTD,210.0,0.0,196.0,196.0,196.0,80100.0,-14.0,15699600.0,42.0,196.0,960900.0,0.0,0.0,0.0,0.0
375,20230117,INTD,196.0,0.0,183.0,183.0,183.0,109800.0,-13.0,20093400.0,42.0,183.0,700300.0,0.0,0.0,0.0,0.0
375,20230118,INTD,183.0,0.0,191.0,171.0,171.0,1391900.0,-12.0,244349400.0,753.0,171.0,636700.0,0.0,0.0,0.0,0.0
375,20230119,INTD,171.0,0.0,183.0,160.0,161.0,2321100.0,-10.0,396048300.0,1974.0,166.0,21000.0,161.0,54800.0,0.0,0.0
375,20230120,INTD,161.0,0.0,170.0,161.0,161.0,441200.0,0.0,72941600.0,224.0,162.0,100.0,161.0,68900.0,0.0,0.0
375,20230124,INTD,161.0,0.0,212.0,159.0,198.0,5671600.0,37.0,1110800900.0,2224.0,198.0,40700.0,197.0,162100.0,0.0,0.0
375,20230125,INTD,198.0,0.0,264.0,185.0,260.0,6550800.0,62.0,1585457300.0,2790.0,260.0,54300.0,258.0,101600.0,21100.0,100.0
375,20230126,INTD,260.0,0.0,278.0,242.0,242.0,7223100.0,-18.0,1944677200.0,1458.0,242.0,1859100.0,0.0,0.0,0.0,0.0
375,20230127,INTD,242.0,0.0,226.0,226.0,226.0,72100.0,-16.0,16294600.0,33.0,226.0,1699600.0,0.0,0.0,0.0,0.0
375,20230130,INTD,226.0,0.0,212.0,212.0,212.0,24900.0,-14.0,5278800.0,41.0,212.0,1163000.0,0.0,0.0,0.0,0.0
375,20230131,INTD,212.0,0.0,244.0,198.0,204.0,4005400.0,-8.0,868345500.0,1589.0,208.0,25200.0,204.0,166200.0,30100.0,30000.0
