No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
371,20221230,INTP,9925.0,10000.0,10000.0,9875.0,9900.0,1114400.0,-25.0,11057082500.0,586.0,9925.0,11800.0,9900.0,446000.0,651000.0,319100.0
371,20230102,INTP,9900.0,9900.0,9950.0,9800.0,9950.0,336300.0,50.0,3319817500.0,429.0,9950.0,65100.0,9875.0,100.0,141000.0,83900.0
371,20230103,INTP,9950.0,9950.0,9950.0,9825.0,9850.0,958000.0,-100.0,9460797500.0,962.0,9925.0,10700.0,9850.0,57600.0,419200.0,205800.0
371,20230104,INTP,9850.0,9850.0,9925.0,9675.0,9775.0,3837100.0,-75.0,37670385000.0,2104.0,9775.0,98900.0,9750.0,500.0,1917400.0,256800.0
371,20230105,INTP,9775.0,9775.0,9825.0,9550.0,9625.0,3648800.0,-150.0,35278065000.0,5094.0,9650.0,21900.0,9625.0,7900.0,1273800.0,396800.0
374,20230106,INTP,9625.0,9575.0,10150.0,9550.0,10050.0,5144900.0,425.0,51398142500.0,2882.0,10050.0,57100.0,10025.0,1000.0,1761400.0,1229000.0
375,20230109,INTP,10050.0,10125.0,10275.0,10000.0,10275.0,2257200.0,225.0,22857422500.0,1507.0,10275.0,49300.0,10150.0,1800.0,535600.0,333800.0
375,20230110,INTP,10275.0,10125.0,10175.0,10000.0,10050.0,1280400.0,-225.0,12910617500.0,1395.0,10075.0,11900.0,10050.0,400.0,506900.0,328800.0
376,20230111,INTP,10050.0,10100.0,10275.0,9975.0,10175.0,4790100.0,125.0,48825592500.0,3091.0,10200.0,27800.0,10175.0,8600.0,1815200.0,767700.0
376,20230112,INTP,10175.0,10275.0,10450.0,10175.0,10300.0,7202700.0,125.0,74211782500.0,3642.0,10300.0,22400.0,10275.0,100.0,2570200.0,2438000.0
376,20230113,INTP,10300.0,10300.0,10425.0,10200.0,10275.0,1822900.0,-25.0,18739525000.0,1921.0,10325.0,6200.0,10275.0,66700.0,1171600.0,1107900.0
376,20230116,INTP,10275.0,10300.0,10425.0,10250.0,10250.0,2551700.0,-25.0,26403617500.0,1516.0,10325.0,5000.0,10250.0,22400.0,1287500.0,702300.0
376,20230117,INTP,10250.0,10250.0,10275.0,9800.0,9975.0,5632300.0,-275.0,56159767500.0,3065.0,9975.0,28400.0,9950.0,200.0,1221000.0,1049200.0
376,20230118,INTP,9975.0,9975.0,9975.0,9750.0,9825.0,2109600.0,-150.0,20715892500.0,1983.0,9825.0,73100.0,9800.0,1600.0,1052800.0,572100.0
376,20230119,INTP,9825.0,9750.0,10075.0,9725.0,10000.0,2417300.0,175.0,23953300000.0,2106.0,10000.0,96200.0,9975.0,600.0,1154600.0,1632400.0
376,20230120,INTP,10000.0,9975.0,9975.0,9775.0,9800.0,2505200.0,-200.0,24605622500.0,1746.0,9800.0,5200.0,9775.0,984100.0,1330400.0,709700.0
376,20230124,INTP,9800.0,9825.0,9900.0,9750.0,9775.0,2055200.0,-25.0,20109482500.0,1191.0,9800.0,600.0,9775.0,827500.0,1097300.0,345600.0
376,20230125,INTP,9775.0,9775.0,9900.0,9750.0,9850.0,1615400.0,75.0,15902620000.0,1145.0,9850.0,120400.0,9825.0,5600.0,1012700.0,547200.0
376,20230126,INTP,9850.0,9900.0,10275.0,9900.0,10100.0,5728900.0,250.0,57932577500.0,2748.0,10100.0,24500.0,10075.0,2100.0,2742400.0,1954200.0
376,20230127,INTP,10100.0,10100.0,10100.0,9850.0,9900.0,2109200.0,-200.0,21005387500.0,1481.0,9925.0,100.0,9900.0,131200.0,1223600.0,402100.0
376,20230130,INTP,9900.0,9850.0,9925.0,9775.0,9825.0,2549400.0,-75.0,25044712500.0,1638.0,9825.0,40800.0,9800.0,313800.0,1933300.0,916300.0
376,20230131,INTP,9825.0,9825.0,10050.0,9825.0,10000.0,6520700.0,175.0,65128480000.0,3176.0,10000.0,195900.0,9975.0,100.0,3670800.0,3967700.0
377,20230201,INTP,10000.0,10075.0,10175.0,9850.0,9900.0,3950600.0,-100.0,39449292500.0,2897.0,9925.0,2500.0,9900.0,5400.0,918100.0,1804900.0
377,20230202,INTP,9900.0,10100.0,10425.0,10000.0,10350.0,8462400.0,450.0,87029917500.0,10976.0,10350.0,336300.0,10325.0,5900.0,3322400.0,2421900.0
377,20230203,INTP,10350.0,10350.0,10650.0,10325.0,10600.0,9922500.0,250.0,104849515000.0,11805.0,10625.0,140000.0,10600.0,80000.0,1202900.0,931300.0
377,20230206,INTP,10600.0,10750.0,11125.0,10700.0,10975.0,11925300.0,375.0,130564507500.0,9406.0,11000.0,90000.0,10950.0,2600.0,3946400.0,2597700.0
377,20230207,INTP,10975.0,10900.0,11050.0,10775.0,10775.0,3552100.0,-200.0,38667275000.0,2049.0,10825.0,53900.0,10775.0,32900.0,733400.0,1079900.0
379,20230208,INTP,10775.0,10725.0,11000.0,10675.0,10950.0,2554500.0,175.0,27684692500.0,2104.0,10950.0,218500.0,10875.0,1000.0,603700.0,998000.0
379,20230209,INTP,10950.0,10950.0,11125.0,10825.0,10975.0,6124700.0,25.0,67298500000.0,7685.0,10975.0,69000.0,10925.0,100.0,2306100.0,1141800.0
379,20230210,INTP,10975.0,11100.0,11500.0,11075.0,11475.0,13571700.0,500.0,154251140000.0,8375.0,11475.0,210100.0,11450.0,1500.0,4381300.0,2653400.0
379,20230213,INTP,11475.0,11450.0,11575.0,11275.0,11400.0,4368300.0,-75.0,49998035000.0,2783.0,11425.0,600.0,11400.0,71400.0,1610900.0,740200.0
379,20230214,INTP,11400.0,11425.0,11850.0,11425.0,11700.0,7814400.0,300.0,91523030000.0,6934.0,11700.0,478400.0,11675.0,200.0,2804600.0,2473700.0
379,20230215,INTP,11700.0,11700.0,11700.0,11275.0,11525.0,2502100.0,-175.0,28539907500.0,3325.0,11525.0,18300.0,11500.0,200.0,782200.0,986500.0
379,20230216,INTP,11525.0,11550.0,11575.0,11300.0,11400.0,2196600.0,-125.0,25099755000.0,2313.0,11400.0,14400.0,11325.0,1200.0,919200.0,937800.0
379,20230217,INTP,11400.0,11375.0,11475.0,11000.0,11000.0,2405700.0,-400.0,26907140000.0,2393.0,11125.0,11400.0,11000.0,235600.0,371000.0,991700.0
379,20230220,INTP,11000.0,11100.0,11325.0,11000.0,11100.0,4469000.0,100.0,49737052500.0,8271.0,11125.0,600.0,11100.0,256400.0,1565000.0,1474900.0
379,20230221,INTP,11100.0,11175.0,11475.0,11175.0,11400.0,3114200.0,300.0,35401335000.0,3452.0,11400.0,52000.0,11300.0,20000.0,1778300.0,1355900.0
379,20230222,INTP,11400.0,11300.0,11400.0,11175.0,11275.0,2354800.0,-125.0,26539065000.0,2986.0,11275.0,14600.0,11250.0,1200.0,1491500.0,1624500.0
379,20230223,INTP,11275.0,11275.0,11350.0,11125.0,11200.0,842900.0,-75.0,9459870000.0,1167.0,11225.0,700.0,11200.0,600.0,427700.0,487900.0
379,20230224,INTP,11200.0,11300.0,11300.0,11100.0,11100.0,1898900.0,-100.0,21230090000.0,1664.0,11100.0,13100.0,11075.0,1500.0,1235600.0,704000.0
380,20230227,INTP,11100.0,11100.0,11400.0,10950.0,11025.0,2328000.0,-75.0,25736815000.0,1806.0,11025.0,26200.0,11000.0,3200.0,1361200.0,1375700.0
380,20230228,INTP,11025.0,11075.0,11175.0,10875.0,11125.0,2952600.0,100.0,32590605000.0,1982.0,11150.0,3100.0,11125.0,128900.0,1550700.0,1530600.0
381,20230301,INTP,11125.0,11125.0,11275.0,11025.0,11275.0,1428000.0,150.0,15981127500.0,1390.0,11275.0,51600.0,11150.0,12600.0,1029400.0,615100.0
381,20230302,INTP,11275.0,11250.0,11300.0,11125.0,11125.0,2224600.0,-150.0,24915852500.0,2093.0,11150.0,1000.0,11125.0,42600.0,686500.0,177100.0
382,20230303,INTP,11125.0,11275.0,11600.0,11175.0,11425.0,5450600.0,300.0,62248620000.0,4914.0,11425.0,256500.0,11400.0,1800.0,2668600.0,1876500.0
382,20230306,INTP,11425.0,11475.0,11600.0,11275.0,11300.0,3997600.0,-125.0,45724640000.0,2422.0,11375.0,5100.0,11275.0,36000.0,2082800.0,357600.0
382,20230307,INTP,11300.0,11250.0,11400.0,11125.0,11250.0,2064900.0,-50.0,23246337500.0,2350.0,11250.0,1000.0,11225.0,10800.0,1109100.0,1388600.0
383,20230308,INTP,11250.0,11250.0,11475.0,11200.0,11475.0,4099400.0,225.0,46757952500.0,2925.0,11475.0,182200.0,11300.0,250200.0,1659500.0,1907200.0
383,20230309,INTP,11475.0,11450.0,11475.0,11300.0,11475.0,2924200.0,0.0,33402870000.0,2787.0,11475.0,601600.0,11425.0,600.0,1081300.0,443500.0
383,20230310,INTP,11475.0,11400.0,11475.0,11325.0,11475.0,1977300.0,0.0,22599190000.0,2518.0,11475.0,608300.0,11400.0,200.0,418100.0,724400.0
383,20230313,INTP,11475.0,11475.0,11475.0,10900.0,11025.0,3317800.0,-450.0,36654345000.0,3537.0,11025.0,20700.0,11000.0,6500.0,523300.0,1628300.0
383,20230314,INTP,11025.0,11000.0,11150.0,10800.0,11000.0,2192400.0,-25.0,23982122500.0,1857.0,11000.0,109500.0,10975.0,10300.0,595000.0,772700.0
383,20230315,INTP,11000.0,10900.0,11000.0,10250.0,10250.0,4488200.0,-750.0,46812395000.0,2901.0,10250.0,3043800.0,0.0,0.0,581100.0,1389600.0
383,20230316,INTP,10250.0,9900.0,9975.0,9550.0,9750.0,11735600.0,-500.0,113630117500.0,11069.0,9750.0,10300.0,9700.0,100.0,402200.0,3516300.0
383,20230317,INTP,9750.0,9750.0,10200.0,9725.0,10000.0,9720800.0,250.0,97222162500.0,3008.0,10000.0,174400.0,9975.0,16300.0,7254800.0,6782600.0
383,20230320,INTP,10000.0,10000.0,10200.0,9925.0,10125.0,2940000.0,125.0,29632125000.0,2150.0,10125.0,47700.0,10100.0,2000.0,1048000.0,1966200.0
383,20230321,INTP,10125.0,10150.0,10275.0,10025.0,10075.0,1669800.0,-50.0,16851977500.0,1350.0,10150.0,18800.0,10075.0,280600.0,1015900.0,546600.0
383,20230324,INTP,10075.0,10100.0,10150.0,9900.0,10075.0,3467300.0,0.0,34721552500.0,3110.0,10100.0,4100.0,10075.0,174000.0,1339700.0,1874400.0
383,20230327,INTP,10075.0,10075.0,10075.0,9800.0,9950.0,5063900.0,-125.0,50134202500.0,3625.0,9975.0,8100.0,9950.0,3500.0,2325400.0,2175400.0
383,20230328,INTP,9950.0,10125.0,10750.0,10100.0,10725.0,5832200.0,775.0,61156692500.0,4818.0,10750.0,35500.0,10725.0,2000.0,1570500.0,3405400.0
383,20230329,INTP,10725.0,10750.0,10850.0,10575.0,10625.0,2698400.0,-100.0,28897630000.0,2437.0,10700.0,1300.0,10625.0,7800.0,1060700.0,1890500.0
384,20230330,INTP,10625.0,10650.0,10900.0,10575.0,10725.0,2810600.0,100.0,30202855000.0,2407.0,10725.0,50100.0,10700.0,600.0,452600.0,2113600.0
384,20230331,INTP,10725.0,10675.0,10675.0,10400.0,10525.0,5009300.0,-200.0,52671300000.0,3167.0,10525.0,316500.0,10500.0,8900.0,892100.0,3745700.0
384,20230403,INTP,10525.0,10575.0,10675.0,10200.0,10500.0,4063200.0,-25.0,42594952500.0,3690.0,10550.0,18600.0,10500.0,19200.0,546300.0,3480700.0
384,20230404,INTP,10500.0,10500.0,10600.0,10300.0,10450.0,2508300.0,-50.0,26123902500.0,1859.0,10450.0,700.0,10400.0,100.0,796200.0,1252400.0
385,20230405,INTP,10450.0,10500.0,10525.0,9725.0,9725.0,15276500.0,-725.0,151855535000.0,9209.0,9750.0,300.0,9725.0,303700.0,904700.0,6024900.0
385,20230406,INTP,9725.0,9825.0,9975.0,9750.0,9900.0,4870600.0,175.0,48154970000.0,3797.0,9900.0,299900.0,9875.0,500.0,612900.0,2347200.0
385,20230410,INTP,9900.0,9900.0,9950.0,9800.0,9900.0,1328600.0,0.0,13096385000.0,1388.0,9900.0,113400.0,9850.0,80400.0,323500.0,506900.0
385,20230411,INTP,9900.0,9900.0,10325.0,9825.0,10325.0,6471500.0,425.0,65970755000.0,3631.0,10325.0,241700.0,10300.0,1400.0,1692200.0,2752300.0
385,20230412,INTP,10325.0,10325.0,10600.0,10200.0,10400.0,4442800.0,75.0,46494420000.0,3143.0,10475.0,1500.0,10400.0,40700.0,1495000.0,2615000.0
385,20230413,INTP,10400.0,10400.0,10425.0,10200.0,10200.0,2643400.0,-200.0,27145522500.0,2670.0,10275.0,1200.0,10175.0,52800.0,766800.0,2082800.0
385,20230414,INTP,10200.0,10250.0,10400.0,10225.0,10275.0,1875600.0,75.0,19301302500.0,1471.0,10300.0,7000.0,10275.0,7800.0,224600.0,970400.0
385,20230417,INTP,10275.0,10225.0,10375.0,10150.0,10325.0,2720000.0,50.0,27951420000.0,1795.0,10325.0,14800.0,10225.0,7000.0,1393400.0,1783100.0
386,20230418,INTP,10325.0,10325.0,10450.0,10325.0,10350.0,1337600.0,25.0,13897402500.0,1293.0,10375.0,100.0,10350.0,400.0,300700.0,770100.0
386,20230426,INTP,10350.0,10250.0,10450.0,10000.0,10450.0,3767600.0,100.0,38874310000.0,3699.0,10450.0,238900.0,10375.0,100.0,2525600.0,2538200.0
386,20230427,INTP,10450.0,10350.0,10650.0,10350.0,10500.0,3699800.0,50.0,38882245000.0,3926.0,10500.0,63200.0,10475.0,100.0,1674900.0,1706500.0
386,20230428,INTP,10500.0,10550.0,10850.0,10300.0,10850.0,6691700.0,350.0,70942070000.0,4842.0,10850.0,68300.0,10825.0,5100.0,3408900.0,2639600.0
386,20230502,INTP,10850.0,10500.0,10500.0,10100.0,10100.0,5834500.0,-750.0,59141120000.0,2953.0,10100.0,849700.0,0.0,0.0,1386700.0,1268000.0
386,20230503,INTP,10100.0,10100.0,10100.0,9825.0,10000.0,3331500.0,-100.0,33069650000.0,2801.0,10000.0,2583700.0,9950.0,20400.0,1612400.0,562500.0
386,20230504,INTP,10000.0,10000.0,10075.0,9925.0,10000.0,2602000.0,0.0,25987277500.0,1890.0,10000.0,1748100.0,9975.0,21300.0,1267400.0,892300.0
386,20230505,INTP,10000.0,10000.0,10000.0,9850.0,10000.0,3572500.0,0.0,35496747500.0,2877.0,10000.0,17000.0,9975.0,2500.0,1431700.0,736500.0
387,20230508,INTP,10000.0,10025.0,10250.0,9950.0,10175.0,3938500.0,175.0,39775895000.0,5049.0,10175.0,57700.0,10125.0,500.0,569600.0,1483400.0
387,20230509,INTP,10175.0,10175.0,10450.0,10125.0,10350.0,3383200.0,175.0,35051640000.0,3642.0,10350.0,38500.0,10325.0,22700.0,1549800.0,651400.0
387,20230510,INTP,10350.0,10325.0,10400.0,10200.0,10200.0,1531500.0,-150.0,15717262500.0,1749.0,10225.0,2200.0,10200.0,85800.0,1046900.0,253300.0
387,20230511,INTP,10200.0,10200.0,10300.0,10075.0,10225.0,2225600.0,25.0,22660410000.0,1965.0,10225.0,125900.0,10150.0,1000.0,1618600.0,526000.0
387,20230512,INTP,10225.0,10225.0,10400.0,10100.0,10200.0,1236300.0,-25.0,12597312500.0,1531.0,10200.0,93100.0,10150.0,3500.0,972500.0,319300.0
387,20230515,INTP,10200.0,10200.0,10200.0,10100.0,10200.0,1198400.0,0.0,12168322500.0,1231.0,10200.0,91300.0,10175.0,100.0,650100.0,642200.0
387,20230516,INTP,10200.0,10200.0,10300.0,10150.0,10275.0,2703700.0,75.0,27711590000.0,2526.0,10300.0,3800.0,10275.0,8200.0,1789700.0,455400.0
387,20230517,INTP,10275.0,10325.0,10500.0,10250.0,10375.0,2923000.0,100.0,30421167500.0,2464.0,10375.0,121800.0,10350.0,20500.0,1374200.0,464700.0
387,20230519,INTP,10375.0,10250.0,10325.0,10000.0,10200.0,3344000.0,-175.0,34099402500.0,2376.0,10225.0,300.0,10200.0,187500.0,1983800.0,660300.0
387,20230522,INTP,10200.0,10200.0,10425.0,10150.0,10300.0,2496700.0,100.0,25667807500.0,1993.0,10300.0,177700.0,10275.0,1100.0,1445400.0,663500.0
387,20230523,INTP,10300.0,10275.0,10275.0,9925.0,9975.0,5589100.0,-325.0,56059817500.0,4724.0,10000.0,80100.0,9975.0,652800.0,2993200.0,110500.0
387,20230524,INTP,9975.0,9975.0,10075.0,9900.0,10050.0,3608300.0,75.0,36133652500.0,3594.0,10050.0,213900.0,10025.0,500.0,2332600.0,636700.0
387,20230525,INTP,10050.0,10050.0,10200.0,10000.0,10075.0,4546600.0,25.0,46043617500.0,2546.0,10100.0,54800.0,10075.0,13400.0,3081200.0,639500.0
387,20230526,INTP,10075.0,10075.0,10175.0,10050.0,10050.0,2161800.0,-25.0,21762822500.0,1819.0,10050.0,27400.0,10025.0,13500.0,833000.0,331800.0
387,20230529,INTP,10050.0,9950.0,10200.0,9925.0,10200.0,1780800.0,150.0,17918375000.0,1551.0,10200.0,87000.0,10125.0,100.0,553700.0,455300.0
387,20230530,INTP,10200.0,10175.0,10300.0,10075.0,10250.0,1284600.0,50.0,13131687500.0,1453.0,10250.0,14800.0,10200.0,5100.0,483000.0,80800.0
387,20230531,INTP,10250.0,10175.0,10200.0,9900.0,9900.0,3947800.0,-350.0,39451275000.0,3034.0,9975.0,100.0,9900.0,1020500.0,2891000.0,851600.0
387,20230605,INTP,9900.0,9950.0,9975.0,9825.0,9900.0,2967200.0,0.0,29384675000.0,3745.0,9925.0,36000.0,9900.0,70500.0,1663800.0,222700.0
387,20230606,INTP,9900.0,9850.0,9900.0,9775.0,9775.0,4564400.0,-125.0,44819882500.0,2712.0,9850.0,9800.0,9775.0,99200.0,1428500.0,899100.0
387,20230607,INTP,9775.0,9775.0,9850.0,9600.0,9700.0,4968000.0,-75.0,48074627500.0,4029.0,9700.0,100400.0,9675.0,3900.0,2129600.0,399900.0
387,20230608,INTP,9700.0,9700.0,9725.0,9550.0,9575.0,5733900.0,-125.0,55019475000.0,3243.0,9600.0,31100.0,9575.0,202900.0,1314200.0,662300.0
387,20230609,INTP,9575.0,9600.0,9675.0,9450.0,9625.0,5765300.0,50.0,55017095000.0,3487.0,9650.0,10700.0,9625.0,50700.0,700500.0,1418500.0
387,20230612,INTP,9625.0,9625.0,9825.0,9625.0,9800.0,3359600.0,175.0,32776270000.0,2123.0,9800.0,1600.0,9775.0,4600.0,734600.0,1052100.0
387,20230613,INTP,9800.0,9825.0,9900.0,9800.0,9800.0,2485200.0,0.0,24488795000.0,1940.0,9825.0,100.0,9800.0,408800.0,276900.0,693000.0
387,20230614,INTP,9800.0,9800.0,9875.0,9725.0,9775.0,3881300.0,-25.0,37926497500.0,1644.0,9775.0,17300.0,9750.0,283600.0,1291100.0,476100.0
387,20230615,INTP,9775.0,9825.0,9925.0,9775.0,9925.0,2019000.0,150.0,19948312500.0,1992.0,9925.0,63700.0,9900.0,100.0,366900.0,1249900.0
387,20230616,INTP,9925.0,9900.0,9900.0,9750.0,9750.0,3568400.0,-175.0,34993242500.0,2091.0,9800.0,200.0,9750.0,119100.0,2311000.0,1656000.0
387,20230619,INTP,9750.0,9825.0,9900.0,9775.0,9875.0,1916900.0,125.0,18852485000.0,2029.0,9875.0,44700.0,9850.0,7200.0,69500.0,833800.0
387,20230620,INTP,9875.0,9875.0,9875.0,9750.0,9775.0,1488100.0,-100.0,14556712500.0,1223.0,9800.0,13600.0,9775.0,72100.0,723100.0,60600.0
387,20230621,INTP,9775.0,9775.0,9800.0,9625.0,9800.0,3463400.0,25.0,33639875000.0,1905.0,9800.0,111900.0,9750.0,2700.0,1847500.0,452900.0
387,20230622,INTP,9800.0,9775.0,9850.0,9750.0,9775.0,1898000.0,-25.0,18589737500.0,1330.0,9825.0,3100.0,9775.0,15600.0,363500.0,313800.0
387,20230623,INTP,9775.0,9750.0,9950.0,9750.0,9800.0,2745300.0,25.0,27098207500.0,1835.0,9800.0,2500.0,9775.0,615600.0,312800.0,839500.0
387,20230626,INTP,9800.0,9850.0,9875.0,9750.0,9750.0,1029000.0,-50.0,10059157500.0,1073.0,9800.0,17800.0,9750.0,1400.0,292300.0,268800.0
387,20230627,INTP,9750.0,9800.0,9925.0,9725.0,9925.0,2698800.0,175.0,26601695000.0,1987.0,9925.0,412900.0,9825.0,400.0,1429800.0,348000.0
387,20230703,INTP,9925.0,9925.0,9925.0,9650.0,9675.0,3986100.0,-250.0,38734872500.0,3580.0,9700.0,19000.0,9675.0,33800.0,3144900.0,534400.0
387,20230704,INTP,9675.0,9700.0,9700.0,9550.0,9600.0,3755800.0,-75.0,35989425000.0,2773.0,9625.0,24800.0,9600.0,89400.0,1754200.0,179400.0
387,20230705,INTP,9600.0,9600.0,9775.0,9550.0,9725.0,3658800.0,125.0,35416577500.0,4012.0,9750.0,65500.0,9725.0,600.0,1288400.0,548800.0
387,20230706,INTP,9725.0,9750.0,9950.0,9750.0,9900.0,6189500.0,175.0,61172467500.0,6244.0,9925.0,23800.0,9900.0,456100.0,2201200.0,1767000.0
388,20230707,INTP,9900.0,9900.0,10175.0,9875.0,10125.0,3901100.0,225.0,39193177500.0,3262.0,10125.0,4600.0,10100.0,900.0,725700.0,615600.0
390,20230710,INTP,10125.0,10125.0,10225.0,10050.0,10100.0,2924800.0,-25.0,29713225000.0,3638.0,10175.0,700.0,10100.0,182100.0,1127100.0,287000.0
390,20230711,INTP,10100.0,10125.0,10275.0,10050.0,10275.0,4504700.0,175.0,45814630000.0,5548.0,10275.0,49900.0,10250.0,500.0,1493100.0,652200.0
390,20230712,INTP,10275.0,10275.0,10350.0,10150.0,10150.0,4992300.0,-125.0,51048127500.0,4965.0,10200.0,1000.0,10150.0,75700.0,1403600.0,595500.0
390,20230713,INTP,10150.0,10150.0,10325.0,10150.0,10250.0,3337100.0,100.0,34180435000.0,3543.0,10250.0,232900.0,10225.0,21400.0,810600.0,680400.0
390,20230714,INTP,10250.0,10375.0,10450.0,10250.0,10350.0,4295100.0,100.0,44478032500.0,3546.0,10350.0,169100.0,10325.0,3200.0,657800.0,1273600.0
390,20230717,INTP,10350.0,10350.0,10450.0,10225.0,10275.0,4020400.0,-75.0,41641440000.0,3720.0,10275.0,11900.0,10250.0,38800.0,386800.0,2630500.0
390,20230718,INTP,10275.0,10275.0,10325.0,10100.0,10275.0,2950100.0,0.0,30070802500.0,3140.0,10300.0,272300.0,10275.0,41500.0,745500.0,764900.0
390,20230720,INTP,10275.0,10300.0,10300.0,10075.0,10175.0,2458200.0,-100.0,24989655000.0,2638.0,10200.0,22000.0,10175.0,3000.0,1220100.0,1415000.0
390,20230721,INTP,10175.0,10200.0,10375.0,10050.0,10350.0,4190800.0,175.0,43050860000.0,2183.0,10350.0,6300.0,10325.0,1000.0,2064700.0,676200.0
391,20230724,INTP,10350.0,10375.0,10425.0,10250.0,10350.0,3271300.0,0.0,33910477500.0,1746.0,10375.0,500.0,10350.0,5500.0,1491200.0,1457900.0
391,20230725,INTP,10350.0,10300.0,10550.0,10275.0,10450.0,5764300.0,100.0,60262252500.0,3391.0,10475.0,36600.0,10450.0,6600.0,2176400.0,1966700.0
