No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
383,20221230,ITMA,800.0,0.0,830.0,780.0,815.0,171500.0,15.0,138916000.0,170.0,820.0,22200.0,815.0,1100.0,11700.0,0.0
383,20230102,ITMA,815.0,0.0,820.0,800.0,810.0,101000.0,-5.0,81801000.0,81.0,815.0,6800.0,810.0,1000.0,12300.0,0.0
383,20230103,ITMA,810.0,0.0,810.0,770.0,790.0,128600.0,-20.0,100842000.0,172.0,790.0,1200.0,780.0,39300.0,12900.0,14800.0
383,20230104,ITMA,790.0,0.0,810.0,785.0,795.0,175000.0,5.0,139927500.0,131.0,800.0,4400.0,795.0,91400.0,21000.0,0.0
383,20230105,ITMA,795.0,0.0,795.0,740.0,740.0,413400.0,-55.0,312288500.0,255.0,740.0,9800.0,0.0,0.0,11700.0,31900.0
386,20230106,ITMA,740.0,0.0,780.0,710.0,770.0,178400.0,30.0,132333500.0,185.0,770.0,88100.0,725.0,4600.0,14400.0,0.0
387,20230109,ITMA,770.0,0.0,780.0,720.0,725.0,247000.0,-45.0,180554000.0,196.0,730.0,2700.0,725.0,10000.0,15000.0,25900.0
387,20230110,ITMA,725.0,0.0,740.0,690.0,710.0,115500.0,-15.0,81474500.0,147.0,720.0,15700.0,710.0,1200.0,15800.0,0.0
388,20230111,ITMA,710.0,0.0,715.0,690.0,700.0,212000.0,-10.0,150000000.0,80.0,710.0,6400.0,700.0,2700.0,15000.0,0.0
388,20230112,ITMA,700.0,0.0,720.0,700.0,710.0,110700.0,10.0,78647000.0,92.0,710.0,400.0,705.0,41800.0,16400.0,200.0
388,20230113,ITMA,710.0,0.0,720.0,705.0,705.0,109400.0,-5.0,77852000.0,107.0,720.0,1000.0,705.0,229400.0,17400.0,0.0
388,20230116,ITMA,705.0,0.0,710.0,705.0,710.0,124200.0,5.0,87796000.0,73.0,710.0,56500.0,705.0,157800.0,16700.0,1000.0
388,20230117,ITMA,710.0,0.0,715.0,705.0,715.0,56500.0,5.0,40116500.0,90.0,715.0,1700.0,710.0,1900.0,16000.0,0.0
388,20230118,ITMA,715.0,0.0,715.0,705.0,705.0,125100.0,-10.0,88735500.0,70.0,715.0,1600.0,705.0,128500.0,16800.0,0.0
388,20230119,ITMA,705.0,0.0,720.0,700.0,715.0,121500.0,10.0,86139000.0,112.0,720.0,8100.0,715.0,6900.0,17800.0,0.0
388,20230120,ITMA,715.0,0.0,720.0,710.0,715.0,48700.0,0.0,34772000.0,54.0,720.0,14900.0,715.0,700.0,16700.0,0.0
388,20230124,ITMA,715.0,0.0,730.0,705.0,705.0,77500.0,-10.0,55324500.0,101.0,715.0,5100.0,705.0,83600.0,13600.0,0.0
388,20230125,ITMA,705.0,0.0,710.0,670.0,695.0,465600.0,-10.0,319089000.0,212.0,695.0,24400.0,690.0,100.0,14500.0,58700.0
388,20230126,ITMA,695.0,0.0,695.0,665.0,690.0,395600.0,-5.0,267221000.0,158.0,690.0,5800.0,680.0,10300.0,17100.0,4000.0
388,20230127,ITMA,690.0,0.0,700.0,680.0,695.0,598800.0,5.0,412156000.0,185.0,695.0,46100.0,690.0,52600.0,21500.0,0.0
388,20230130,ITMA,695.0,0.0,705.0,690.0,695.0,159800.0,0.0,111389000.0,118.0,700.0,7900.0,695.0,7400.0,22000.0,0.0
388,20230131,ITMA,695.0,0.0,715.0,690.0,710.0,461700.0,15.0,326723000.0,190.0,715.0,16200.0,710.0,28800.0,45600.0,500.0
389,20230201,ITMA,710.0,0.0,715.0,695.0,700.0,135500.0,-10.0,95279500.0,80.0,705.0,1100.0,700.0,2500.0,43700.0,0.0
389,20230202,ITMA,700.0,0.0,705.0,690.0,700.0,128300.0,0.0,89477000.0,79.0,705.0,6200.0,700.0,146900.0,19900.0,0.0
389,20230203,ITMA,700.0,0.0,700.0,690.0,700.0,98100.0,0.0,68259500.0,76.0,700.0,4300.0,695.0,10600.0,28800.0,100.0
389,20230206,ITMA,700.0,0.0,700.0,690.0,700.0,79300.0,0.0,55164000.0,58.0,700.0,4100.0,695.0,100.0,24900.0,0.0
