No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
384,20221230,ITMG,39300.0,39350.0,39475.0,38975.0,39025.0,2089700.0,-275.0,81680525000.0,3283.0,39075.0,9900.0,39025.0,20200.0,513500.0,593300.0
384,20230102,ITMG,39025.0,39050.0,40000.0,39050.0,39600.0,737000.0,575.0,29210442500.0,1657.0,39600.0,90300.0,39550.0,1500.0,52800.0,162100.0
384,20230103,ITMG,39600.0,39600.0,39650.0,39025.0,39050.0,1457300.0,-550.0,57188405000.0,2679.0,39075.0,300.0,39050.0,55600.0,778000.0,288600.0
384,20230104,ITMG,39050.0,39050.0,39100.0,37500.0,37525.0,3547900.0,-1525.0,135345580000.0,7567.0,37525.0,46300.0,37500.0,258300.0,907400.0,469500.0
384,20230105,ITMG,37525.0,37525.0,37525.0,35025.0,35150.0,5661500.0,-2375.0,204940560000.0,9243.0,35200.0,1100.0,35150.0,57300.0,1796600.0,1095100.0
387,20230106,ITMG,35150.0,35100.0,36125.0,34500.0,35400.0,3838200.0,250.0,136263980000.0,8774.0,35425.0,4900.0,35400.0,26500.0,1756000.0,773100.0
388,20230109,ITMG,35400.0,35400.0,35750.0,34275.0,34800.0,2587500.0,-600.0,90779772500.0,5158.0,34850.0,4700.0,34800.0,9000.0,563900.0,452700.0
388,20230110,ITMG,34800.0,34800.0,36125.0,34325.0,36100.0,2767600.0,1300.0,97607037500.0,5341.0,36100.0,1900.0,36050.0,6000.0,948700.0,1318200.0
389,20230111,ITMG,36100.0,36100.0,36600.0,35300.0,36075.0,2209800.0,-25.0,79418645000.0,4251.0,36100.0,3100.0,36075.0,4700.0,1115600.0,892700.0
389,20230112,ITMG,36075.0,35975.0,35975.0,34825.0,34875.0,2941900.0,-1200.0,103850535000.0,5861.0,34875.0,20100.0,34850.0,9700.0,1030100.0,1222300.0
389,20230113,ITMG,34875.0,35100.0,35475.0,35100.0,35300.0,1176500.0,425.0,41524740000.0,2386.0,35300.0,9500.0,35275.0,2300.0,489500.0,474900.0
389,20230116,ITMG,35300.0,35300.0,35300.0,34650.0,35075.0,1041200.0,-225.0,36459075000.0,1871.0,35100.0,1500.0,35075.0,15300.0,262900.0,406300.0
389,20230117,ITMG,35075.0,34550.0,35550.0,34550.0,35550.0,1655200.0,475.0,58420672500.0,2911.0,35550.0,26500.0,35350.0,6200.0,642700.0,866500.0
389,20230118,ITMG,35550.0,35925.0,36500.0,35500.0,35700.0,1970600.0,150.0,70795022500.0,3726.0,35725.0,4700.0,35700.0,18900.0,881600.0,346500.0
389,20230119,ITMG,35700.0,35050.0,36975.0,35050.0,36850.0,1461300.0,1150.0,53106610000.0,4057.0,36875.0,16600.0,36850.0,2200.0,266400.0,558200.0
389,20230120,ITMG,36850.0,37000.0,38675.0,36950.0,38325.0,2827800.0,1475.0,107486920000.0,7103.0,38325.0,64900.0,38300.0,30400.0,694900.0,353100.0
389,20230124,ITMG,38325.0,38000.0,38025.0,37275.0,37500.0,1987400.0,-825.0,74619772500.0,4633.0,37500.0,8200.0,37475.0,700.0,856000.0,276400.0
389,20230125,ITMG,37500.0,37500.0,37500.0,36525.0,36525.0,1687100.0,-975.0,61997775000.0,4000.0,36550.0,400.0,36525.0,9900.0,427400.0,167300.0
