No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
412,20221230,KEJU,1385.0,0.0,1435.0,1385.0,1430.0,5700.0,45.0,8112500.0,8.0,1430.0,51400.0,1375.0,100.0,0.0,0.0
412,20230102,KEJU,1430.0,0.0,1430.0,1400.0,1400.0,6400.0,-30.0,8990000.0,6.0,1400.0,14400.0,1395.0,100.0,0.0,0.0
412,20230103,KEJU,1400.0,0.0,1415.0,1310.0,1405.0,41300.0,5.0,57195000.0,24.0,1405.0,2900.0,1400.0,1000.0,700.0,0.0
412,20230104,KEJU,1405.0,0.0,1405.0,1365.0,1400.0,3400.0,-5.0,4734000.0,9.0,1400.0,700.0,1370.0,22000.0,0.0,0.0
412,20230105,KEJU,1400.0,0.0,1400.0,1325.0,1400.0,65200.0,0.0,88876000.0,27.0,1400.0,17200.0,1335.0,14900.0,0.0,0.0
415,20230106,KEJU,1400.0,0.0,1400.0,1340.0,1400.0,2700.0,0.0,3721000.0,14.0,1400.0,21800.0,1355.0,100.0,0.0,0.0
416,20230109,KEJU,1400.0,0.0,1400.0,1360.0,1400.0,25500.0,0.0,35473000.0,15.0,1400.0,168200.0,1360.0,19400.0,0.0,0.0
416,20230110,KEJU,1400.0,0.0,1400.0,1400.0,1400.0,3900.0,0.0,5460000.0,2.0,1380.0,150800.0,1360.0,20200.0,0.0,0.0
417,20230111,KEJU,1400.0,0.0,1400.0,1355.0,1395.0,49900.0,-5.0,68435500.0,29.0,1395.0,11500.0,1355.0,200.0,600.0,0.0
417,20230112,KEJU,1395.0,0.0,1385.0,1360.0,1370.0,15400.0,-25.0,21019000.0,23.0,1370.0,145400.0,1360.0,100.0,0.0,500.0
417,20230113,KEJU,1370.0,0.0,1355.0,1355.0,1355.0,10900.0,-15.0,14769500.0,9.0,1355.0,134800.0,1350.0,800.0,0.0,0.0
417,20230116,KEJU,1355.0,0.0,1355.0,1330.0,1355.0,20400.0,0.0,27232500.0,31.0,1355.0,133900.0,1350.0,600.0,0.0,0.0
417,20230117,KEJU,1355.0,0.0,1375.0,1350.0,1375.0,3900.0,20.0,5310000.0,17.0,1375.0,1500.0,1355.0,200.0,0.0,0.0
417,20230118,KEJU,1375.0,0.0,1380.0,1340.0,1370.0,20700.0,-5.0,27885500.0,27.0,1370.0,1000.0,1350.0,100.0,100.0,0.0
417,20230119,KEJU,1370.0,0.0,1390.0,1300.0,1390.0,250500.0,20.0,329914000.0,101.0,1390.0,11900.0,1350.0,600.0,0.0,0.0
417,20230120,KEJU,1390.0,0.0,1400.0,1350.0,1390.0,15300.0,0.0,20934000.0,22.0,1390.0,9100.0,1365.0,100.0,0.0,0.0
417,20230124,KEJU,1390.0,0.0,1390.0,1315.0,1380.0,23900.0,-10.0,32256000.0,33.0,1380.0,5400.0,1375.0,100.0,200.0,5400.0
417,20230125,KEJU,1380.0,0.0,1385.0,1350.0,1380.0,8700.0,0.0,11879000.0,38.0,1380.0,5600.0,1375.0,300.0,0.0,0.0
417,20230126,KEJU,1380.0,0.0,1380.0,1360.0,1380.0,4900.0,0.0,6735500.0,15.0,1380.0,21400.0,1360.0,200.0,0.0,0.0
