No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
413,20221230,KETR,288.0,0.0,292.0,272.0,276.0,10577900.0,-12.0,2971626200.0,1519.0,276.0,420400.0,274.0,60300.0,88900.0,15600.0
413,20230102,KETR,276.0,0.0,308.0,276.0,308.0,31992500.0,32.0,9545647800.0,5786.0,310.0,634200.0,308.0,700700.0,50900.0,54200.0
413,20230103,KETR,308.0,0.0,326.0,288.0,300.0,23633000.0,-8.0,7277515800.0,5081.0,300.0,5139800.0,298.0,29100.0,37900.0,32600.0
413,20230104,KETR,300.0,0.0,300.0,280.0,280.0,11913100.0,-20.0,3417838200.0,2045.0,280.0,810700.0,0.0,0.0,32600.0,13700.0
413,20230105,KETR,280.0,0.0,284.0,262.0,262.0,14014400.0,-18.0,3722096000.0,1753.0,262.0,2285700.0,0.0,0.0,153700.0,140000.0
416,20230106,KETR,262.0,0.0,258.0,244.0,244.0,5316700.0,-18.0,1309107200.0,681.0,244.0,2449100.0,0.0,0.0,0.0,0.0
417,20230109,KETR,244.0,0.0,254.0,230.0,240.0,12591200.0,-4.0,3049238000.0,1948.0,242.0,53300.0,240.0,58100.0,0.0,20400.0
417,20230110,KETR,240.0,0.0,246.0,236.0,236.0,2609800.0,-4.0,624991000.0,578.0,238.0,3100.0,236.0,435000.0,20400.0,4400.0
418,20230111,KETR,236.0,0.0,242.0,228.0,228.0,4984400.0,-8.0,1155724400.0,904.0,228.0,45300.0,226.0,218800.0,4400.0,19000.0
418,20230112,KETR,228.0,0.0,234.0,222.0,230.0,2419600.0,2.0,555847600.0,607.0,230.0,73800.0,228.0,227100.0,17200.0,11600.0
418,20230113,KETR,230.0,0.0,234.0,224.0,224.0,2571600.0,-6.0,582387200.0,410.0,226.0,5700.0,224.0,21600.0,8200.0,2000.0
418,20230116,KETR,224.0,0.0,240.0,224.0,240.0,4401700.0,16.0,1036492800.0,791.0,242.0,110600.0,240.0,121000.0,7200.0,24800.0
418,20230117,KETR,240.0,0.0,242.0,230.0,236.0,1621000.0,-4.0,381935400.0,403.0,238.0,70100.0,236.0,6700.0,35500.0,4400.0
418,20230118,KETR,236.0,0.0,236.0,228.0,230.0,1430600.0,-6.0,330754000.0,290.0,230.0,40000.0,228.0,240600.0,7800.0,800.0
418,20230119,KETR,230.0,0.0,236.0,226.0,228.0,1526000.0,-2.0,349667400.0,451.0,228.0,14900.0,226.0,375200.0,0.0,0.0
418,20230120,KETR,228.0,0.0,232.0,226.0,228.0,1545800.0,0.0,353428000.0,306.0,230.0,14600.0,228.0,615900.0,12700.0,0.0
418,20230124,KETR,228.0,0.0,256.0,230.0,244.0,7321700.0,16.0,1771742600.0,1509.0,246.0,141000.0,244.0,250600.0,0.0,0.0
418,20230125,KETR,244.0,0.0,254.0,238.0,242.0,3162300.0,-2.0,776993000.0,781.0,244.0,47800.0,242.0,18700.0,0.0,0.0
418,20230126,KETR,242.0,0.0,250.0,240.0,248.0,2083100.0,6.0,512656400.0,414.0,250.0,228100.0,248.0,63000.0,0.0,151000.0
418,20230127,KETR,248.0,0.0,250.0,232.0,234.0,3451900.0,-14.0,818395400.0,708.0,236.0,75000.0,234.0,24600.0,146600.0,2000.0
418,20230130,KETR,234.0,0.0,238.0,228.0,230.0,1108600.0,-4.0,257768800.0,230.0,232.0,100.0,230.0,4700.0,2400.0,0.0
418,20230131,KETR,230.0,0.0,238.0,228.0,230.0,1777700.0,0.0,411884800.0,403.0,232.0,40000.0,230.0,242000.0,115000.0,0.0
419,20230201,KETR,230.0,0.0,238.0,230.0,234.0,941100.0,4.0,220038200.0,242.0,236.0,47000.0,234.0,18000.0,0.0,0.0
419,20230202,KETR,234.0,0.0,242.0,234.0,238.0,1412400.0,4.0,335440200.0,308.0,238.0,31800.0,236.0,26200.0,0.0,0.0
419,20230203,KETR,238.0,0.0,240.0,236.0,236.0,1048700.0,-2.0,248402000.0,242.0,236.0,226700.0,234.0,385000.0,200.0,0.0
419,20230206,KETR,236.0,0.0,238.0,230.0,232.0,720700.0,-4.0,166939000.0,162.0,232.0,231200.0,230.0,257200.0,0.0,0.0
420,20230207,KETR,232.0,0.0,236.0,226.0,228.0,1575400.0,-4.0,360144600.0,239.0,228.0,134600.0,226.0,577000.0,0.0,0.0
422,20230208,KETR,228.0,0.0,232.0,226.0,228.0,688600.0,0.0,157189000.0,150.0,230.0,238000.0,228.0,22600.0,0.0,0.0
422,20230209,KETR,228.0,0.0,230.0,226.0,226.0,864900.0,-2.0,196185600.0,225.0,228.0,53600.0,226.0,185500.0,0.0,100.0
422,20230210,KETR,226.0,0.0,232.0,220.0,224.0,2832400.0,-2.0,638960400.0,381.0,226.0,111700.0,222.0,103300.0,0.0,0.0
422,20230213,KETR,224.0,0.0,228.0,224.0,228.0,357800.0,4.0,80896200.0,103.0,228.0,121300.0,224.0,302900.0,0.0,0.0
422,20230214,KETR,228.0,0.0,228.0,224.0,224.0,605400.0,-4.0,136456800.0,114.0,226.0,250300.0,224.0,208100.0,0.0,0.0
422,20230215,KETR,224.0,0.0,238.0,224.0,228.0,2129800.0,4.0,488883200.0,531.0,230.0,43700.0,228.0,1800.0,0.0,800.0
422,20230216,KETR,228.0,0.0,232.0,226.0,228.0,395400.0,0.0,90127000.0,161.0,228.0,144000.0,226.0,132100.0,0.0,0.0
422,20230217,KETR,228.0,0.0,230.0,224.0,228.0,334100.0,0.0,75697400.0,121.0,228.0,99600.0,226.0,500.0,0.0,0.0
422,20230220,KETR,228.0,0.0,230.0,224.0,224.0,768100.0,-4.0,172685600.0,185.0,224.0,78200.0,222.0,326500.0,0.0,0.0
422,20230221,KETR,224.0,0.0,226.0,222.0,222.0,819800.0,-2.0,182643200.0,183.0,222.0,118300.0,220.0,142200.0,0.0,0.0
422,20230222,KETR,222.0,0.0,224.0,212.0,218.0,1164600.0,-4.0,252794000.0,327.0,218.0,59900.0,216.0,200.0,0.0,0.0
422,20230223,KETR,218.0,0.0,220.0,204.0,204.0,2838400.0,-14.0,582838200.0,435.0,204.0,919200.0,0.0,0.0,0.0,0.0
422,20230224,KETR,204.0,0.0,202.0,190.0,190.0,6524000.0,-14.0,1247075800.0,1074.0,190.0,2173100.0,0.0,0.0,0.0,0.0
423,20230227,KETR,190.0,0.0,197.0,179.0,181.0,2549300.0,-9.0,470165100.0,632.0,184.0,150000.0,181.0,302900.0,0.0,0.0
423,20230228,KETR,181.0,0.0,232.0,177.0,206.0,11987600.0,25.0,2551986700.0,2766.0,206.0,600.0,204.0,1200.0,0.0,100000.0
424,20230301,KETR,206.0,0.0,214.0,197.0,199.0,1881500.0,-7.0,381532400.0,672.0,200.0,2900.0,199.0,3007000.0,0.0,0.0
424,20230302,KETR,199.0,0.0,210.0,199.0,202.0,1332000.0,3.0,272752900.0,431.0,204.0,100000.0,202.0,4020400.0,0.0,40000.0
425,20230303,KETR,202.0,0.0,208.0,200.0,200.0,698400.0,-2.0,141482800.0,156.0,200.0,66000.0,199.0,15100.0,0.0,0.0
425,20230306,KETR,200.0,0.0,208.0,194.0,194.0,490800.0,-6.0,96737400.0,255.0,197.0,5000.0,194.0,4610000.0,0.0,0.0
425,20230307,KETR,194.0,0.0,200.0,194.0,194.0,269100.0,0.0,52798300.0,177.0,194.0,2800.0,193.0,122700.0,0.0,0.0
426,20230308,KETR,194.0,0.0,200.0,193.0,197.0,626900.0,3.0,122800500.0,149.0,197.0,130000.0,195.0,54400.0,0.0,0.0
426,20230309,KETR,197.0,0.0,197.0,191.0,192.0,1521100.0,-5.0,293673000.0,169.0,192.0,153800.0,191.0,31300.0,0.0,1050000.0
426,20230310,KETR,192.0,0.0,197.0,185.0,190.0,1104800.0,-2.0,209495000.0,178.0,191.0,13400.0,190.0,1776300.0,0.0,0.0
426,20230313,KETR,190.0,0.0,198.0,185.0,185.0,274600.0,-5.0,51458800.0,212.0,186.0,500.0,184.0,11400.0,0.0,0.0
426,20230314,KETR,185.0,0.0,186.0,173.0,175.0,3734600.0,-10.0,655133700.0,531.0,176.0,2300.0,174.0,200.0,0.0,0.0
426,20230315,KETR,175.0,0.0,178.0,166.0,175.0,553700.0,0.0,95261900.0,341.0,175.0,54600.0,168.0,1900.0,0.0,100400.0
426,20230316,KETR,175.0,0.0,175.0,165.0,168.0,450400.0,-7.0,76865300.0,208.0,172.0,100.0,168.0,68300.0,0.0,200000.0
426,20230317,KETR,168.0,0.0,175.0,167.0,173.0,206100.0,5.0,35038700.0,118.0,173.0,1800.0,171.0,15200.0,0.0,0.0
426,20230320,KETR,173.0,0.0,174.0,167.0,170.0,114000.0,-3.0,19254800.0,93.0,170.0,1400.0,168.0,3016200.0,0.0,0.0
426,20230321,KETR,170.0,0.0,177.0,164.0,171.0,855200.0,1.0,146187400.0,219.0,173.0,25200.0,171.0,63800.0,0.0,0.0
426,20230324,KETR,171.0,0.0,175.0,169.0,175.0,580100.0,4.0,100108200.0,124.0,176.0,4900.0,175.0,300.0,0.0,72000.0
426,20230327,KETR,175.0,0.0,176.0,170.0,173.0,177800.0,-2.0,30630900.0,92.0,173.0,4600.0,171.0,57500.0,0.0,0.0
426,20230328,KETR,173.0,0.0,195.0,173.0,176.0,690900.0,3.0,125445700.0,434.0,176.0,35800.0,175.0,4100.0,0.0,0.0
426,20230329,KETR,176.0,0.0,180.0,166.0,173.0,261600.0,-3.0,45321200.0,131.0,173.0,10100.0,172.0,27400.0,0.0,0.0
427,20230330,KETR,173.0,0.0,176.0,166.0,170.0,1248100.0,-3.0,213854900.0,182.0,171.0,200.0,170.0,3894400.0,0.0,231500.0
427,20230331,KETR,170.0,0.0,182.0,170.0,173.0,771300.0,3.0,136328300.0,293.0,173.0,89300.0,172.0,103200.0,0.0,0.0
427,20230403,KETR,173.0,0.0,179.0,171.0,175.0,507300.0,2.0,88855100.0,212.0,176.0,22500.0,175.0,5900.0,0.0,0.0
427,20230404,KETR,175.0,0.0,176.0,170.0,174.0,373400.0,-1.0,64185000.0,106.0,174.0,25000.0,171.0,21000.0,0.0,0.0
428,20230405,KETR,174.0,0.0,172.0,169.0,171.0,614000.0,-3.0,104469500.0,137.0,171.0,21000.0,170.0,14200.0,0.0,65000.0
428,20230406,KETR,171.0,0.0,172.0,169.0,170.0,367100.0,-1.0,62447900.0,129.0,171.0,31600.0,169.0,50500.0,0.0,0.0
428,20230410,KETR,170.0,0.0,188.0,169.0,178.0,4493100.0,8.0,810980600.0,1610.0,178.0,46200.0,176.0,25300.0,203900.0,0.0
428,20230411,KETR,178.0,0.0,180.0,169.0,170.0,2125800.0,-8.0,365500200.0,426.0,173.0,13500.0,170.0,41000.0,35000.0,187600.0
428,20230412,KETR,170.0,0.0,174.0,166.0,168.0,1066900.0,-2.0,179989900.0,190.0,170.0,65300.0,168.0,53700.0,0.0,6800.0
428,20230413,KETR,168.0,0.0,171.0,160.0,168.0,1567900.0,0.0,260592400.0,291.0,168.0,104900.0,167.0,700.0,0.0,640000.0
428,20230414,KETR,168.0,0.0,178.0,165.0,171.0,3200100.0,3.0,549368400.0,935.0,171.0,49900.0,169.0,10000.0,235700.0,590400.0
428,20230417,KETR,171.0,0.0,172.0,166.0,172.0,393600.0,1.0,66629300.0,135.0,172.0,30200.0,168.0,2000.0,2500.0,200000.0
429,20230418,KETR,172.0,0.0,172.0,167.0,171.0,395300.0,-1.0,67012100.0,107.0,171.0,17600.0,168.0,21200.0,33000.0,202100.0
429,20230426,KETR,171.0,0.0,175.0,167.0,171.0,355600.0,0.0,60613600.0,119.0,171.0,54400.0,168.0,77800.0,0.0,0.0
429,20230427,KETR,171.0,0.0,172.0,167.0,171.0,181500.0,0.0,30589600.0,96.0,171.0,44200.0,169.0,10000.0,0.0,0.0
429,20230428,KETR,171.0,0.0,174.0,168.0,171.0,358400.0,0.0,60770800.0,73.0,171.0,7900.0,169.0,5600.0,0.0,0.0
429,20230502,KETR,171.0,0.0,174.0,168.0,169.0,1246600.0,-2.0,211691500.0,113.0,170.0,9400.0,169.0,28500.0,0.0,269900.0
429,20230503,KETR,169.0,0.0,175.0,169.0,170.0,676000.0,1.0,115908800.0,222.0,172.0,1100.0,170.0,122000.0,0.0,86600.0
429,20230504,KETR,170.0,0.0,185.0,170.0,180.0,3050200.0,10.0,546991600.0,734.0,181.0,100.0,180.0,6300.0,217400.0,80300.0
429,20230505,KETR,180.0,0.0,198.0,180.0,180.0,5342800.0,0.0,1001527400.0,1561.0,180.0,3800.0,179.0,6300.0,199700.0,218600.0
431,20230508,KETR,180.0,0.0,184.0,176.0,177.0,699000.0,-3.0,124246700.0,223.0,180.0,600.0,177.0,21000.0,0.0,88800.0
431,20230509,KETR,177.0,0.0,185.0,176.0,184.0,492100.0,7.0,89480800.0,243.0,184.0,49700.0,183.0,5600.0,0.0,54900.0
