No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
418,20221230,KIOS,188.0,0.0,187.0,175.0,175.0,46142900.0,-13.0,8210302700.0,2920.0,175.0,3457500.0,0.0,0.0,2213200.0,1968200.0
418,20230102,KIOS,175.0,0.0,175.0,163.0,163.0,85100200.0,-12.0,14230364300.0,3984.0,163.0,1384400.0,0.0,0.0,613700.0,7066100.0
418,20230103,KIOS,163.0,0.0,180.0,163.0,164.0,184379100.0,1.0,31493832800.0,10095.0,165.0,84800.0,164.0,1140100.0,14249300.0,19825500.0
418,20230104,KIOS,164.0,0.0,167.0,158.0,161.0,126062600.0,-3.0,20600237000.0,4521.0,161.0,119600.0,160.0,57600.0,9679500.0,2292600.0
418,20230105,KIOS,161.0,0.0,164.0,150.0,150.0,132263200.0,-11.0,20707726100.0,2668.0,150.0,748700.0,0.0,0.0,2374500.0,5809400.0
421,20230106,KIOS,150.0,0.0,159.0,140.0,141.0,212616200.0,-9.0,31809753200.0,12468.0,141.0,1500.0,140.0,3412600.0,27194300.0,27335900.0
422,20230109,KIOS,141.0,0.0,153.0,133.0,138.0,281884600.0,-3.0,40184335800.0,19326.0,139.0,407500.0,138.0,1710800.0,22664600.0,21131400.0
422,20230110,KIOS,138.0,0.0,141.0,129.0,129.0,131510500.0,-9.0,17865157100.0,4723.0,129.0,949100.0,0.0,0.0,9238600.0,9655100.0
423,20230111,KIOS,129.0,0.0,134.0,120.0,120.0,157640800.0,-9.0,20036356800.0,5332.0,120.0,596000.0,0.0,0.0,5923400.0,9267100.0
423,20230112,KIOS,120.0,0.0,121.0,112.0,112.0,71532300.0,-8.0,8312893400.0,3749.0,112.0,2646600.0,0.0,0.0,4209600.0,934200.0
423,20230113,KIOS,112.0,0.0,126.0,105.0,114.0,98231600.0,2.0,11518540500.0,6857.0,115.0,167800.0,114.0,1387800.0,4898700.0,20270300.0
423,20230116,KIOS,114.0,0.0,119.0,113.0,117.0,84537900.0,3.0,9832945400.0,3377.0,118.0,212100.0,117.0,720800.0,7025300.0,10104600.0
423,20230117,KIOS,117.0,0.0,122.0,118.0,122.0,23290200.0,5.0,2797570600.0,1978.0,122.0,114800.0,121.0,296700.0,540000.0,5775400.0
423,20230118,KIOS,122.0,0.0,130.0,116.0,116.0,141682500.0,-6.0,17396720300.0,6276.0,116.0,23400.0,115.0,2265700.0,14973200.0,3791600.0
423,20230119,KIOS,116.0,0.0,120.0,112.0,112.0,54117100.0,-4.0,6303127200.0,2030.0,113.0,329700.0,112.0,497600.0,6013500.0,4447000.0
