No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
427,20221230,KOIN,129.0,0.0,128.0,124.0,127.0,3700.0,-2.0,459800.0,6.0,127.0,16700.0,123.0,400.0,0.0,0.0
427,20230102,KOIN,127.0,0.0,126.0,119.0,124.0,23700.0,-3.0,2870000.0,16.0,123.0,800.0,119.0,8600.0,0.0,0.0
427,20230103,KOIN,124.0,0.0,128.0,124.0,128.0,2000.0,4.0,252000.0,3.0,128.0,2800.0,124.0,10000.0,0.0,0.0
427,20230104,KOIN,128.0,0.0,133.0,126.0,128.0,26900.0,0.0,3459000.0,20.0,128.0,11700.0,127.0,2000.0,0.0,0.0
427,20230105,KOIN,128.0,0.0,160.0,130.0,145.0,5934300.0,17.0,903632100.0,2188.0,145.0,99000.0,144.0,12900.0,388100.0,0.0
430,20230106,KOIN,145.0,0.0,148.0,135.0,138.0,881700.0,-7.0,120912400.0,233.0,141.0,1600.0,138.0,66300.0,0.0,111100.0
431,20230109,KOIN,138.0,0.0,135.0,129.0,129.0,1491800.0,-9.0,194620600.0,166.0,134.0,12600.0,129.0,37700.0,0.0,240000.0
431,20230110,KOIN,129.0,0.0,136.0,129.0,136.0,152900.0,7.0,20506900.0,44.0,135.0,11300.0,131.0,100.0,0.0,24600.0
432,20230111,KOIN,136.0,0.0,139.0,130.0,135.0,37700.0,-1.0,5110000.0,30.0,135.0,31700.0,134.0,100.0,0.0,0.0
432,20230112,KOIN,135.0,0.0,135.0,129.0,134.0,61400.0,-1.0,8038500.0,37.0,135.0,4900.0,134.0,123400.0,0.0,0.0
432,20230113,KOIN,134.0,0.0,138.0,128.0,128.0,77900.0,-6.0,10046100.0,44.0,133.0,400.0,128.0,9800.0,0.0,0.0
432,20230116,KOIN,128.0,0.0,135.0,127.0,131.0,69900.0,3.0,9044800.0,43.0,131.0,20200.0,127.0,15400.0,0.0,0.0
432,20230117,KOIN,131.0,0.0,133.0,129.0,130.0,41000.0,-1.0,5333700.0,31.0,133.0,3400.0,130.0,123400.0,0.0,0.0
432,20230118,KOIN,130.0,0.0,137.0,129.0,135.0,25300.0,5.0,3364200.0,54.0,135.0,8300.0,132.0,100.0,0.0,0.0
432,20230119,KOIN,135.0,0.0,135.0,126.0,128.0,131800.0,-7.0,17175100.0,77.0,133.0,200.0,128.0,11000.0,0.0,0.0
432,20230120,KOIN,128.0,0.0,132.0,128.0,132.0,200.0,4.0,26000.0,2.0,132.0,8500.0,128.0,8500.0,0.0,0.0
432,20230124,KOIN,132.0,0.0,131.0,127.0,130.0,67300.0,-2.0,8616700.0,25.0,130.0,30200.0,127.0,7100.0,0.0,0.0
432,20230125,KOIN,130.0,0.0,138.0,127.0,128.0,161500.0,-2.0,21097700.0,101.0,129.0,10500.0,128.0,11300.0,0.0,0.0
432,20230126,KOIN,128.0,0.0,130.0,127.0,128.0,62900.0,0.0,7997000.0,28.0,130.0,7000.0,128.0,8400.0,0.0,0.0
432,20230127,KOIN,128.0,0.0,134.0,127.0,132.0,71400.0,4.0,9299500.0,84.0,132.0,4800.0,128.0,500.0,0.0,0.0
432,20230130,KOIN,132.0,0.0,132.0,126.0,128.0,87100.0,-4.0,11163200.0,32.0,130.0,30000.0,128.0,8200.0,0.0,0.0
432,20230131,KOIN,128.0,0.0,145.0,126.0,131.0,41700.0,3.0,5400400.0,45.0,129.0,100.0,128.0,10000.0,500.0,0.0
433,20230201,KOIN,131.0,0.0,135.0,129.0,129.0,48900.0,-2.0,6438100.0,48.0,133.0,4900.0,129.0,3300.0,0.0,0.0
433,20230202,KOIN,129.0,0.0,133.0,129.0,130.0,25200.0,1.0,3290500.0,16.0,130.0,6600.0,129.0,2500.0,0.0,0.0
433,20230203,KOIN,130.0,0.0,133.0,130.0,132.0,8300.0,2.0,1092900.0,56.0,132.0,26300.0,130.0,14800.0,0.0,0.0
433,20230206,KOIN,132.0,0.0,133.0,129.0,130.0,16200.0,-2.0,2101000.0,15.0,130.0,4300.0,129.0,27000.0,0.0,0.0
434,20230207,KOIN,130.0,0.0,133.0,129.0,131.0,37800.0,1.0,4908200.0,24.0,131.0,4700.0,130.0,1000.0,0.0,0.0
436,20230208,KOIN,131.0,0.0,132.0,122.0,122.0,1024900.0,-9.0,126299500.0,133.0,125.0,800.0,122.0,265700.0,0.0,0.0
436,20230209,KOIN,122.0,0.0,130.0,122.0,128.0,226100.0,6.0,29004500.0,54.0,128.0,31400.0,124.0,5300.0,0.0,150200.0
436,20230210,KOIN,128.0,0.0,128.0,125.0,127.0,23800.0,-1.0,3008200.0,18.0,127.0,23500.0,125.0,27900.0,0.0,0.0
436,20230213,KOIN,127.0,0.0,134.0,127.0,127.0,76700.0,0.0,9971500.0,37.0,131.0,2000.0,127.0,1800.0,0.0,0.0
436,20230214,KOIN,127.0,0.0,133.0,124.0,124.0,32700.0,-3.0,4130800.0,15.0,128.0,300.0,124.0,4600.0,0.0,0.0
436,20230215,KOIN,124.0,0.0,130.0,124.0,130.0,20500.0,6.0,2663600.0,9.0,130.0,3500.0,128.0,1500.0,0.0,0.0
437,20230216,KOIN,130.0,0.0,130.0,129.0,129.0,16600.0,-1.0,2141500.0,6.0,130.0,100.0,129.0,3500.0,0.0,0.0
437,20230217,KOIN,129.0,0.0,132.0,126.0,126.0,164000.0,-3.0,20996000.0,28.0,130.0,21600.0,126.0,200.0,0.0,0.0
437,20230220,KOIN,126.0,0.0,127.0,126.0,127.0,16500.0,1.0,2095400.0,6.0,130.0,500.0,127.0,45400.0,0.0,0.0
437,20230221,KOIN,127.0,0.0,134.0,126.0,127.0,5400.0,0.0,716400.0,6.0,132.0,100.0,127.0,600.0,0.0,100.0
437,20230222,KOIN,127.0,0.0,148.0,127.0,132.0,41400.0,5.0,5577600.0,37.0,131.0,18800.0,130.0,1000.0,0.0,0.0
437,20230223,KOIN,132.0,0.0,132.0,127.0,128.0,29200.0,-4.0,3781900.0,17.0,132.0,27900.0,127.0,16100.0,0.0,0.0
437,20230224,KOIN,128.0,0.0,134.0,127.0,128.0,1200.0,0.0,155800.0,7.0,134.0,23900.0,128.0,300.0,0.0,0.0
438,20230227,KOIN,128.0,0.0,128.0,125.0,125.0,1300.0,-3.0,165500.0,5.0,130.0,100.0,125.0,62400.0,0.0,0.0
438,20230228,KOIN,125.0,0.0,126.0,124.0,126.0,22200.0,1.0,2775300.0,20.0,132.0,1000.0,126.0,200.0,0.0,0.0
439,20230301,KOIN,126.0,0.0,126.0,124.0,125.0,38800.0,-1.0,4841500.0,11.0,125.0,8400.0,124.0,10200.0,0.0,0.0
439,20230302,KOIN,125.0,0.0,125.0,123.0,124.0,291500.0,-1.0,36384900.0,29.0,131.0,300.0,123.0,32300.0,0.0,0.0
440,20230303,KOIN,124.0,0.0,129.0,123.0,129.0,53600.0,5.0,6694500.0,19.0,125.0,20000.0,122.0,30500.0,0.0,0.0
440,20230306,KOIN,129.0,0.0,128.0,123.0,125.0,71200.0,-4.0,8920700.0,17.0,125.0,10000.0,123.0,9100.0,0.0,0.0
440,20230307,KOIN,125.0,0.0,125.0,123.0,123.0,31700.0,-2.0,3944300.0,8.0,125.0,10000.0,123.0,8400.0,0.0,0.0
441,20230308,KOIN,123.0,0.0,123.0,123.0,123.0,3100.0,0.0,381300.0,4.0,125.0,10000.0,123.0,400.0,0.0,0.0
441,20230309,KOIN,123.0,0.0,127.0,123.0,123.0,6300.0,0.0,775300.0,5.0,126.0,200.0,123.0,9300.0,0.0,0.0
441,20230310,KOIN,123.0,0.0,123.0,122.0,122.0,5100.0,-1.0,622300.0,3.0,127.0,900.0,122.0,5100.0,0.0,0.0
441,20230313,KOIN,122.0,0.0,126.0,122.0,126.0,400.0,4.0,50000.0,4.0,126.0,100.0,124.0,100.0,0.0,0.0
441,20230314,KOIN,126.0,0.0,125.0,122.0,125.0,10900.0,-1.0,1361200.0,6.0,125.0,1500.0,123.0,29700.0,0.0,0.0
441,20230315,KOIN,125.0,0.0,127.0,121.0,121.0,9300.0,-4.0,1167400.0,19.0,126.0,100.0,121.0,100.0,0.0,0.0
441,20230316,KOIN,121.0,0.0,125.0,125.0,125.0,700.0,4.0,87500.0,3.0,124.0,19900.0,121.0,20100.0,0.0,0.0
441,20230317,KOIN,125.0,0.0,128.0,120.0,124.0,11800.0,-1.0,1475800.0,12.0,125.0,10800.0,124.0,800.0,0.0,0.0
441,20230320,KOIN,124.0,0.0,124.0,120.0,120.0,7500.0,-4.0,906400.0,3.0,124.0,100.0,123.0,800.0,0.0,0.0
441,20230321,KOIN,120.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,125.0,100.0,121.0,500.0,0.0,0.0
441,20230324,KOIN,120.0,0.0,125.0,125.0,125.0,100.0,5.0,12500.0,1.0,125.0,500.0,121.0,100.0,0.0,0.0
441,20230327,KOIN,125.0,0.0,130.0,120.0,120.0,44900.0,-5.0,5457400.0,19.0,120.0,166800.0,117.0,102500.0,0.0,0.0
441,20230328,KOIN,120.0,0.0,132.0,114.0,125.0,68900.0,5.0,8662700.0,28.0,125.0,3200.0,120.0,10000.0,0.0,0.0
441,20230329,KOIN,125.0,0.0,122.0,122.0,122.0,2400.0,-3.0,292800.0,4.0,122.0,47700.0,121.0,500.0,0.0,0.0
442,20230330,KOIN,122.0,0.0,129.0,119.0,125.0,71100.0,3.0,8890000.0,8.0,125.0,20000.0,120.0,700.0,0.0,0.0
442,20230331,KOIN,125.0,0.0,130.0,118.0,118.0,149800.0,-7.0,18583000.0,34.0,118.0,30000.0,117.0,500.0,0.0,0.0
442,20230403,KOIN,118.0,0.0,122.0,117.0,118.0,40700.0,0.0,4915600.0,14.0,120.0,700.0,118.0,2000.0,0.0,36500.0
442,20230404,KOIN,118.0,0.0,126.0,111.0,126.0,10100.0,8.0,1264400.0,26.0,126.0,4200.0,125.0,500.0,0.0,0.0
443,20230405,KOIN,126.0,0.0,125.0,118.0,118.0,215700.0,-8.0,25596500.0,43.0,119.0,30000.0,118.0,2700.0,0.0,0.0
443,20230406,KOIN,118.0,0.0,122.0,118.0,119.0,7700.0,1.0,923900.0,14.0,121.0,3800.0,118.0,400.0,0.0,0.0
443,20230410,KOIN,119.0,0.0,121.0,112.0,112.0,1900.0,-7.0,220600.0,9.0,120.0,27800.0,114.0,1200.0,0.0,0.0
443,20230411,KOIN,112.0,0.0,130.0,113.0,117.0,72900.0,5.0,8898700.0,89.0,120.0,1000.0,117.0,4800.0,0.0,0.0
443,20230412,KOIN,117.0,0.0,117.0,117.0,117.0,900.0,0.0,105300.0,5.0,125.0,7600.0,117.0,100.0,0.0,0.0
443,20230413,KOIN,117.0,0.0,125.0,120.0,120.0,23300.0,3.0,2850400.0,20.0,122.0,14100.0,120.0,1000.0,0.0,0.0
443,20230414,KOIN,120.0,0.0,124.0,112.0,113.0,177000.0,-7.0,20231300.0,40.0,114.0,10000.0,112.0,10000.0,0.0,0.0
443,20230417,KOIN,113.0,0.0,122.0,113.0,113.0,5900.0,0.0,686300.0,8.0,120.0,1000.0,113.0,52500.0,0.0,0.0
444,20230418,KOIN,113.0,0.0,113.0,112.0,112.0,52500.0,-1.0,5910300.0,8.0,112.0,2800.0,107.0,5300.0,0.0,0.0
444,20230426,KOIN,112.0,0.0,119.0,107.0,112.0,95100.0,0.0,10689400.0,13.0,118.0,1100.0,112.0,100.0,0.0,0.0
444,20230427,KOIN,112.0,0.0,120.0,117.0,117.0,10400.0,5.0,1217600.0,4.0,117.0,1000.0,113.0,200.0,0.0,0.0
444,20230428,KOIN,117.0,0.0,120.0,119.0,119.0,3200.0,2.0,380900.0,7.0,118.0,1100.0,112.0,400.0,0.0,0.0
444,20230502,KOIN,119.0,0.0,118.0,112.0,117.0,1700.0,-2.0,196300.0,6.0,118.0,500.0,113.0,2400.0,0.0,0.0
444,20230503,KOIN,117.0,0.0,119.0,118.0,118.0,300.0,1.0,35500.0,3.0,118.0,1300.0,111.0,500.0,0.0,0.0
444,20230504,KOIN,118.0,0.0,119.0,110.0,110.0,93000.0,-8.0,10262300.0,24.0,110.0,36500.0,0.0,0.0,0.0,0.0
444,20230505,KOIN,110.0,0.0,117.0,103.0,106.0,12800.0,-4.0,1483300.0,17.0,116.0,10100.0,106.0,2900.0,0.0,0.0
446,20230508,KOIN,106.0,0.0,116.0,100.0,100.0,273300.0,-6.0,27840200.0,53.0,104.0,50100.0,100.0,13800.0,0.0,0.0
446,20230509,KOIN,100.0,0.0,120.0,97.0,97.0,403200.0,-3.0,41636100.0,60.0,97.0,27800.0,95.0,1300.0,0.0,0.0
446,20230510,KOIN,97.0,0.0,106.0,95.0,98.0,813700.0,1.0,82469500.0,75.0,98.0,73400.0,97.0,1500.0,0.0,128400.0
446,20230511,KOIN,98.0,0.0,101.0,96.0,99.0,68600.0,1.0,6782900.0,13.0,101.0,300.0,96.0,4000.0,0.0,0.0
446,20230512,KOIN,99.0,0.0,105.0,99.0,105.0,211600.0,6.0,22150800.0,11.0,105.0,31400.0,99.0,1000.0,0.0,0.0
446,20230515,KOIN,105.0,0.0,105.0,98.0,98.0,361500.0,-7.0,35559900.0,31.0,103.0,200.0,98.0,5000.0,0.0,0.0
446,20230516,KOIN,98.0,0.0,103.0,96.0,103.0,53200.0,5.0,5471300.0,11.0,103.0,62100.0,97.0,40500.0,0.0,0.0
446,20230517,KOIN,103.0,0.0,107.0,96.0,96.0,412400.0,-7.0,40743200.0,47.0,100.0,9900.0,96.0,10200.0,0.0,0.0
446,20230519,KOIN,96.0,0.0,103.0,92.0,100.0,33100.0,4.0,3324300.0,16.0,100.0,49900.0,94.0,2500.0,0.0,0.0
446,20230522,KOIN,100.0,0.0,100.0,93.0,93.0,354200.0,-7.0,33393900.0,50.0,95.0,9800.0,93.0,6500.0,0.0,0.0
446,20230523,KOIN,93.0,0.0,99.0,89.0,90.0,11400.0,-3.0,1120400.0,12.0,96.0,48500.0,90.0,100.0,0.0,0.0
446,20230524,KOIN,90.0,0.0,97.0,88.0,89.0,119600.0,-1.0,10642300.0,16.0,96.0,5900.0,89.0,1000.0,0.0,0.0
446,20230525,KOIN,89.0,0.0,95.0,83.0,83.0,308100.0,-6.0,26558700.0,75.0,83.0,1168500.0,0.0,0.0,0.0,0.0
446,20230526,KOIN,83.0,0.0,88.0,80.0,85.0,21700.0,2.0,1755400.0,16.0,82.0,5900.0,81.0,1300.0,0.0,0.0
446,20230529,KOIN,85.0,0.0,89.0,80.0,80.0,304500.0,-5.0,24385400.0,50.0,80.0,893100.0,0.0,0.0,0.0,0.0
446,20230530,KOIN,80.0,0.0,80.0,75.0,75.0,1108100.0,-5.0,83384000.0,51.0,76.0,100.0,75.0,14700.0,0.0,0.0
446,20230531,KOIN,75.0,0.0,82.0,70.0,70.0,788900.0,-5.0,58397800.0,126.0,70.0,54700.0,0.0,0.0,0.0,0.0
446,20230605,KOIN,70.0,0.0,75.0,65.0,75.0,63600.0,5.0,4765500.0,19.0,75.0,7100.0,70.0,65600.0,0.0,0.0
446,20230606,KOIN,75.0,0.0,80.0,70.0,70.0,695000.0,-5.0,49051300.0,74.0,70.0,5000.0,69.0,10000.0,0.0,0.0
446,20230607,KOIN,70.0,0.0,75.0,66.0,73.0,1058300.0,3.0,77156700.0,77.0,73.0,81200.0,70.0,111800.0,0.0,136200.0
446,20230608,KOIN,73.0,0.0,73.0,69.0,72.0,29000.0,-1.0,2062200.0,10.0,74.0,100.0,72.0,3100.0,0.0,0.0
446,20230609,KOIN,72.0,0.0,79.0,70.0,75.0,433900.0,3.0,33303900.0,69.0,75.0,300.0,74.0,160800.0,0.0,0.0
447,20230612,KOIN,75.0,0.0,80.0,71.0,77.0,311800.0,2.0,24254500.0,108.0,77.0,200.0,76.0,11800.0,0.0,0.0
447,20230613,KOIN,77.0,0.0,84.0,75.0,75.0,418700.0,-2.0,31749000.0,42.0,75.0,48500.0,74.0,50600.0,0.0,0.0
447,20230614,KOIN,75.0,0.0,77.0,73.0,75.0,223500.0,0.0,16640900.0,35.0,75.0,45800.0,73.0,80400.0,26700.0,10300.0
447,20230615,KOIN,75.0,0.0,76.0,76.0,76.0,400.0,1.0,30400.0,2.0,76.0,174600.0,74.0,500.0,0.0,0.0
447,20230616,KOIN,76.0,0.0,77.0,74.0,77.0,15400.0,1.0,1144700.0,7.0,77.0,187300.0,75.0,2900.0,0.0,0.0
447,20230619,KOIN,77.0,0.0,79.0,76.0,76.0,63100.0,-1.0,4909800.0,10.0,77.0,27000.0,76.0,200.0,0.0,0.0
447,20230620,KOIN,76.0,0.0,76.0,70.0,75.0,210700.0,-1.0,15700200.0,24.0,76.0,16300.0,73.0,700.0,0.0,0.0
447,20230621,KOIN,75.0,0.0,72.0,72.0,72.0,17200.0,-3.0,1238400.0,1.0,76.0,5700.0,74.0,200.0,0.0,0.0
447,20230622,KOIN,72.0,0.0,78.0,73.0,75.0,90100.0,3.0,6908200.0,35.0,77.0,40500.0,75.0,4800.0,0.0,0.0
447,20230623,KOIN,75.0,0.0,80.0,75.0,76.0,73000.0,1.0,5766900.0,21.0,76.0,1900.0,75.0,25100.0,0.0,0.0
447,20230626,KOIN,76.0,0.0,78.0,71.0,73.0,3700.0,-3.0,278000.0,11.0,77.0,10000.0,73.0,200.0,0.0,0.0
447,20230627,KOIN,73.0,0.0,76.0,71.0,72.0,29200.0,-1.0,2106600.0,15.0,76.0,10300.0,72.0,32200.0,0.0,0.0
447,20230703,KOIN,72.0,0.0,76.0,70.0,76.0,24500.0,4.0,1839800.0,11.0,76.0,41200.0,74.0,10000.0,0.0,0.0
447,20230704,KOIN,76.0,0.0,77.0,75.0,75.0,26200.0,-1.0,1975200.0,14.0,77.0,21200.0,75.0,14200.0,0.0,0.0
447,20230705,KOIN,75.0,0.0,77.0,76.0,76.0,700.0,1.0,53300.0,2.0,77.0,10000.0,76.0,1400.0,0.0,0.0
447,20230706,KOIN,76.0,0.0,77.0,74.0,75.0,654200.0,-1.0,49072300.0,15.0,78.0,3900.0,75.0,3700.0,0.0,0.0
448,20230707,KOIN,75.0,0.0,75.0,74.0,75.0,16600.0,0.0,1244500.0,5.0,75.0,33900.0,74.0,4900.0,0.0,0.0
450,20230710,KOIN,75.0,0.0,77.0,75.0,75.0,19900.0,0.0,1502500.0,11.0,77.0,5400.0,75.0,200.0,0.0,0.0
