No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
464,20231011,KOKA,128.0,0.0,172.0,135.0,170.0,883830600.0,42.0,142394497600.0,70048.0,170.0,269800.0,169.0,315500.0,22529200.0,42704500.0
464,20231012,KOKA,170.0,0.0,174.0,141.0,142.0,225949400.0,-28.0,34473598100.0,18526.0,143.0,5300.0,142.0,691400.0,348700.0,1775500.0
464,20231013,KOKA,142.0,0.0,155.0,140.0,144.0,112370500.0,2.0,16562363900.0,9085.0,144.0,89300.0,143.0,777300.0,100000.0,779200.0
464,20231016,KOKA,144.0,0.0,147.0,101.0,107.0,242089200.0,-37.0,29178032400.0,15213.0,108.0,61100.0,107.0,1149200.0,440200.0,1899600.0
464,20231017,KOKA,107.0,0.0,129.0,106.0,112.0,418033400.0,5.0,48940519000.0,22305.0,113.0,82100.0,112.0,206900.0,6750200.0,23314700.0
464,20231018,KOKA,112.0,0.0,119.0,106.0,114.0,173254100.0,2.0,19645569700.0,8851.0,114.0,412100.0,113.0,145800.0,812300.0,13044900.0
464,20231019,KOKA,114.0,0.0,118.0,98.0,107.0,80414600.0,-7.0,8908032600.0,4838.0,107.0,30200.0,106.0,611500.0,206900.0,223200.0
464,20231020,KOKA,107.0,0.0,110.0,99.0,102.0,145521200.0,-5.0,15098254700.0,5389.0,103.0,509200.0,102.0,683200.0,1146400.0,225700.0
464,20231023,KOKA,102.0,0.0,107.0,71.0,97.0,138190300.0,-5.0,13616581200.0,5153.0,98.0,218300.0,97.0,268700.0,603200.0,1567600.0
464,20231024,KOKA,97.0,0.0,105.0,96.0,98.0,121650600.0,1.0,12035864900.0,5316.0,99.0,650700.0,98.0,521000.0,144400.0,158200.0
464,20231025,KOKA,98.0,0.0,103.0,93.0,95.0,119540600.0,-3.0,11580671200.0,3939.0,96.0,141600.0,95.0,195700.0,248200.0,256500.0
464,20231026,KOKA,95.0,0.0,99.0,87.0,89.0,123727000.0,-6.0,11488483700.0,4310.0,90.0,161700.0,89.0,287300.0,222300.0,640400.0
464,20231027,KOKA,89.0,0.0,93.0,77.0,81.0,137063200.0,-8.0,11741859000.0,4860.0,82.0,150100.0,81.0,361200.0,216700.0,629000.0
464,20231030,KOKA,81.0,0.0,93.0,63.0,88.0,235226600.0,7.0,18227587600.0,8877.0,88.0,411600.0,87.0,48100.0,767000.0,4390800.0
464,20231031,KOKA,88.0,0.0,92.0,81.0,83.0,92651300.0,-5.0,8040301200.0,3971.0,83.0,48300.0,82.0,2629400.0,848000.0,659800.0
464,20231101,KOKA,83.0,0.0,99.0,79.0,81.0,273609000.0,-2.0,24178415500.0,13391.0,82.0,505400.0,81.0,68000.0,482300.0,417300.0
464,20231102,KOKA,81.0,0.0,93.0,75.0,79.0,283930100.0,-2.0,23045398600.0,11357.0,79.0,534000.0,78.0,212600.0,902300.0,1431000.0
464,20231103,KOKA,79.0,0.0,83.0,72.0,73.0,189042100.0,-6.0,14492899100.0,7211.0,73.0,555900.0,72.0,1261100.0,249900.0,349600.0
464,20231106,KOKA,73.0,0.0,75.0,65.0,69.0,147146800.0,-4.0,10282160800.0,5402.0,69.0,773800.0,68.0,28200.0,2167100.0,2980800.0
464,20231107,KOKA,69.0,0.0,70.0,60.0,65.0,34443000.0,-4.0,2307009700.0,2060.0,66.0,340900.0,65.0,1921800.0,128200.0,463400.0
465,20231108,KOKA,65.0,0.0,68.0,63.0,64.0,23700300.0,-1.0,1534714100.0,2062.0,65.0,759300.0,64.0,1800.0,284500.0,264500.0
