No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
439,20221230,LABA,103.0,0.0,103.0,97.0,97.0,871700.0,-6.0,86660400.0,193.0,97.0,5000.0,96.0,188900.0,0.0,0.0
439,20230102,LABA,97.0,0.0,100.0,96.0,98.0,7435500.0,1.0,735506400.0,170.0,99.0,55500.0,98.0,55300.0,0.0,5000.0
439,20230103,LABA,98.0,0.0,104.0,98.0,103.0,22077600.0,5.0,2189157700.0,414.0,104.0,165500.0,103.0,1200.0,0.0,4000.0
439,20230104,LABA,103.0,0.0,103.0,99.0,101.0,5325100.0,-2.0,542327300.0,168.0,101.0,57000.0,99.0,5500.0,0.0,0.0
439,20230105,LABA,101.0,0.0,101.0,97.0,98.0,24112700.0,-3.0,2386717100.0,196.0,99.0,37300.0,98.0,13300.0,0.0,0.0
442,20230106,LABA,98.0,0.0,99.0,97.0,99.0,7370700.0,1.0,722351300.0,121.0,99.0,63900.0,98.0,14300.0,0.0,0.0
443,20230109,LABA,99.0,0.0,99.0,94.0,96.0,21470300.0,-3.0,2061169200.0,195.0,96.0,47200.0,95.0,9200.0,0.0,0.0
443,20230110,LABA,96.0,0.0,101.0,92.0,96.0,24806600.0,0.0,2381056300.0,257.0,96.0,100300.0,95.0,1100.0,0.0,0.0
444,20230111,LABA,96.0,0.0,96.0,93.0,94.0,5720200.0,-2.0,537253400.0,127.0,94.0,74100.0,93.0,36300.0,0.0,0.0
444,20230112,LABA,94.0,0.0,94.0,91.0,92.0,22031900.0,-2.0,2026964100.0,113.0,93.0,33300.0,92.0,400.0,0.0,0.0
444,20230113,LABA,92.0,0.0,98.0,89.0,93.0,31827200.0,1.0,2961431100.0,518.0,93.0,30300.0,92.0,600.0,0.0,0.0
444,20230116,LABA,93.0,0.0,94.0,88.0,92.0,1500100.0,-1.0,135401100.0,220.0,92.0,61100.0,91.0,100.0,0.0,0.0
444,20230117,LABA,92.0,0.0,92.0,89.0,90.0,19057500.0,-2.0,1715124400.0,184.0,91.0,71700.0,90.0,19500.0,0.0,0.0
444,20230118,LABA,90.0,0.0,94.0,88.0,93.0,835600.0,3.0,76310300.0,188.0,93.0,83600.0,92.0,500.0,0.0,0.0
444,20230119,LABA,93.0,0.0,93.0,89.0,91.0,22062900.0,-2.0,2007488100.0,154.0,92.0,65700.0,90.0,19000.0,0.0,0.0
444,20230120,LABA,91.0,0.0,93.0,91.0,91.0,209800.0,0.0,19157600.0,58.0,92.0,22400.0,91.0,6200.0,0.0,0.0
444,20230124,LABA,91.0,0.0,92.0,89.0,89.0,22605800.0,-2.0,2056419800.0,128.0,90.0,2200.0,89.0,18000.0,0.0,0.0
444,20230125,LABA,89.0,0.0,99.0,89.0,91.0,2720900.0,2.0,253369500.0,814.0,92.0,21500.0,91.0,23300.0,0.0,0.0
444,20230126,LABA,91.0,0.0,95.0,91.0,93.0,760000.0,2.0,70360300.0,236.0,94.0,69500.0,93.0,51700.0,0.0,0.0
444,20230127,LABA,93.0,0.0,94.0,87.0,93.0,21541600.0,0.0,1982189100.0,194.0,93.0,91900.0,92.0,3000.0,0.0,0.0
444,20230130,LABA,93.0,0.0,96.0,93.0,95.0,1190500.0,2.0,112388700.0,276.0,95.0,5400.0,94.0,290500.0,0.0,0.0
444,20230131,LABA,95.0,0.0,97.0,94.0,95.0,21565400.0,0.0,2028096500.0,195.0,96.0,81200.0,94.0,393800.0,0.0,0.0
445,20230201,LABA,95.0,0.0,96.0,90.0,91.0,472700.0,-4.0,44099700.0,230.0,92.0,500.0,91.0,198600.0,0.0,0.0
445,20230202,LABA,91.0,0.0,94.0,91.0,92.0,22431800.0,1.0,2064020900.0,187.0,93.0,30000.0,92.0,49100.0,0.0,0.0
445,20230203,LABA,92.0,0.0,94.0,91.0,92.0,917500.0,0.0,84770400.0,129.0,93.0,130600.0,92.0,10500.0,0.0,0.0
445,20230206,LABA,92.0,0.0,94.0,90.0,90.0,969800.0,-2.0,88194300.0,218.0,91.0,25600.0,90.0,263500.0,0.0,0.0
446,20230207,LABA,90.0,0.0,93.0,88.0,89.0,25024000.0,-1.0,2296165500.0,835.0,89.0,28700.0,88.0,941600.0,0.0,0.0
448,20230208,LABA,89.0,0.0,92.0,89.0,89.0,881400.0,0.0,79787700.0,175.0,90.0,4000.0,89.0,129300.0,0.0,0.0
448,20230209,LABA,89.0,0.0,92.0,90.0,90.0,526500.0,1.0,47531500.0,98.0,91.0,246300.0,90.0,4100.0,0.0,0.0
448,20230210,LABA,90.0,0.0,94.0,88.0,89.0,23099900.0,-1.0,2124836900.0,733.0,91.0,200300.0,89.0,131400.0,0.0,0.0
448,20230213,LABA,89.0,0.0,91.0,88.0,89.0,693800.0,0.0,61673300.0,121.0,90.0,360700.0,89.0,681200.0,0.0,0.0
448,20230214,LABA,89.0,0.0,91.0,88.0,89.0,21925100.0,0.0,1951608700.0,179.0,90.0,31100.0,89.0,230900.0,0.0,0.0
448,20230215,LABA,89.0,0.0,91.0,88.0,88.0,766500.0,-1.0,68048100.0,132.0,89.0,145400.0,88.0,300900.0,0.0,0.0
449,20230216,LABA,88.0,0.0,89.0,87.0,89.0,870900.0,1.0,76421400.0,119.0,89.0,15200.0,88.0,202500.0,0.0,0.0
449,20230217,LABA,89.0,0.0,89.0,87.0,87.0,20387900.0,-2.0,1793978900.0,134.0,88.0,254800.0,87.0,251400.0,0.0,0.0
449,20230220,LABA,87.0,0.0,89.0,87.0,87.0,372400.0,0.0,32613400.0,153.0,88.0,57200.0,87.0,172700.0,0.0,100.0
449,20230221,LABA,87.0,0.0,89.0,86.0,87.0,21419200.0,0.0,1863424500.0,135.0,87.0,16700.0,86.0,210900.0,0.0,0.0
449,20230222,LABA,87.0,0.0,87.0,86.0,86.0,287300.0,-1.0,24715900.0,78.0,87.0,94400.0,86.0,7700.0,0.0,0.0
449,20230223,LABA,86.0,0.0,87.0,85.0,86.0,21263900.0,0.0,1828687100.0,81.0,86.0,78100.0,85.0,173600.0,0.0,0.0
449,20230224,LABA,86.0,0.0,86.0,83.0,84.0,700300.0,-2.0,58805700.0,138.0,84.0,116700.0,83.0,10500.0,0.0,0.0
450,20230227,LABA,84.0,0.0,86.0,81.0,85.0,21508000.0,1.0,1827846500.0,128.0,85.0,85700.0,84.0,2300.0,0.0,0.0
450,20230228,LABA,85.0,0.0,86.0,80.0,81.0,1126200.0,-4.0,91093900.0,278.0,83.0,142000.0,81.0,189800.0,0.0,0.0
451,20230301,LABA,81.0,0.0,81.0,79.0,80.0,24033800.0,-1.0,1899177100.0,125.0,80.0,325000.0,79.0,98800.0,0.0,0.0
451,20230302,LABA,80.0,0.0,85.0,77.0,77.0,261400.0,-3.0,21033400.0,106.0,80.0,38900.0,77.0,112500.0,0.0,0.0
452,20230303,LABA,77.0,0.0,82.0,76.0,79.0,24477600.0,2.0,1909019300.0,125.0,79.0,319500.0,77.0,2600.0,0.0,0.0
452,20230306,LABA,79.0,0.0,79.0,74.0,74.0,713200.0,-5.0,53340200.0,189.0,75.0,28700.0,0.0,0.0,0.0,0.0
