No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
452,20221230,LPCK,1020.0,0.0,1000.0,995.0,1000.0,38300.0,-20.0,38258000.0,12.0,1015.0,10100.0,1000.0,12300.0,0.0,0.0
452,20230102,LPCK,1000.0,0.0,1000.0,980.0,990.0,4000.0,-10.0,3938500.0,20.0,995.0,7000.0,980.0,9300.0,0.0,600.0
452,20230103,LPCK,990.0,0.0,990.0,980.0,980.0,121200.0,-10.0,119913000.0,21.0,990.0,2000.0,980.0,1000.0,0.0,0.0
452,20230104,LPCK,980.0,0.0,975.0,965.0,965.0,51100.0,-15.0,49523500.0,32.0,975.0,6100.0,965.0,42600.0,0.0,0.0
452,20230105,LPCK,965.0,0.0,970.0,940.0,960.0,83800.0,-5.0,80236500.0,69.0,960.0,87700.0,950.0,100.0,0.0,5200.0
455,20230106,LPCK,960.0,0.0,965.0,950.0,960.0,5100.0,0.0,4877000.0,19.0,960.0,1600.0,950.0,1600.0,0.0,1200.0
456,20230109,LPCK,960.0,0.0,990.0,940.0,985.0,87700.0,25.0,85839500.0,71.0,985.0,40000.0,960.0,700.0,0.0,4400.0
456,20230110,LPCK,985.0,0.0,985.0,950.0,965.0,41900.0,-20.0,40464500.0,66.0,975.0,1700.0,965.0,8000.0,0.0,4600.0
457,20230111,LPCK,965.0,0.0,975.0,915.0,950.0,60100.0,-15.0,55811500.0,49.0,950.0,9900.0,925.0,400.0,0.0,10000.0
457,20230112,LPCK,950.0,0.0,955.0,900.0,945.0,618400.0,-5.0,584160500.0,57.0,945.0,10900.0,940.0,32800.0,0.0,600.0
457,20230113,LPCK,945.0,0.0,950.0,920.0,945.0,9700.0,0.0,9045000.0,15.0,945.0,25000.0,935.0,100.0,800.0,0.0
457,20230116,LPCK,945.0,0.0,945.0,930.0,940.0,33600.0,-5.0,31531000.0,19.0,945.0,40000.0,940.0,7500.0,0.0,0.0
457,20230117,LPCK,940.0,0.0,950.0,940.0,950.0,9300.0,10.0,8814000.0,48.0,950.0,39600.0,940.0,6300.0,2700.0,5600.0
457,20230118,LPCK,950.0,0.0,950.0,940.0,940.0,32700.0,-10.0,30794500.0,16.0,945.0,19900.0,940.0,900.0,100.0,600.0
457,20230119,LPCK,940.0,0.0,950.0,935.0,935.0,29000.0,-5.0,27141500.0,16.0,940.0,328000.0,935.0,66100.0,28200.0,700.0
457,20230120,LPCK,935.0,0.0,935.0,925.0,925.0,28500.0,-10.0,26547500.0,27.0,935.0,50600.0,925.0,251600.0,0.0,0.0
457,20230124,LPCK,925.0,0.0,950.0,935.0,950.0,48600.0,25.0,45749500.0,12.0,950.0,125500.0,945.0,62200.0,0.0,0.0
457,20230125,LPCK,950.0,0.0,980.0,940.0,980.0,75100.0,30.0,72675500.0,59.0,980.0,91400.0,965.0,5000.0,0.0,0.0
457,20230126,LPCK,980.0,0.0,990.0,950.0,980.0,121100.0,0.0,116191500.0,58.0,980.0,123000.0,960.0,10000.0,0.0,600.0
458,20230127,LPCK,980.0,0.0,985.0,945.0,985.0,228000.0,5.0,223208500.0,78.0,985.0,211700.0,980.0,1000.0,0.0,4200.0
458,20230130,LPCK,985.0,0.0,985.0,955.0,955.0,16900.0,-30.0,16327000.0,30.0,965.0,3500.0,955.0,32300.0,0.0,600.0
458,20230131,LPCK,955.0,0.0,985.0,955.0,960.0,2028300.0,5.0,1947486500.0,49.0,960.0,1400.0,955.0,11300.0,0.0,0.0
459,20230201,LPCK,960.0,0.0,985.0,940.0,985.0,630800.0,25.0,608496000.0,84.0,990.0,11500.0,985.0,15500.0,0.0,3200.0
459,20230202,LPCK,985.0,0.0,1010.0,985.0,1000.0,701500.0,15.0,701334500.0,104.0,995.0,600.0,985.0,15900.0,0.0,7500.0
459,20230203,LPCK,1000.0,0.0,1020.0,995.0,1020.0,251700.0,20.0,254174000.0,48.0,1015.0,50000.0,990.0,600.0,0.0,100.0
459,20230206,LPCK,1020.0,0.0,1015.0,980.0,985.0,44000.0,-35.0,43581000.0,37.0,995.0,10000.0,980.0,8000.0,0.0,4500.0
460,20230207,LPCK,985.0,0.0,1000.0,975.0,1000.0,18200.0,15.0,18040000.0,29.0,1000.0,38000.0,980.0,1000.0,0.0,0.0
462,20230208,LPCK,1000.0,0.0,1005.0,975.0,995.0,148800.0,-5.0,148350500.0,101.0,990.0,100.0,980.0,400.0,0.0,0.0
462,20230209,LPCK,995.0,0.0,995.0,960.0,995.0,100800.0,0.0,98294000.0,43.0,995.0,34000.0,965.0,2800.0,0.0,0.0
462,20230210,LPCK,995.0,0.0,995.0,965.0,975.0,23600.0,-20.0,23022000.0,22.0,980.0,11300.0,975.0,300.0,0.0,0.0
462,20230213,LPCK,975.0,0.0,980.0,965.0,980.0,76000.0,5.0,73964500.0,21.0,980.0,17500.0,975.0,1900.0,0.0,0.0
462,20230214,LPCK,980.0,0.0,975.0,940.0,970.0,106500.0,-10.0,103116000.0,40.0,970.0,197700.0,965.0,11100.0,0.0,0.0
462,20230215,LPCK,970.0,0.0,1015.0,950.0,1015.0,740100.0,45.0,736068000.0,183.0,1015.0,49700.0,1000.0,3200.0,0.0,6200.0
463,20230216,LPCK,1015.0,0.0,1015.0,985.0,1005.0,278700.0,-10.0,279483500.0,71.0,1005.0,64000.0,1000.0,6000.0,0.0,0.0
463,20230217,LPCK,1005.0,0.0,1000.0,970.0,990.0,114200.0,-15.0,110842000.0,13.0,990.0,18400.0,965.0,1200.0,0.0,0.0
463,20230220,LPCK,990.0,0.0,975.0,940.0,960.0,78500.0,-30.0,75101500.0,89.0,960.0,11700.0,955.0,1500.0,0.0,0.0
463,20230221,LPCK,960.0,0.0,970.0,940.0,960.0,74500.0,0.0,71460000.0,54.0,960.0,7400.0,955.0,1500.0,0.0,0.0
463,20230222,LPCK,960.0,0.0,965.0,945.0,960.0,85200.0,0.0,81739000.0,26.0,955.0,25000.0,945.0,15100.0,0.0,0.0
463,20230223,LPCK,960.0,0.0,965.0,915.0,940.0,381200.0,-20.0,356498500.0,79.0,940.0,10100.0,915.0,43200.0,1500.0,3400.0
463,20230224,LPCK,940.0,0.0,960.0,940.0,955.0,72800.0,15.0,69116000.0,33.0,955.0,10800.0,940.0,2300.0,0.0,3100.0
464,20230227,LPCK,955.0,0.0,955.0,935.0,955.0,217700.0,0.0,204408500.0,32.0,955.0,28200.0,940.0,1500.0,0.0,0.0
464,20230228,LPCK,955.0,0.0,955.0,920.0,930.0,308900.0,-25.0,286990000.0,90.0,935.0,15400.0,930.0,12000.0,0.0,0.0
465,20230301,LPCK,930.0,0.0,935.0,930.0,935.0,15500.0,5.0,14425000.0,21.0,935.0,1300.0,930.0,2100.0,0.0,0.0
465,20230302,LPCK,935.0,0.0,950.0,925.0,945.0,3100.0,10.0,2916000.0,15.0,945.0,1400.0,940.0,900.0,0.0,600.0
466,20230303,LPCK,945.0,0.0,945.0,945.0,945.0,5000.0,0.0,4725000.0,10.0,945.0,3500.0,935.0,12200.0,0.0,2400.0
