No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
455,20221230,LPKR,81.0,0.0,82.0,79.0,79.0,6188300.0,-2.0,494096000.0,804.0,80.0,1231800.0,79.0,1160000.0,528900.0,0.0
455,20230102,LPKR,79.0,0.0,81.0,79.0,81.0,7427700.0,2.0,594348800.0,566.0,81.0,1921000.0,80.0,16200.0,0.0,149700.0
455,20230103,LPKR,81.0,0.0,82.0,79.0,81.0,7372000.0,0.0,590115200.0,1054.0,81.0,1520100.0,80.0,726000.0,382900.0,0.0
455,20230104,LPKR,81.0,0.0,82.0,79.0,81.0,9224100.0,0.0,734923200.0,1297.0,81.0,2512400.0,80.0,101000.0,2100400.0,68400.0
455,20230105,LPKR,81.0,0.0,81.0,77.0,77.0,21944900.0,-4.0,1714594500.0,942.0,78.0,102600.0,77.0,4650100.0,6794000.0,1288800.0
458,20230106,LPKR,77.0,0.0,78.0,76.0,77.0,14335900.0,0.0,1103129700.0,757.0,78.0,1278000.0,77.0,1273700.0,31300.0,1530900.0
459,20230109,LPKR,77.0,0.0,79.0,76.0,76.0,14779800.0,-1.0,1131061400.0,833.0,77.0,339800.0,76.0,1595100.0,679900.0,806500.0
459,20230110,LPKR,76.0,0.0,77.0,74.0,76.0,14086900.0,0.0,1054900700.0,812.0,76.0,2717500.0,75.0,948500.0,2010900.0,878900.0
460,20230111,LPKR,76.0,0.0,76.0,74.0,75.0,17094300.0,-1.0,1277728900.0,1213.0,75.0,2541000.0,74.0,2395600.0,10302100.0,0.0
460,20230112,LPKR,75.0,0.0,77.0,73.0,75.0,28998400.0,0.0,2174189000.0,1263.0,76.0,48800.0,75.0,3562100.0,10354400.0,170000.0
460,20230113,LPKR,75.0,0.0,76.0,74.0,75.0,12548600.0,0.0,941438900.0,566.0,75.0,19500.0,74.0,5206200.0,9990000.0,66100.0
460,20230116,LPKR,75.0,0.0,76.0,74.0,74.0,12162300.0,-1.0,905262900.0,760.0,75.0,1397000.0,73.0,4392200.0,8911100.0,33200.0
460,20230117,LPKR,74.0,0.0,76.0,74.0,74.0,11659000.0,0.0,870083000.0,1669.0,75.0,35000.0,74.0,1261500.0,7389800.0,1554100.0
460,20230118,LPKR,74.0,0.0,76.0,73.0,74.0,21504200.0,0.0,1604073500.0,1278.0,75.0,1600.0,74.0,3463200.0,9494800.0,167900.0
460,20230119,LPKR,74.0,0.0,80.0,74.0,78.0,75051400.0,4.0,5795638900.0,6206.0,79.0,2807400.0,78.0,334300.0,5851600.0,1726200.0
460,20230120,LPKR,78.0,0.0,79.0,74.0,76.0,31194300.0,-2.0,2353152200.0,1267.0,77.0,3664800.0,76.0,42900.0,1131500.0,7861000.0
460,20230124,LPKR,76.0,0.0,77.0,75.0,76.0,8003200.0,0.0,608049600.0,654.0,76.0,71100.0,75.0,2413200.0,485900.0,1600.0
460,20230125,LPKR,76.0,0.0,80.0,75.0,79.0,27661900.0,3.0,2162483400.0,980.0,80.0,2892500.0,79.0,580700.0,196500.0,363300.0
460,20230126,LPKR,79.0,0.0,82.0,79.0,81.0,18298600.0,2.0,1471930400.0,735.0,81.0,5024800.0,80.0,5013400.0,1126800.0,704300.0
461,20230127,LPKR,81.0,0.0,84.0,79.0,82.0,74329600.0,1.0,6085317600.0,21530.0,83.0,1991500.0,82.0,3434800.0,3116600.0,2523100.0
461,20230130,LPKR,82.0,0.0,83.0,80.0,81.0,10606300.0,-1.0,856370800.0,991.0,81.0,2708200.0,80.0,2277800.0,656100.0,729900.0
461,20230131,LPKR,81.0,0.0,82.0,79.0,82.0,16870500.0,1.0,1362724100.0,917.0,83.0,1980900.0,82.0,559900.0,5087500.0,8562000.0
462,20230201,LPKR,82.0,0.0,84.0,81.0,81.0,17406100.0,-1.0,1429773200.0,939.0,82.0,1538100.0,81.0,2326200.0,5735900.0,3753000.0
462,20230202,LPKR,81.0,0.0,84.0,81.0,84.0,30467000.0,3.0,2523737700.0,1514.0,84.0,4006800.0,83.0,394700.0,14392500.0,5086200.0
462,20230203,LPKR,84.0,0.0,87.0,82.0,87.0,24147500.0,3.0,2061258200.0,2017.0,87.0,1303200.0,86.0,3284900.0,2608100.0,2838400.0
462,20230206,LPKR,87.0,0.0,90.0,83.0,85.0,37251200.0,-2.0,3212546700.0,2085.0,85.0,670900.0,84.0,261400.0,4551800.0,3055700.0
