No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
457,20221230,LPPF,4780.0,0.0,4860.0,4710.0,4750.0,7985800.0,-30.0,37911308000.0,1202.0,4750.0,124300.0,4730.0,5800.0,7767600.0,7608200.0
457,20230102,LPPF,4750.0,0.0,4770.0,4630.0,4650.0,1120800.0,-100.0,5235988000.0,1064.0,4670.0,1000.0,4650.0,71700.0,262100.0,151900.0
457,20230103,LPPF,4650.0,0.0,4710.0,4620.0,4650.0,2375200.0,0.0,11048232000.0,1287.0,4650.0,127100.0,4640.0,60100.0,1200600.0,412400.0
457,20230104,LPPF,4650.0,0.0,4720.0,4410.0,4550.0,3523000.0,-100.0,15923410000.0,2241.0,4550.0,165500.0,4490.0,4700.0,802600.0,1883800.0
457,20230105,LPPF,4550.0,0.0,4600.0,4400.0,4430.0,1735200.0,-120.0,7711405000.0,1694.0,4430.0,78600.0,4420.0,400.0,865300.0,975500.0
460,20230106,LPPF,4430.0,0.0,4430.0,4160.0,4220.0,6510100.0,-210.0,27550513000.0,1833.0,4230.0,4200.0,4220.0,64600.0,1590000.0,3527400.0
461,20230109,LPPF,4220.0,0.0,4250.0,3950.0,3980.0,5986500.0,-240.0,24018094000.0,2732.0,3990.0,16500.0,3980.0,184100.0,2547200.0,2563300.0
461,20230110,LPPF,3980.0,0.0,4140.0,3980.0,4090.0,2603600.0,110.0,10593956000.0,1903.0,4100.0,5700.0,4090.0,103000.0,1141200.0,1076400.0
462,20230111,LPPF,4090.0,0.0,4160.0,4040.0,4040.0,1182100.0,-50.0,4844305000.0,1602.0,4040.0,31000.0,4030.0,28500.0,817300.0,640300.0
462,20230112,LPPF,4040.0,0.0,4180.0,3990.0,4150.0,1212100.0,110.0,4998338000.0,1543.0,4150.0,77500.0,4140.0,300.0,733600.0,949000.0
462,20230113,LPPF,4150.0,0.0,4180.0,4040.0,4080.0,1138400.0,-70.0,4648866000.0,975.0,4080.0,4900.0,4070.0,1300.0,684600.0,720800.0
462,20230116,LPPF,4080.0,0.0,4130.0,4050.0,4050.0,921700.0,-30.0,3751804000.0,689.0,4070.0,1400.0,4050.0,166400.0,727800.0,645400.0
462,20230117,LPPF,4050.0,0.0,4190.0,4060.0,4130.0,2229400.0,80.0,9218050000.0,1413.0,4130.0,61300.0,4120.0,2500.0,1430800.0,1887000.0
462,20230118,LPPF,4130.0,0.0,4200.0,4120.0,4190.0,1411300.0,60.0,5878564000.0,949.0,4190.0,16000.0,4180.0,3200.0,1017000.0,1106100.0
462,20230119,LPPF,4190.0,0.0,4400.0,4150.0,4360.0,2089700.0,170.0,8998773000.0,1554.0,4360.0,18700.0,4350.0,100.0,1473200.0,1393400.0
462,20230120,LPPF,4360.0,0.0,4370.0,4260.0,4300.0,1906900.0,-60.0,8189417000.0,1246.0,4300.0,13200.0,4290.0,500.0,1571000.0,1314100.0
