No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
460,20221230,LSIP,1015.0,0.0,1030.0,1015.0,1015.0,4541900.0,0.0,4615839000.0,825.0,1020.0,88700.0,1015.0,178000.0,736100.0,162800.0
460,20230102,LSIP,1015.0,0.0,1035.0,1015.0,1035.0,2277000.0,20.0,2341434000.0,569.0,1035.0,346000.0,1030.0,55100.0,23700.0,203800.0
460,20230103,LSIP,1035.0,0.0,1055.0,1030.0,1045.0,4089400.0,10.0,4274232500.0,1276.0,1050.0,236900.0,1045.0,2021200.0,417800.0,487500.0
460,20230104,LSIP,1045.0,0.0,1055.0,1020.0,1020.0,5282900.0,-25.0,5462861000.0,1506.0,1020.0,101400.0,1015.0,169400.0,2020300.0,307000.0
460,20230105,LSIP,1020.0,0.0,1030.0,1000.0,1000.0,10321700.0,-20.0,10375133000.0,2213.0,1005.0,180600.0,1000.0,261700.0,910200.0,357700.0
463,20230106,LSIP,1000.0,0.0,1020.0,975.0,1015.0,2708500.0,15.0,2715577500.0,908.0,1015.0,217300.0,1010.0,113800.0,381700.0,706200.0
464,20230109,LSIP,1015.0,0.0,1020.0,1005.0,1010.0,1697000.0,-5.0,1716585500.0,636.0,1010.0,81500.0,1005.0,196800.0,232400.0,773800.0
464,20230110,LSIP,1010.0,0.0,1015.0,1000.0,1010.0,1428300.0,0.0,1439135500.0,727.0,1010.0,89500.0,1005.0,40900.0,70900.0,620000.0
465,20230111,LSIP,1010.0,0.0,1015.0,995.0,1005.0,2550900.0,-5.0,2558364500.0,1180.0,1005.0,38300.0,1000.0,695100.0,478400.0,761800.0
465,20230112,LSIP,1005.0,0.0,1010.0,1000.0,1005.0,1717700.0,0.0,1725716000.0,876.0,1010.0,217100.0,1005.0,104600.0,680600.0,219400.0
465,20230113,LSIP,1005.0,0.0,1010.0,1000.0,1010.0,1544200.0,5.0,1554736500.0,556.0,1010.0,203000.0,1005.0,132300.0,260500.0,323200.0
465,20230116,LSIP,1010.0,0.0,1020.0,1005.0,1015.0,1935800.0,5.0,1955070500.0,684.0,1020.0,309800.0,1015.0,1407900.0,725100.0,721200.0
465,20230117,LSIP,1015.0,0.0,1030.0,1015.0,1020.0,2505200.0,5.0,2558587000.0,780.0,1025.0,231000.0,1020.0,1042800.0,479200.0,747400.0
465,20230118,LSIP,1020.0,0.0,1045.0,1020.0,1040.0,6218000.0,20.0,6422883500.0,1181.0,1045.0,250800.0,1040.0,153300.0,1125600.0,223400.0
