No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
470,20221230,MAPB,1880.0,0.0,1895.0,1885.0,1895.0,2400.0,15.0,4526500.0,9.0,1890.0,200.0,1835.0,200.0,0.0,0.0
470,20230102,MAPB,1895.0,0.0,1995.0,1845.0,1940.0,7100.0,45.0,13817500.0,20.0,1940.0,1600.0,1855.0,100.0,500.0,0.0
470,20230103,MAPB,1940.0,0.0,2000.0,1900.0,1900.0,73100.0,-40.0,143291500.0,33.0,1940.0,5500.0,1900.0,1100.0,25900.0,0.0
470,20230104,MAPB,1900.0,0.0,1980.0,1920.0,1920.0,8400.0,20.0,16618000.0,15.0,1960.0,5000.0,1905.0,100.0,4700.0,0.0
470,20230105,MAPB,1920.0,0.0,1900.0,1790.0,1805.0,46900.0,-115.0,85248500.0,49.0,1860.0,500.0,1805.0,18500.0,0.0,20000.0
473,20230106,MAPB,1805.0,0.0,2070.0,1815.0,1835.0,2100.0,30.0,3969000.0,13.0,1860.0,100.0,1830.0,400.0,0.0,0.0
474,20230109,MAPB,1835.0,0.0,1840.0,1825.0,1840.0,97200.0,5.0,178833500.0,4.0,1845.0,100.0,1830.0,53800.0,0.0,0.0
474,20230110,MAPB,1840.0,0.0,1870.0,1850.0,1870.0,17900.0,30.0,33333000.0,10.0,1940.0,100.0,1870.0,9500.0,5000.0,0.0
475,20230111,MAPB,1870.0,0.0,1905.0,1875.0,1875.0,27100.0,5.0,50908500.0,16.0,1875.0,800.0,1870.0,9500.0,24700.0,0.0
475,20230112,MAPB,1875.0,0.0,1875.0,1875.0,1875.0,13700.0,0.0,25687500.0,7.0,1880.0,200.0,1875.0,5000.0,13400.0,5000.0
475,20230113,MAPB,1875.0,0.0,1950.0,1890.0,1910.0,42100.0,35.0,80999500.0,51.0,1940.0,300.0,1915.0,400.0,6000.0,12700.0
475,20230116,MAPB,1910.0,0.0,2010.0,1905.0,2010.0,109900.0,100.0,219022500.0,38.0,2020.0,10000.0,1990.0,400.0,54200.0,11600.0
475,20230117,MAPB,2010.0,0.0,2010.0,2010.0,2010.0,42000.0,0.0,84420000.0,18.0,2020.0,10200.0,2010.0,2400.0,0.0,3700.0
475,20230118,MAPB,2010.0,0.0,2010.0,1985.0,1985.0,34400.0,-25.0,68658500.0,24.0,2010.0,10100.0,1985.0,7000.0,0.0,900.0
475,20230119,MAPB,1985.0,0.0,1990.0,1980.0,1985.0,64400.0,0.0,128033500.0,11.0,1990.0,10200.0,1985.0,15400.0,0.0,200.0
475,20230120,MAPB,1985.0,0.0,2000.0,1995.0,2000.0,96600.0,15.0,193147500.0,20.0,2020.0,500.0,1995.0,500.0,0.0,0.0
475,20230124,MAPB,2000.0,0.0,2500.0,1995.0,2390.0,173000.0,390.0,383644500.0,152.0,2390.0,23500.0,2320.0,2100.0,0.0,700.0
475,20230125,MAPB,2390.0,0.0,2400.0,2230.0,2360.0,95400.0,-30.0,217822000.0,87.0,2360.0,500.0,2300.0,100.0,1200.0,200.0
475,20230126,MAPB,2360.0,0.0,2380.0,2340.0,2380.0,116400.0,20.0,276221000.0,37.0,2400.0,10900.0,2380.0,20000.0,0.0,0.0
476,20230127,MAPB,2380.0,0.0,2800.0,2380.0,2670.0,127800.0,290.0,317586000.0,115.0,2670.0,9500.0,2630.0,500.0,0.0,0.0
476,20230130,MAPB,2670.0,0.0,2670.0,2550.0,2550.0,77000.0,-120.0,202145000.0,75.0,2570.0,200.0,2550.0,5800.0,0.0,0.0
476,20230131,MAPB,2550.0,0.0,2560.0,2460.0,2540.0,15200.0,-10.0,38273000.0,30.0,2550.0,5300.0,2490.0,900.0,0.0,1200.0
477,20230201,MAPB,2540.0,0.0,2780.0,2540.0,2560.0,55800.0,20.0,149114000.0,47.0,2630.0,5100.0,2560.0,2500.0,0.0,500.0
477,20230202,MAPB,2560.0,0.0,2670.0,2490.0,2490.0,63700.0,-70.0,163522000.0,57.0,2570.0,2100.0,2490.0,2000.0,0.0,1100.0
477,20230203,MAPB,2490.0,0.0,2610.0,2470.0,2580.0,44400.0,90.0,114796000.0,22.0,2580.0,100.0,2510.0,5300.0,0.0,400.0
477,20230206,MAPB,2580.0,0.0,2580.0,2510.0,2580.0,3300.0,0.0,8402000.0,11.0,2570.0,100.0,2530.0,900.0,0.0,0.0
478,20230207,MAPB,2580.0,0.0,2580.0,2560.0,2580.0,38900.0,0.0,100348000.0,43.0,2580.0,300.0,2490.0,1300.0,0.0,12100.0
480,20230208,MAPB,2580.0,0.0,2570.0,2500.0,2570.0,24400.0,-10.0,62000000.0,16.0,2570.0,700.0,2500.0,32300.0,0.0,0.0
480,20230209,MAPB,2570.0,0.0,2570.0,2500.0,2500.0,38900.0,-70.0,98512000.0,12.0,2500.0,3500.0,2490.0,4500.0,0.0,100.0
480,20230210,MAPB,2500.0,0.0,2550.0,2490.0,2520.0,18100.0,20.0,45276000.0,16.0,2520.0,3400.0,2500.0,1000.0,0.0,0.0
480,20230213,MAPB,2520.0,0.0,2570.0,2500.0,2520.0,25700.0,0.0,64270000.0,7.0,2660.0,1300.0,2520.0,100.0,0.0,0.0
480,20230214,MAPB,2520.0,0.0,2640.0,2520.0,2540.0,2500.0,20.0,6373000.0,13.0,2570.0,300.0,2530.0,100.0,0.0,0.0
480,20230215,MAPB,2540.0,0.0,2640.0,2490.0,2510.0,26400.0,-30.0,66042000.0,27.0,2550.0,700.0,2500.0,4300.0,900.0,0.0
481,20230216,MAPB,2510.0,0.0,2650.0,2490.0,2550.0,1100.0,40.0,2811000.0,10.0,2550.0,10600.0,2510.0,200.0,300.0,600.0
481,20230217,MAPB,2550.0,0.0,2550.0,2450.0,2460.0,20100.0,-90.0,49721000.0,25.0,2520.0,500.0,2460.0,3300.0,400.0,0.0
481,20230220,MAPB,2460.0,0.0,2500.0,2460.0,2500.0,1800.0,40.0,4464000.0,7.0,2510.0,200.0,2500.0,1000.0,100.0,0.0
481,20230221,MAPB,2500.0,0.0,2500.0,2450.0,2500.0,4500.0,0.0,11190000.0,11.0,2500.0,5000.0,2430.0,3400.0,200.0,0.0
481,20230222,MAPB,2500.0,0.0,2450.0,2450.0,2450.0,1500.0,-50.0,3675000.0,7.0,2500.0,300.0,2450.0,900.0,0.0,0.0
481,20230223,MAPB,2450.0,0.0,2570.0,2430.0,2480.0,2800.0,30.0,6981000.0,12.0,2520.0,100.0,2480.0,600.0,800.0,0.0
481,20230224,MAPB,2480.0,0.0,2480.0,2430.0,2430.0,10600.0,-50.0,25802000.0,22.0,2480.0,29700.0,2430.0,400.0,0.0,0.0
482,20230227,MAPB,2430.0,0.0,2540.0,2420.0,2500.0,14400.0,70.0,35216000.0,18.0,2500.0,18100.0,2460.0,600.0,12500.0,0.0
482,20230228,MAPB,2500.0,0.0,2500.0,2430.0,2430.0,51000.0,-70.0,124843000.0,16.0,2450.0,28000.0,2430.0,2300.0,7200.0,0.0
483,20230301,MAPB,2430.0,0.0,2430.0,2420.0,2420.0,41600.0,-10.0,100744000.0,17.0,2460.0,400.0,2420.0,78700.0,100.0,0.0
483,20230302,MAPB,2420.0,0.0,2540.0,2440.0,2470.0,9600.0,50.0,23941000.0,13.0,2460.0,5800.0,2450.0,100.0,4500.0,0.0
484,20230303,MAPB,2470.0,0.0,2560.0,2470.0,2560.0,77900.0,90.0,198350000.0,23.0,2550.0,100.0,2350.0,5100.0,5800.0,0.0
484,20230306,MAPB,2560.0,0.0,2550.0,2460.0,2550.0,9300.0,-10.0,23334000.0,12.0,2550.0,2500.0,2480.0,200.0,300.0,0.0
484,20230307,MAPB,2550.0,0.0,2550.0,2440.0,2490.0,4600.0,-60.0,11438000.0,13.0,2490.0,500.0,2440.0,300.0,200.0,0.0
485,20230308,MAPB,2490.0,0.0,2480.0,2390.0,2480.0,9300.0,-10.0,22398000.0,15.0,2480.0,8800.0,2400.0,100.0,0.0,400.0
485,20230309,MAPB,2480.0,0.0,2480.0,2420.0,2420.0,4900.0,-60.0,11958000.0,11.0,2420.0,1400.0,2410.0,100.0,0.0,0.0
485,20230310,MAPB,2420.0,0.0,2420.0,2390.0,2390.0,2700.0,-30.0,6464000.0,8.0,2400.0,2800.0,2390.0,500.0,0.0,0.0
485,20230313,MAPB,2390.0,0.0,2400.0,2350.0,2390.0,27100.0,0.0,65003000.0,13.0,2390.0,2100.0,2370.0,400.0,100.0,0.0
485,20230314,MAPB,2390.0,0.0,2390.0,2320.0,2340.0,21000.0,-50.0,48937000.0,13.0,2340.0,4700.0,2320.0,6000.0,0.0,0.0
485,20230315,MAPB,2340.0,0.0,2340.0,2320.0,2320.0,2100.0,-20.0,4889000.0,13.0,2320.0,7500.0,2240.0,100.0,900.0,0.0
485,20230316,MAPB,2320.0,0.0,2320.0,2270.0,2270.0,17700.0,-50.0,40893000.0,12.0,2270.0,4200.0,2260.0,20000.0,2900.0,0.0
485,20230317,MAPB,2270.0,0.0,2470.0,2370.0,2410.0,2000.0,140.0,4877000.0,9.0,2410.0,2500.0,2280.0,100.0,200.0,0.0
485,20230320,MAPB,2410.0,0.0,2310.0,2250.0,2250.0,33500.0,-160.0,76193000.0,16.0,2250.0,2600.0,0.0,0.0,300.0,0.0
485,20230321,MAPB,2250.0,0.0,2260.0,2250.0,2260.0,400.0,10.0,903000.0,3.0,2270.0,2200.0,2260.0,4800.0,0.0,0.0
485,20230324,MAPB,2260.0,0.0,2390.0,2160.0,2380.0,3200.0,120.0,7130000.0,14.0,2350.0,100.0,2250.0,200.0,0.0,0.0
485,20230327,MAPB,2380.0,0.0,2380.0,2290.0,2290.0,2000.0,-90.0,4709000.0,9.0,2310.0,600.0,2250.0,100.0,0.0,100.0
485,20230328,MAPB,2290.0,0.0,2310.0,2290.0,2310.0,900.0,20.0,2067000.0,6.0,2320.0,600.0,2310.0,500.0,100.0,0.0
