No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
472,20221230,MARI,129.0,0.0,135.0,127.0,128.0,12774100.0,-1.0,1664109700.0,741.0,129.0,30400.0,128.0,429000.0,719900.0,50900.0
472,20230102,MARI,128.0,0.0,133.0,127.0,130.0,9644100.0,2.0,1252786700.0,1382.0,130.0,25900.0,129.0,942000.0,50900.0,201100.0
472,20230103,MARI,130.0,0.0,138.0,130.0,136.0,48063600.0,6.0,6507860500.0,12928.0,136.0,450900.0,135.0,123600.0,2294900.0,835700.0
472,20230104,MARI,136.0,0.0,138.0,132.0,135.0,13080200.0,-1.0,1760582000.0,1977.0,135.0,188800.0,134.0,176300.0,194400.0,102300.0
472,20230105,MARI,135.0,0.0,137.0,126.0,127.0,33018600.0,-8.0,4251849500.0,2455.0,128.0,841300.0,127.0,80900.0,1420200.0,1680000.0
475,20230106,MARI,127.0,0.0,129.0,123.0,126.0,8365100.0,-1.0,1056930900.0,574.0,127.0,778200.0,126.0,3000.0,596000.0,327800.0
476,20230109,MARI,126.0,0.0,129.0,125.0,126.0,8369200.0,0.0,1061997900.0,517.0,127.0,101700.0,126.0,148900.0,159600.0,399400.0
476,20230110,MARI,126.0,0.0,128.0,120.0,120.0,9934400.0,-6.0,1219045000.0,650.0,122.0,170000.0,120.0,290200.0,559700.0,480900.0
477,20230111,MARI,120.0,0.0,124.0,120.0,121.0,9460400.0,1.0,1150558800.0,711.0,122.0,115000.0,121.0,466400.0,860800.0,698200.0
477,20230112,MARI,121.0,0.0,128.0,121.0,124.0,12184000.0,3.0,1517850500.0,1546.0,124.0,371600.0,123.0,432300.0,254500.0,723800.0
477,20230113,MARI,124.0,0.0,128.0,123.0,128.0,10055800.0,4.0,1262370700.0,640.0,128.0,738500.0,127.0,50000.0,213100.0,385200.0
477,20230116,MARI,128.0,0.0,135.0,128.0,133.0,23039900.0,5.0,3033125600.0,1824.0,133.0,500900.0,132.0,2281800.0,662200.0,67000.0
477,20230117,MARI,133.0,0.0,137.0,131.0,135.0,18492400.0,2.0,2478829800.0,2037.0,135.0,1000000.0,134.0,3503800.0,59200.0,20600.0
477,20230118,MARI,135.0,0.0,135.0,130.0,133.0,11128000.0,-2.0,1474900000.0,568.0,133.0,377000.0,132.0,989600.0,20600.0,48700.0
