No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
477,20221230,MBAP,7375.0,0.0,7675.0,7275.0,7625.0,272000.0,250.0,2057905000.0,426.0,7625.0,61300.0,7450.0,2400.0,5100.0,0.0
477,20230102,MBAP,7625.0,0.0,7600.0,7425.0,7500.0,120100.0,-125.0,899590000.0,200.0,7500.0,23400.0,7475.0,1400.0,4500.0,0.0
477,20230103,MBAP,7500.0,0.0,7575.0,7400.0,7425.0,64400.0,-75.0,479942500.0,144.0,7450.0,1700.0,7425.0,1800.0,1200.0,0.0
477,20230104,MBAP,7425.0,0.0,7425.0,7225.0,7250.0,127300.0,-175.0,927420000.0,273.0,7250.0,8200.0,7225.0,11100.0,6800.0,0.0
477,20230105,MBAP,7250.0,0.0,7250.0,6875.0,6900.0,327300.0,-350.0,2286647500.0,600.0,6900.0,5400.0,6875.0,39800.0,3800.0,1500.0
480,20230106,MBAP,6900.0,0.0,7175.0,6850.0,6975.0,227400.0,75.0,1589907500.0,288.0,7000.0,107800.0,6975.0,19200.0,5400.0,2300.0
481,20230109,MBAP,6975.0,0.0,7025.0,6800.0,6825.0,261100.0,-150.0,1801902500.0,379.0,6850.0,2800.0,6800.0,27900.0,2100.0,13300.0
481,20230110,MBAP,6825.0,0.0,6825.0,6650.0,6825.0,237700.0,0.0,1601527500.0,401.0,6825.0,11000.0,6800.0,2100.0,2400.0,12400.0
482,20230111,MBAP,6825.0,0.0,6850.0,6725.0,6850.0,117400.0,25.0,797170000.0,199.0,6900.0,3700.0,6850.0,6400.0,0.0,4700.0
482,20230112,MBAP,6850.0,0.0,6800.0,6650.0,6750.0,98300.0,-100.0,661640000.0,224.0,6775.0,6600.0,6750.0,13900.0,700.0,3500.0
482,20230113,MBAP,6750.0,0.0,6875.0,6750.0,6850.0,74300.0,100.0,506790000.0,172.0,6875.0,900.0,6850.0,100.0,20400.0,5100.0
482,20230116,MBAP,6850.0,0.0,6850.0,6725.0,6775.0,96100.0,-75.0,649770000.0,171.0,6775.0,12400.0,6750.0,12800.0,1300.0,400.0
482,20230117,MBAP,6775.0,0.0,6800.0,6725.0,6800.0,100900.0,25.0,682720000.0,157.0,6800.0,600.0,6775.0,1500.0,500.0,1200.0
482,20230118,MBAP,6800.0,0.0,6975.0,6800.0,6850.0,87600.0,50.0,601835000.0,209.0,6850.0,7700.0,6825.0,2500.0,3000.0,2000.0
482,20230119,MBAP,6850.0,0.0,6975.0,6850.0,6975.0,51300.0,125.0,355705000.0,108.0,7000.0,6000.0,6975.0,400.0,0.0,1600.0
482,20230120,MBAP,6975.0,0.0,7175.0,7000.0,7150.0,53100.0,175.0,377372500.0,137.0,7150.0,5500.0,7125.0,1400.0,0.0,200.0
482,20230124,MBAP,7150.0,0.0,7175.0,6925.0,7000.0,85700.0,-150.0,600862500.0,196.0,7025.0,1900.0,7000.0,4700.0,400.0,0.0
482,20230125,MBAP,7000.0,0.0,7050.0,6900.0,6975.0,61400.0,-25.0,429217500.0,143.0,7000.0,1800.0,6950.0,7300.0,3200.0,500.0
482,20230126,MBAP,6975.0,0.0,6975.0,6675.0,6775.0,219100.0,-200.0,1480692500.0,538.0,6775.0,3500.0,6750.0,27200.0,2300.0,1000.0
483,20230127,MBAP,6775.0,0.0,6850.0,6750.0,6800.0,89000.0,25.0,603732500.0,196.0,6825.0,400.0,6800.0,9400.0,2300.0,0.0
483,20230130,MBAP,6800.0,0.0,6900.0,6750.0,6800.0,130100.0,0.0,884977500.0,237.0,6825.0,7200.0,6800.0,44100.0,2400.0,62800.0
483,20230131,MBAP,6800.0,0.0,6875.0,6800.0,6825.0,206700.0,25.0,1407765000.0,141.0,6825.0,7300.0,6800.0,9500.0,2200.0,131600.0
484,20230201,MBAP,6825.0,0.0,6875.0,6775.0,6825.0,453800.0,0.0,3086990000.0,188.0,6825.0,29400.0,6800.0,2700.0,16200.0,365900.0
484,20230202,MBAP,6825.0,0.0,7025.0,6800.0,6825.0,166700.0,0.0,1135220000.0,147.0,6825.0,6600.0,6800.0,18600.0,3000.0,110200.0
484,20230203,MBAP,6825.0,0.0,6825.0,6625.0,6625.0,568100.0,-200.0,3830927500.0,529.0,6650.0,9700.0,6625.0,700.0,3200.0,333300.0
484,20230206,MBAP,6625.0,0.0,6625.0,6425.0,6425.0,256000.0,-200.0,1651217500.0,454.0,6450.0,3100.0,6425.0,11500.0,3300.0,6300.0
485,20230207,MBAP,6425.0,0.0,6625.0,6425.0,6575.0,247900.0,150.0,1620922500.0,365.0,6575.0,3100.0,6550.0,300.0,5400.0,0.0
487,20230208,MBAP,6575.0,0.0,6625.0,6500.0,6525.0,71500.0,-50.0,469910000.0,180.0,6550.0,2000.0,6525.0,2200.0,4100.0,3700.0
487,20230209,MBAP,6525.0,0.0,6500.0,6400.0,6450.0,140400.0,-75.0,903750000.0,296.0,6450.0,1300.0,6425.0,10200.0,3900.0,2000.0
487,20230210,MBAP,6450.0,0.0,6425.0,6150.0,6200.0,292700.0,-250.0,1818510000.0,525.0,6225.0,5200.0,6200.0,9700.0,3800.0,11400.0
487,20230213,MBAP,6200.0,0.0,6300.0,6200.0,6200.0,93200.0,0.0,581432500.0,240.0,6225.0,2300.0,6200.0,19500.0,4600.0,9600.0
487,20230214,MBAP,6200.0,0.0,6250.0,6150.0,6225.0,41000.0,25.0,254492500.0,115.0,6250.0,7000.0,6225.0,1500.0,4500.0,200.0
487,20230215,MBAP,6225.0,0.0,6300.0,6200.0,6275.0,67100.0,50.0,420315000.0,121.0,6300.0,21900.0,6275.0,500.0,6300.0,200.0
488,20230216,MBAP,6275.0,0.0,6325.0,6250.0,6300.0,48200.0,25.0,302990000.0,74.0,6300.0,1200.0,6275.0,300.0,14400.0,0.0
488,20230217,MBAP,6300.0,0.0,6300.0,6225.0,6250.0,46400.0,-50.0,289877500.0,119.0,6250.0,5800.0,6225.0,10900.0,3500.0,500.0
488,20230220,MBAP,6250.0,0.0,6300.0,6200.0,6250.0,37700.0,0.0,235027500.0,116.0,6250.0,14700.0,6225.0,600.0,2800.0,0.0
488,20230221,MBAP,6250.0,0.0,6275.0,6100.0,6125.0,208500.0,-125.0,1284232500.0,374.0,6150.0,400.0,6125.0,1700.0,3900.0,20800.0
488,20230222,MBAP,6125.0,0.0,6225.0,6050.0,6125.0,94100.0,0.0,574645000.0,219.0,6125.0,2900.0,6075.0,2100.0,3600.0,700.0
