No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
496,20230418,MBMA,795.0,0.0,955.0,805.0,885.0,1306040800.0,90.0,1161544669000.0,96748.0,890.0,3047500.0,885.0,7562900.0,209490000.0,118094900.0
496,20230426,MBMA,885.0,0.0,900.0,825.0,825.0,253021200.0,-60.0,213970687500.0,22773.0,825.0,52605900.0,0.0,0.0,29209300.0,15289600.0
496,20230427,MBMA,825.0,0.0,845.0,795.0,820.0,444923500.0,-5.0,362279997000.0,23045.0,825.0,2004900.0,820.0,310600.0,122760600.0,20519600.0
496,20230428,MBMA,820.0,0.0,845.0,805.0,830.0,135630400.0,10.0,113003634500.0,10822.0,835.0,18700.0,830.0,2752800.0,9449300.0,6393800.0
496,20230502,MBMA,830.0,0.0,845.0,790.0,805.0,190442300.0,-25.0,153519504500.0,10168.0,805.0,13903900.0,800.0,6216900.0,29938700.0,6098000.0
496,20230503,MBMA,805.0,0.0,810.0,785.0,795.0,124451800.0,-10.0,98977948500.0,5287.0,800.0,5959300.0,795.0,10040300.0,6281600.0,13036700.0
496,20230504,MBMA,795.0,0.0,815.0,790.0,805.0,54894200.0,10.0,44108784500.0,3847.0,810.0,158600.0,805.0,4584100.0,12087600.0,4885000.0
496,20230505,MBMA,805.0,0.0,815.0,750.0,790.0,248253100.0,-15.0,191026929500.0,9072.0,790.0,204400.0,785.0,4828100.0,32623900.0,8173300.0
498,20230508,MBMA,790.0,0.0,795.0,770.0,795.0,83839400.0,5.0,66056453500.0,4052.0,795.0,485800.0,790.0,26000.0,9440700.0,17778900.0
498,20230509,MBMA,795.0,0.0,800.0,775.0,790.0,90885400.0,-5.0,71416925500.0,3589.0,790.0,13292200.0,785.0,8800.0,2102100.0,17231300.0
498,20230510,MBMA,790.0,0.0,790.0,770.0,780.0,50420600.0,-10.0,39152690500.0,3357.0,785.0,4106200.0,780.0,3042800.0,320600.0,16658200.0
498,20230511,MBMA,780.0,0.0,785.0,755.0,770.0,73140200.0,-10.0,55799552500.0,3003.0,770.0,874100.0,765.0,516500.0,10800600.0,14578200.0
