No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
480,20221230,MCAS,8025.0,0.0,8175.0,7900.0,8025.0,180700.0,0.0,1453945000.0,86.0,8050.0,96700.0,7975.0,100.0,9500.0,48600.0
480,20230102,MCAS,8025.0,0.0,8175.0,7750.0,8100.0,208000.0,75.0,1649210000.0,218.0,8100.0,5800.0,7800.0,9100.0,11000.0,21700.0
480,20230103,MCAS,8100.0,0.0,8400.0,8000.0,8250.0,204900.0,150.0,1691360000.0,559.0,8275.0,700.0,8200.0,162500.0,44200.0,83000.0
480,20230104,MCAS,8250.0,0.0,8400.0,8200.0,8275.0,235100.0,25.0,1953230000.0,675.0,8275.0,400.0,8250.0,200.0,92000.0,101100.0
480,20230105,MCAS,8275.0,0.0,8350.0,7850.0,8075.0,86100.0,-200.0,696812500.0,318.0,8075.0,1600.0,8000.0,300.0,64200.0,34300.0
483,20230106,MCAS,8075.0,0.0,8100.0,7700.0,7700.0,65600.0,-375.0,511462500.0,221.0,7700.0,1900.0,7650.0,11500.0,28900.0,3100.0
484,20230109,MCAS,7700.0,0.0,7900.0,7675.0,7675.0,65800.0,-25.0,508380000.0,284.0,7800.0,1200.0,7675.0,1400.0,40800.0,4800.0
484,20230110,MCAS,7675.0,0.0,7675.0,7225.0,7325.0,170500.0,-350.0,1246157500.0,251.0,7325.0,1900.0,7300.0,700.0,34800.0,14200.0
485,20230111,MCAS,7325.0,0.0,7375.0,6825.0,7000.0,1095600.0,-325.0,7832775000.0,1482.0,7150.0,3800.0,7000.0,1156800.0,228200.0,186600.0
485,20230112,MCAS,7000.0,0.0,7375.0,6800.0,7025.0,335400.0,25.0,2359397500.0,584.0,7025.0,500.0,6975.0,3600.0,51600.0,91600.0
485,20230113,MCAS,7025.0,0.0,7050.0,6900.0,7000.0,49500.0,-25.0,346045000.0,149.0,7000.0,3800.0,6900.0,5200.0,14800.0,6200.0
485,20230116,MCAS,7000.0,0.0,7175.0,6850.0,7000.0,147500.0,0.0,1035742500.0,301.0,7000.0,37100.0,6925.0,2900.0,50700.0,35600.0
485,20230117,MCAS,7000.0,0.0,7025.0,6600.0,6925.0,350200.0,-75.0,2400037500.0,430.0,6925.0,30100.0,6775.0,40000.0,93500.0,50800.0
485,20230118,MCAS,6925.0,0.0,6925.0,6650.0,6900.0,178900.0,-25.0,1218612500.0,300.0,6900.0,19700.0,6700.0,100.0,46900.0,27800.0
485,20230119,MCAS,6900.0,0.0,6900.0,6675.0,6800.0,207100.0,-100.0,1402445000.0,338.0,6800.0,700.0,6750.0,300.0,56100.0,35000.0
485,20230120,MCAS,6800.0,0.0,6850.0,6700.0,6850.0,67300.0,50.0,458380000.0,163.0,6850.0,900.0,6800.0,3500.0,22900.0,10800.0
485,20230124,MCAS,6850.0,0.0,6775.0,6675.0,6700.0,295000.0,-150.0,1982252500.0,526.0,6725.0,100.0,6700.0,4300.0,71800.0,11100.0
