No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
485,20221230,MDKI,186.0,0.0,186.0,184.0,185.0,487800.0,-1.0,90240700.0,111.0,185.0,1058500.0,184.0,183000.0,2000.0,0.0
485,20230102,MDKI,185.0,0.0,188.0,183.0,184.0,707700.0,-1.0,130778400.0,164.0,185.0,100200.0,184.0,111300.0,300.0,0.0
485,20230103,MDKI,184.0,0.0,187.0,184.0,185.0,322400.0,1.0,59437700.0,83.0,185.0,4500.0,184.0,4500.0,99700.0,0.0
485,20230104,MDKI,185.0,0.0,186.0,185.0,186.0,269100.0,1.0,50029400.0,48.0,186.0,118900.0,185.0,27700.0,88900.0,0.0
485,20230105,MDKI,186.0,0.0,186.0,183.0,184.0,294500.0,-2.0,54113400.0,118.0,184.0,157700.0,183.0,46100.0,100.0,0.0
488,20230106,MDKI,184.0,0.0,185.0,183.0,183.0,84400.0,-1.0,15491700.0,56.0,184.0,58500.0,183.0,81400.0,0.0,0.0
489,20230109,MDKI,183.0,0.0,186.0,183.0,186.0,155500.0,3.0,28512200.0,98.0,186.0,32800.0,184.0,10000.0,2700.0,0.0
489,20230110,MDKI,186.0,0.0,185.0,184.0,184.0,49400.0,-2.0,9103400.0,50.0,185.0,56800.0,183.0,30900.0,0.0,0.0
490,20230111,MDKI,184.0,0.0,184.0,182.0,182.0,76000.0,-2.0,13932800.0,82.0,184.0,99200.0,182.0,93800.0,0.0,0.0
490,20230112,MDKI,182.0,0.0,185.0,182.0,183.0,243700.0,1.0,44448100.0,108.0,183.0,543900.0,182.0,3800.0,0.0,0.0
490,20230113,MDKI,183.0,0.0,187.0,180.0,182.0,846400.0,-1.0,154500400.0,389.0,182.0,1500.0,181.0,141600.0,0.0,0.0
490,20230116,MDKI,182.0,0.0,184.0,181.0,183.0,283900.0,1.0,51884000.0,71.0,184.0,60200.0,183.0,14800.0,0.0,0.0
490,20230117,MDKI,183.0,0.0,184.0,182.0,184.0,89300.0,1.0,16382600.0,89.0,184.0,11200.0,183.0,31800.0,0.0,0.0
490,20230118,MDKI,184.0,0.0,185.0,182.0,185.0,48800.0,1.0,8951200.0,72.0,185.0,15700.0,184.0,1500.0,0.0,0.0
490,20230119,MDKI,185.0,0.0,185.0,183.0,185.0,136800.0,0.0,25243400.0,49.0,185.0,206400.0,184.0,63500.0,0.0,0.0
490,20230120,MDKI,185.0,0.0,186.0,183.0,184.0,122200.0,-1.0,22517700.0,62.0,185.0,188400.0,184.0,5202500.0,0.0,0.0
490,20230124,MDKI,184.0,0.0,185.0,184.0,185.0,82000.0,1.0,15155100.0,44.0,185.0,141000.0,184.0,52700.0,0.0,0.0
490,20230125,MDKI,185.0,0.0,185.0,181.0,185.0,67100.0,0.0,12315300.0,79.0,185.0,188000.0,184.0,11100.0,0.0,0.0
490,20230126,MDKI,185.0,0.0,186.0,185.0,185.0,100000.0,0.0,18563400.0,47.0,186.0,148400.0,185.0,49400.0,0.0,0.0
491,20230127,MDKI,185.0,0.0,188.0,185.0,187.0,244800.0,2.0,45629700.0,85.0,188.0,112100.0,186.0,5400.0,0.0,0.0
491,20230130,MDKI,187.0,0.0,187.0,185.0,187.0,140800.0,0.0,26233700.0,35.0,187.0,69100.0,186.0,11500.0,114900.0,0.0
491,20230131,MDKI,187.0,0.0,188.0,186.0,187.0,174500.0,0.0,32691200.0,92.0,187.0,5000.0,186.0,62700.0,0.0,0.0
492,20230201,MDKI,187.0,0.0,188.0,185.0,188.0,220500.0,1.0,41103500.0,124.0,188.0,107700.0,187.0,31800.0,70000.0,0.0
492,20230202,MDKI,188.0,0.0,189.0,186.0,188.0,125300.0,0.0,23529100.0,61.0,188.0,11400.0,187.0,41800.0,0.0,0.0
492,20230203,MDKI,188.0,0.0,189.0,187.0,188.0,99100.0,0.0,18677900.0,68.0,188.0,5600.0,187.0,45700.0,0.0,0.0
492,20230206,MDKI,188.0,0.0,187.0,186.0,186.0,246400.0,-2.0,45921300.0,106.0,186.0,23800.0,185.0,79600.0,73500.0,0.0
493,20230207,MDKI,186.0,0.0,187.0,185.0,187.0,110300.0,1.0,20456500.0,66.0,187.0,17600.0,186.0,53700.0,0.0,0.0
495,20230208,MDKI,187.0,0.0,189.0,187.0,189.0,249500.0,2.0,47064800.0,78.0,190.0,84100.0,189.0,10000.0,0.0,0.0
495,20230209,MDKI,189.0,0.0,189.0,187.0,187.0,199800.0,-2.0,37442900.0,67.0,188.0,45200.0,187.0,27700.0,179000.0,0.0
495,20230210,MDKI,187.0,0.0,189.0,187.0,189.0,117100.0,2.0,22061800.0,89.0,189.0,19700.0,188.0,7700.0,0.0,100.0
495,20230213,MDKI,189.0,0.0,189.0,186.0,188.0,178600.0,-1.0,33648500.0,75.0,188.0,69300.0,187.0,25700.0,31800.0,0.0
495,20230214,MDKI,188.0,0.0,189.0,187.0,188.0,151200.0,0.0,28463500.0,73.0,188.0,102300.0,187.0,19000.0,18900.0,0.0
495,20230215,MDKI,188.0,0.0,189.0,186.0,187.0,130600.0,-1.0,24437300.0,93.0,187.0,200.0,186.0,45100.0,75500.0,0.0
496,20230216,MDKI,187.0,0.0,188.0,185.0,188.0,189300.0,1.0,35198800.0,119.0,188.0,74400.0,187.0,4700.0,162200.0,0.0
496,20230217,MDKI,188.0,0.0,187.0,185.0,186.0,261400.0,-2.0,48615400.0,107.0,186.0,83600.0,185.0,78000.0,96900.0,0.0
496,20230220,MDKI,186.0,0.0,187.0,185.0,186.0,64300.0,0.0,11953500.0,60.0,186.0,27000.0,185.0,54400.0,0.0,0.0
496,20230221,MDKI,186.0,0.0,187.0,185.0,186.0,115500.0,0.0,21437000.0,72.0,186.0,76700.0,185.0,32800.0,23300.0,0.0
496,20230222,MDKI,186.0,0.0,188.0,186.0,187.0,80000.0,1.0,14933900.0,23.0,187.0,84900.0,186.0,200000.0,42000.0,0.0
496,20230223,MDKI,187.0,0.0,187.0,186.0,186.0,167300.0,-1.0,31121000.0,55.0,187.0,164500.0,185.0,141300.0,3200.0,0.0
496,20230224,MDKI,186.0,0.0,186.0,184.0,186.0,339900.0,0.0,62908100.0,97.0,186.0,108900.0,185.0,30900.0,20100.0,0.0
497,20230227,MDKI,186.0,0.0,187.0,185.0,187.0,92700.0,1.0,17217000.0,85.0,187.0,30100.0,186.0,14000.0,0.0,0.0
