No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
543,20240212,MEJA,103.0,0.0,113.0,93.0,113.0,264156600.0,10.0,28844956100.0,23324.0,0.0,0.0,113.0,444248400.0,4537300.0,840000.0
544,20240213,MEJA,113.0,0.0,123.0,103.0,105.0,74604600.0,-8.0,8204945800.0,7327.0,105.0,4121900.0,104.0,483400.0,260400.0,210000.0
545,20240215,MEJA,105.0,0.0,108.0,97.0,103.0,22414900.0,-2.0,2315916800.0,3524.0,103.0,270600.0,102.0,225200.0,11000.0,0.0
545,20240216,MEJA,103.0,0.0,106.0,98.0,101.0,45459300.0,-2.0,4606322900.0,1866.0,102.0,6700.0,101.0,103300.0,108000.0,0.0
545,20240219,MEJA,101.0,0.0,109.0,97.0,108.0,92890500.0,7.0,9936507800.0,25234.0,108.0,721100.0,107.0,368800.0,233600.0,27100.0
545,20240220,MEJA,108.0,0.0,110.0,104.0,106.0,14873600.0,-2.0,1595662500.0,2151.0,107.0,68300.0,106.0,6500.0,0.0,0.0
545,20240221,MEJA,106.0,0.0,108.0,103.0,103.0,83660000.0,-3.0,8941054000.0,2199.0,104.0,50400.0,103.0,107600.0,17100.0,166500.0
545,20240222,MEJA,103.0,0.0,110.0,101.0,105.0,155092500.0,2.0,16463074100.0,2760.0,105.0,153500.0,104.0,181100.0,161900.0,32100.0
545,20240223,MEJA,105.0,0.0,115.0,106.0,115.0,113263300.0,10.0,12955871800.0,4088.0,0.0,0.0,115.0,285710600.0,105100.0,39300.0
545,20240226,MEJA,115.0,0.0,126.0,117.0,126.0,77736500.0,11.0,9636380500.0,19444.0,0.0,0.0,126.0,60228000.0,47500.0,700.0
545,20240227,MEJA,126.0,0.0,135.0,118.0,125.0,102965000.0,-1.0,13062459600.0,4053.0,125.0,1207100.0,124.0,1257200.0,16700.0,29300.0
545,20240228,MEJA,125.0,0.0,137.0,120.0,137.0,145797200.0,12.0,18808991500.0,8603.0,0.0,0.0,137.0,213125500.0,16900.0,62400.0
545,20240229,MEJA,137.0,0.0,150.0,137.0,150.0,114176200.0,13.0,16648519900.0,37209.0,0.0,0.0,150.0,234978600.0,104400.0,91900.0
545,20240301,MEJA,150.0,0.0,155.0,139.0,149.0,89287800.0,-1.0,13277843800.0,5530.0,149.0,70200.0,148.0,228700.0,64700.0,125100.0
545,20240304,MEJA,149.0,0.0,160.0,146.0,159.0,89360300.0,10.0,13704608400.0,7335.0,159.0,1076500.0,158.0,553300.0,205800.0,79200.0
545,20240305,MEJA,159.0,0.0,171.0,156.0,168.0,132572700.0,9.0,21658390100.0,21339.0,168.0,248400.0,167.0,100200.0,32500.0,113700.0
