No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
510,20230418,MENN,78.0,0.0,85.0,71.0,71.0,93398200.0,-7.0,6643624800.0,13294.0,71.0,42206200.0,0.0,0.0,0.0,941200.0
510,20230426,MENN,71.0,0.0,64.0,64.0,64.0,102371600.0,-7.0,6551782400.0,22960.0,64.0,48168200.0,0.0,0.0,0.0,51000.0
510,20230427,MENN,64.0,0.0,58.0,58.0,58.0,75156700.0,-6.0,4359088600.0,7724.0,58.0,53126600.0,0.0,0.0,0.0,10000.0
510,20230428,MENN,58.0,0.0,53.0,53.0,53.0,67718700.0,-5.0,3589091100.0,11791.0,53.0,51423700.0,0.0,0.0,0.0,130000.0
510,20230502,MENN,53.0,0.0,58.0,48.0,54.0,342295000.0,1.0,17610300400.0,17706.0,54.0,3111500.0,53.0,422400.0,4285600.0,800000.0
510,20230503,MENN,54.0,0.0,55.0,51.0,52.0,30359200.0,-2.0,1602762700.0,3514.0,53.0,1119400.0,52.0,5921100.0,1079200.0,0.0
510,20230504,MENN,52.0,0.0,53.0,48.0,50.0,21945500.0,-2.0,1087794800.0,2489.0,50.0,1698500.0,49.0,2757800.0,66600.0,1497600.0
510,20230505,MENN,50.0,0.0,51.0,45.0,50.0,61629400.0,0.0,2934690100.0,3156.0,50.0,169700.0,49.0,6429800.0,749600.0,360000.0
512,20230508,MENN,50.0,0.0,51.0,46.0,50.0,22380700.0,0.0,1079091700.0,2394.0,50.0,769500.0,49.0,114700.0,20000.0,160000.0
512,20230509,MENN,50.0,0.0,50.0,48.0,50.0,9923800.0,0.0,486229900.0,1259.0,50.0,3585400.0,49.0,1163400.0,400000.0,0.0
512,20230510,MENN,50.0,0.0,50.0,48.0,50.0,10065900.0,0.0,495752000.0,1191.0,50.0,2543600.0,49.0,178700.0,200.0,100.0
512,20230511,MENN,50.0,0.0,50.0,48.0,50.0,10621900.0,0.0,516831100.0,727.0,50.0,3248400.0,49.0,682300.0,222200.0,200000.0
512,20230512,MENN,50.0,0.0,50.0,48.0,50.0,7046900.0,0.0,346512600.0,475.0,50.0,6861700.0,49.0,155600.0,0.0,0.0
512,20230515,MENN,50.0,0.0,50.0,47.0,47.0,12392900.0,-3.0,592243900.0,802.0,48.0,8800.0,46.0,1406100.0,310000.0,200000.0
512,20230516,MENN,47.0,0.0,48.0,43.0,43.0,15931000.0,-4.0,697395600.0,1194.0,43.0,1771500.0,0.0,0.0,0.0,0.0
512,20230517,MENN,43.0,0.0,44.0,39.0,43.0,24575500.0,0.0,990575100.0,1141.0,43.0,519500.0,41.0,119000.0,0.0,0.0
512,20230519,MENN,43.0,0.0,43.0,39.0,39.0,9441700.0,-4.0,374328100.0,944.0,39.0,2108500.0,0.0,0.0,1621900.0,0.0
512,20230522,MENN,39.0,0.0,42.0,36.0,42.0,85423700.0,3.0,3546308900.0,1520.0,0.0,0.0,42.0,3341900.0,21300.0,0.0
512,20230523,MENN,42.0,0.0,46.0,43.0,46.0,3586700.0,4.0,164314600.0,314.0,0.0,0.0,46.0,47199300.0,0.0,0.0
512,20230524,MENN,46.0,0.0,50.0,49.0,50.0,8012200.0,4.0,400454400.0,388.0,0.0,0.0,50.0,3845500.0,1397600.0,0.0
512,20230525,MENN,50.0,0.0,55.0,45.0,47.0,37834100.0,-3.0,1837895200.0,1940.0,47.0,970300.0,46.0,1079000.0,900000.0,900000.0
512,20230526,MENN,47.0,0.0,51.0,44.0,49.0,40277100.0,2.0,2024760700.0,1144.0,49.0,528800.0,48.0,123400.0,220100.0,0.0
512,20230529,MENN,49.0,0.0,49.0,46.0,46.0,4176200.0,-3.0,196383800.0,483.0,46.0,411400.0,45.0,2383600.0,0.0,28000.0
512,20230530,MENN,46.0,0.0,48.0,43.0,45.0,3523900.0,-1.0,160762500.0,471.0,45.0,59200.0,44.0,481200.0,0.0,0.0
512,20230531,MENN,45.0,0.0,45.0,42.0,44.0,3858400.0,-1.0,166517100.0,356.0,44.0,357600.0,43.0,950800.0,0.0,0.0
512,20230605,MENN,44.0,0.0,45.0,42.0,43.0,1968300.0,-1.0,83959900.0,282.0,43.0,400.0,42.0,1325900.0,0.0,0.0
512,20230606,MENN,43.0,0.0,45.0,42.0,43.0,958600.0,0.0,41282600.0,198.0,44.0,158500.0,43.0,41800.0,0.0,0.0
512,20230607,MENN,43.0,0.0,46.0,42.0,44.0,2986500.0,1.0,131504400.0,251.0,45.0,84400.0,44.0,369500.0,0.0,1810000.0
512,20230608,MENN,44.0,0.0,45.0,43.0,43.0,983700.0,-1.0,42714400.0,209.0,44.0,290400.0,43.0,1068400.0,0.0,68100.0
512,20230609,MENN,43.0,0.0,45.0,43.0,43.0,2081000.0,0.0,90319200.0,184.0,44.0,601600.0,43.0,27200.0,0.0,0.0
514,20230612,MENN,43.0,0.0,44.0,42.0,43.0,2907500.0,0.0,126079900.0,290.0,44.0,486700.0,43.0,201200.0,0.0,567200.0
514,20230613,MENN,43.0,0.0,47.0,43.0,47.0,7936100.0,4.0,367098600.0,389.0,0.0,0.0,47.0,3571000.0,567200.0,0.0
514,20230614,MENN,47.0,0.0,51.0,47.0,51.0,7376800.0,4.0,367042100.0,592.0,0.0,0.0,51.0,2047300.0,136700.0,136700.0
514,20230615,MENN,51.0,0.0,56.0,52.0,56.0,16890900.0,5.0,934259600.0,1115.0,0.0,0.0,56.0,1017400.0,463500.0,300200.0
514,20230616,MENN,56.0,0.0,61.0,51.0,51.0,27826300.0,-5.0,1526896200.0,1885.0,51.0,322800.0,0.0,0.0,0.0,100000.0
514,20230619,MENN,51.0,0.0,53.0,46.0,50.0,9979800.0,-1.0,492253900.0,569.0,51.0,209000.0,50.0,1005600.0,1414600.0,105000.0
514,20230620,MENN,50.0,0.0,52.0,49.0,49.0,1018900.0,-1.0,51040100.0,197.0,51.0,472800.0,49.0,217700.0,0.0,0.0
514,20230621,MENN,49.0,0.0,50.0,47.0,49.0,1308800.0,0.0,63005500.0,204.0,49.0,2598500.0,48.0,500.0,0.0,0.0
514,20230622,MENN,49.0,0.0,51.0,48.0,49.0,6516900.0,0.0,325441800.0,222.0,50.0,520900.0,49.0,5200.0,0.0,0.0
514,20230623,MENN,49.0,0.0,50.0,46.0,47.0,2480600.0,-2.0,118357800.0,318.0,47.0,128500.0,46.0,630600.0,0.0,0.0
514,20230626,MENN,47.0,0.0,51.0,43.0,46.0,6338100.0,-1.0,299995300.0,494.0,47.0,50800.0,46.0,181800.0,0.0,8200.0
514,20230627,MENN,46.0,0.0,48.0,45.0,46.0,779500.0,0.0,36656200.0,212.0,47.0,10500.0,46.0,261100.0,0.0,0.0
514,20230703,MENN,46.0,0.0,50.0,46.0,47.0,3652400.0,1.0,176447400.0,258.0,47.0,39700.0,46.0,363000.0,0.0,200000.0
514,20230704,MENN,47.0,0.0,47.0,46.0,47.0,791300.0,0.0,36574000.0,119.0,47.0,1531100.0,46.0,228900.0,0.0,0.0
514,20230705,MENN,47.0,0.0,48.0,45.0,47.0,1644000.0,0.0,75465600.0,217.0,47.0,248400.0,46.0,53100.0,1082000.0,0.0
514,20230706,MENN,47.0,0.0,51.0,46.0,48.0,5745700.0,1.0,287002200.0,285.0,49.0,398400.0,48.0,119800.0,0.0,0.0
515,20230707,MENN,48.0,0.0,52.0,48.0,50.0,5013700.0,2.0,257010900.0,290.0,50.0,904800.0,49.0,244700.0,2600.0,0.0
517,20230710,MENN,50.0,0.0,53.0,48.0,52.0,4532500.0,2.0,229626400.0,433.0,52.0,520200.0,51.0,9110600.0,0.0,0.0
517,20230711,MENN,52.0,0.0,53.0,50.0,51.0,418100.0,-1.0,21278100.0,120.0,51.0,228400.0,50.0,1177300.0,0.0,0.0
517,20230712,MENN,51.0,0.0,56.0,48.0,56.0,20817400.0,5.0,1133678900.0,815.0,0.0,0.0,56.0,6870700.0,708200.0,0.0
517,20230713,MENN,56.0,0.0,60.0,56.0,57.0,6293400.0,1.0,367347500.0,646.0,58.0,151000.0,57.0,2358900.0,0.0,500.0
517,20230714,MENN,57.0,0.0,58.0,54.0,55.0,2320500.0,-2.0,129218400.0,271.0,55.0,3300.0,54.0,72100.0,0.0,0.0
517,20230717,MENN,55.0,0.0,56.0,52.0,53.0,962800.0,-2.0,51539200.0,206.0,53.0,888300.0,52.0,205200.0,0.0,0.0
517,20230718,MENN,53.0,0.0,55.0,48.0,49.0,2006100.0,-4.0,102077000.0,261.0,50.0,100.0,49.0,3600.0,0.0,0.0
517,20230720,MENN,49.0,0.0,53.0,49.0,53.0,10580300.0,4.0,560192500.0,277.0,0.0,0.0,53.0,1122500.0,0.0,0.0
517,20230721,MENN,53.0,0.0,58.0,52.0,52.0,15251300.0,-1.0,865794900.0,670.0,58.0,100.0,52.0,100100.0,0.0,0.0
518,20230724,MENN,52.0,0.0,57.0,52.0,55.0,8053000.0,3.0,455753500.0,384.0,55.0,3500.0,54.0,156700.0,0.0,3500.0
519,20230725,MENN,55.0,0.0,60.0,54.0,55.0,5510700.0,0.0,322806000.0,371.0,60.0,305000.0,55.0,743700.0,0.0,96500.0
519,20230726,MENN,55.0,0.0,60.0,56.0,60.0,4732400.0,5.0,282733700.0,308.0,0.0,0.0,60.0,151800.0,0.0,0.0
519,20230727,MENN,60.0,0.0,66.0,61.0,66.0,5747200.0,6.0,375907500.0,710.0,0.0,0.0,66.0,522600.0,0.0,100000.0
519,20230728,MENN,66.0,0.0,70.0,61.0,62.0,7567100.0,-4.0,491641300.0,746.0,62.0,145400.0,61.0,174800.0,0.0,0.0
519,20230731,MENN,62.0,0.0,62.0,56.0,58.0,1924100.0,-4.0,111786900.0,284.0,59.0,48900.0,58.0,278700.0,0.0,60000.0
519,20230801,MENN,58.0,0.0,61.0,58.0,59.0,1142400.0,1.0,68053600.0,252.0,59.0,6100.0,58.0,67200.0,0.0,0.0
520,20230802,MENN,59.0,0.0,62.0,58.0,58.0,578300.0,-1.0,33796300.0,126.0,59.0,36900.0,58.0,398400.0,0.0,10000.0
520,20230803,MENN,58.0,0.0,59.0,54.0,54.0,2293800.0,-4.0,125937200.0,284.0,55.0,12400.0,54.0,8300.0,0.0,40000.0
520,20230804,MENN,54.0,0.0,59.0,52.0,55.0,2023100.0,1.0,116366200.0,184.0,57.0,2500.0,55.0,5294500.0,0.0,0.0
522,20230807,MENN,55.0,0.0,60.0,55.0,57.0,7035500.0,2.0,419941700.0,224.0,60.0,2000.0,57.0,1390300.0,0.0,0.0
525,20230808,MENN,57.0,0.0,62.0,57.0,62.0,2080000.0,5.0,128577600.0,186.0,0.0,0.0,62.0,298300.0,0.0,0.0
527,20230809,MENN,62.0,0.0,68.0,62.0,65.0,6899200.0,3.0,467878500.0,424.0,68.0,1000.0,65.0,580700.0,150000.0,0.0
527,20230810,MENN,65.0,0.0,71.0,65.0,71.0,4497400.0,6.0,313811400.0,536.0,0.0,0.0,71.0,171800.0,20000.0,286100.0
