No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
575,20250710,MERI,128.0,172.0,172.0,164.0,172.0,141681900.0,44.0,24340386400.0,25083.0,0.0,0.0,172.0,88740300.0,5004000.0,7080000.0
575,20250711,MERI,172.0,214.0,232.0,195.0,232.0,423519900.0,60.0,94708816600.0,60559.0,0.0,0.0,232.0,24640000.0,4002000.0,105000.0
575,20250714,MERI,232.0,248.0,290.0,218.0,290.0,372594800.0,58.0,97740741800.0,33338.0,0.0,0.0,290.0,20749300.0,600800.0,550100.0
575,20250715,MERI,290.0,322.0,362.0,314.0,362.0,76670700.0,72.0,26851145200.0,6887.0,0.0,0.0,362.0,39148000.0,800.0,35000.0
575,20250716,MERI,362.0,440.0,452.0,422.0,452.0,58239100.0,90.0,26056302600.0,6409.0,0.0,0.0,452.0,21049500.0,0.0,62300.0
575,20250717,MERI,452.0,515.0,565.0,515.0,565.0,66092500.0,113.0,36844982500.0,6362.0,0.0,0.0,565.0,46794000.0,2700.0,389800.0
575,20250718,MERI,565.0,0.0,0.0,0.0,565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
567,20250721,MERI,565.0,680.0,700.0,482.0,482.0,43259200.0,-83.0,25107019500.0,7913.0,482.0,60955400.0,0.0,0.0,423700.0,1779600.0
567,20250722,MERI,482.0,410.0,410.0,410.0,410.0,4482400.0,-72.0,1837784000.0,1859.0,410.0,92163400.0,0.0,0.0,5000.0,100000.0
567,20250723,MERI,410.0,350.0,350.0,350.0,350.0,5942900.0,-60.0,2080015000.0,1743.0,350.0,79906800.0,0.0,0.0,0.0,100000.0
567,20250724,MERI,350.0,298.0,420.0,298.0,388.0,768392900.0,38.0,289579795200.0,78640.0,390.0,972400.0,388.0,13896300.0,12453400.0,11899900.0
567,20250725,MERI,388.0,390.0,404.0,350.0,352.0,112065400.0,-36.0,41698465600.0,19837.0,354.0,500.0,352.0,165300.0,5066100.0,3986000.0
567,20250728,MERI,352.0,352.0,354.0,306.0,314.0,72878500.0,-38.0,23680485800.0,14229.0,314.0,744300.0,312.0,185500.0,3924500.0,4099100.0
567,20250729,MERI,314.0,314.0,328.0,306.0,316.0,36065700.0,2.0,11504942600.0,6757.0,316.0,146600.0,314.0,987900.0,3445700.0,3172400.0
567,20250730,MERI,316.0,316.0,320.0,298.0,298.0,29729800.0,-18.0,9070885000.0,6739.0,298.0,226500.0,296.0,554800.0,683300.0,1108500.0
567,20250731,MERI,298.0,298.0,310.0,272.0,292.0,49773400.0,-6.0,14419496000.0,8242.0,294.0,216400.0,290.0,7300.0,3659200.0,3337300.0
567,20250801,MERI,292.0,292.0,340.0,286.0,302.0,113714000.0,10.0,36178270000.0,12152.0,304.0,131000.0,302.0,555500.0,8782400.0,10015500.0
567,20250804,MERI,302.0,306.0,330.0,304.0,314.0,65592200.0,12.0,20814522800.0,8497.0,316.0,176800.0,314.0,74500.0,5100200.0,5135500.0
567,20250805,MERI,314.0,316.0,320.0,294.0,304.0,30143700.0,-10.0,9213583200.0,4611.0,306.0,248800.0,304.0,1209600.0,4721600.0,4111000.0
567,20250806,MERI,304.0,310.0,310.0,296.0,300.0,14666200.0,-4.0,4393302400.0,2861.0,302.0,396600.0,300.0,99900.0,1731400.0,1483600.0
567,20250807,MERI,300.0,306.0,306.0,286.0,288.0,18215300.0,-12.0,5316330200.0,3202.0,290.0,311900.0,288.0,22000.0,1283400.0,856300.0
567,20250808,MERI,288.0,286.0,286.0,274.0,278.0,13432700.0,-10.0,3738491400.0,2629.0,278.0,146000.0,276.0,148300.0,375700.0,1475700.0
