No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
491,20221230,MERK,4760.0,0.0,4790.0,4700.0,4750.0,85800.0,-10.0,406258000.0,54.0,4750.0,700.0,4700.0,2400.0,0.0,200.0
491,20230102,MERK,4750.0,0.0,4810.0,4760.0,4790.0,100100.0,40.0,479540000.0,29.0,4790.0,3800.0,4780.0,100.0,0.0,0.0
491,20230103,MERK,4790.0,0.0,4820.0,4770.0,4800.0,77900.0,10.0,373404000.0,37.0,4810.0,2400.0,4800.0,900.0,0.0,600.0
491,20230104,MERK,4800.0,0.0,4810.0,4760.0,4810.0,63600.0,10.0,304522000.0,37.0,4810.0,200.0,4750.0,700.0,400.0,0.0
491,20230105,MERK,4810.0,0.0,4780.0,4700.0,4700.0,92300.0,-110.0,437465000.0,65.0,4730.0,200.0,4700.0,1500.0,200.0,0.0
494,20230106,MERK,4700.0,0.0,4770.0,4690.0,4700.0,13900.0,0.0,65326000.0,26.0,4770.0,200.0,4700.0,4000.0,0.0,200.0
495,20230109,MERK,4700.0,0.0,4780.0,4700.0,4760.0,66900.0,60.0,317433000.0,36.0,4760.0,1000.0,4720.0,100.0,0.0,400.0
495,20230110,MERK,4760.0,0.0,4780.0,4720.0,4780.0,58500.0,20.0,277905000.0,23.0,4780.0,5000.0,4720.0,100.0,0.0,300.0
496,20230111,MERK,4780.0,0.0,4770.0,4710.0,4770.0,55900.0,-10.0,264920000.0,20.0,4770.0,800.0,4720.0,100.0,400.0,0.0
496,20230112,MERK,4770.0,0.0,4800.0,4710.0,4770.0,170000.0,0.0,812814000.0,31.0,4800.0,45800.0,4770.0,16000.0,0.0,0.0
496,20230113,MERK,4770.0,0.0,4790.0,4710.0,4790.0,69200.0,20.0,328208000.0,26.0,4800.0,36300.0,4790.0,2300.0,0.0,0.0
496,20230116,MERK,4790.0,0.0,4850.0,4740.0,4850.0,94800.0,60.0,455724000.0,52.0,4850.0,69100.0,4840.0,3000.0,100.0,0.0
496,20230117,MERK,4850.0,0.0,4850.0,4800.0,4810.0,33700.0,-40.0,161796000.0,22.0,4840.0,200.0,4810.0,19200.0,300.0,0.0
496,20230118,MERK,4810.0,0.0,4810.0,4810.0,4810.0,1700.0,0.0,8177000.0,5.0,4840.0,800.0,4810.0,19800.0,0.0,0.0
496,20230119,MERK,4810.0,0.0,4850.0,4750.0,4840.0,90800.0,30.0,437142000.0,44.0,4840.0,8900.0,4830.0,5100.0,0.0,0.0
496,20230120,MERK,4840.0,0.0,4850.0,4830.0,4840.0,30500.0,0.0,147818000.0,26.0,4840.0,1000.0,4830.0,11100.0,0.0,0.0
