No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
494,20221230,MFMI,775.0,0.0,795.0,775.0,780.0,800.0,5.0,627500.0,5.0,800.0,2600.0,780.0,200.0,0.0,0.0
494,20230102,MFMI,780.0,0.0,785.0,780.0,780.0,1300.0,0.0,1014500.0,2.0,780.0,6400.0,770.0,1000.0,0.0,0.0
494,20230103,MFMI,780.0,0.0,795.0,775.0,785.0,57400.0,5.0,45058000.0,28.0,795.0,4000.0,775.0,200.0,0.0,0.0
494,20230104,MFMI,785.0,0.0,775.0,775.0,775.0,100.0,-10.0,77500.0,1.0,780.0,400.0,770.0,1000.0,0.0,0.0
494,20230105,MFMI,775.0,0.0,825.0,740.0,795.0,180800.0,20.0,139614000.0,92.0,795.0,3000.0,755.0,1000.0,0.0,0.0
497,20230106,MFMI,795.0,0.0,805.0,770.0,795.0,37600.0,0.0,29490500.0,23.0,795.0,300.0,770.0,100.0,0.0,0.0
498,20230109,MFMI,795.0,0.0,785.0,755.0,760.0,62200.0,-35.0,47877000.0,30.0,760.0,14100.0,755.0,600.0,0.0,0.0
498,20230110,MFMI,760.0,0.0,820.0,760.0,765.0,25400.0,5.0,20128000.0,26.0,785.0,200.0,765.0,100.0,0.0,0.0
499,20230111,MFMI,765.0,0.0,800.0,745.0,760.0,47900.0,-5.0,37077000.0,38.0,765.0,1000.0,755.0,500.0,0.0,0.0
499,20230112,MFMI,760.0,0.0,0.0,0.0,760.0,0.0,0.0,0.0,0.0,760.0,12900.0,750.0,100.0,0.0,0.0
499,20230113,MFMI,760.0,0.0,800.0,750.0,800.0,29300.0,40.0,22619000.0,17.0,800.0,6200.0,770.0,3000.0,0.0,0.0
499,20230116,MFMI,800.0,0.0,795.0,770.0,770.0,40600.0,-30.0,31672000.0,18.0,770.0,10300.0,765.0,2000.0,0.0,0.0
499,20230117,MFMI,770.0,0.0,770.0,760.0,770.0,10200.0,0.0,7754000.0,2.0,770.0,10100.0,760.0,600.0,0.0,0.0
499,20230118,MFMI,770.0,0.0,770.0,760.0,770.0,14300.0,0.0,10884000.0,8.0,775.0,10000.0,765.0,100.0,0.0,0.0
499,20230119,MFMI,770.0,0.0,770.0,760.0,770.0,10900.0,0.0,8286000.0,5.0,770.0,20700.0,760.0,1100.0,0.0,0.0
499,20230120,MFMI,770.0,0.0,0.0,0.0,770.0,0.0,0.0,0.0,0.0,765.0,20300.0,760.0,300.0,0.0,0.0
499,20230124,MFMI,770.0,0.0,765.0,745.0,765.0,18300.0,-5.0,13816500.0,11.0,770.0,10200.0,750.0,500.0,0.0,0.0
499,20230125,MFMI,765.0,0.0,765.0,745.0,745.0,5300.0,-20.0,4019500.0,16.0,765.0,3600.0,745.0,1700.0,0.0,0.0
499,20230126,MFMI,745.0,0.0,780.0,755.0,765.0,1700.0,20.0,1304500.0,6.0,765.0,2900.0,750.0,400.0,0.0,0.0
500,20230127,MFMI,765.0,0.0,815.0,760.0,765.0,8400.0,0.0,6487000.0,11.0,765.0,2700.0,760.0,200.0,0.0,0.0
500,20230130,MFMI,765.0,0.0,765.0,765.0,765.0,400.0,0.0,306000.0,2.0,765.0,100.0,745.0,100.0,0.0,0.0
500,20230131,MFMI,765.0,0.0,765.0,715.0,750.0,22600.0,-15.0,16778000.0,21.0,760.0,500.0,745.0,500.0,0.0,0.0
501,20230201,MFMI,750.0,0.0,780.0,730.0,745.0,4500.0,-5.0,3364500.0,12.0,750.0,200.0,745.0,800.0,0.0,0.0
501,20230202,MFMI,745.0,0.0,0.0,0.0,745.0,0.0,0.0,0.0,0.0,760.0,400.0,740.0,300.0,0.0,0.0
501,20230203,MFMI,745.0,0.0,765.0,715.0,765.0,4500.0,20.0,3392500.0,17.0,775.0,1000.0,765.0,4100.0,0.0,0.0
501,20230206,MFMI,765.0,0.0,770.0,765.0,770.0,7400.0,5.0,5696500.0,8.0,765.0,500.0,750.0,1100.0,0.0,0.0
502,20230207,MFMI,770.0,0.0,770.0,745.0,765.0,13800.0,-5.0,10443500.0,15.0,765.0,6300.0,750.0,200.0,0.0,0.0
