No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
495,20221230,MGLV,62.0,0.0,65.0,61.0,61.0,930900.0,-1.0,58313300.0,308.0,63.0,443500.0,61.0,30500.0,0.0,0.0
495,20230102,MGLV,61.0,0.0,62.0,58.0,60.0,418700.0,-1.0,25037900.0,154.0,60.0,25000.0,59.0,32900.0,0.0,0.0
495,20230103,MGLV,60.0,0.0,65.0,59.0,62.0,300300.0,2.0,18256400.0,144.0,62.0,62300.0,61.0,5500.0,0.0,0.0
495,20230104,MGLV,62.0,0.0,62.0,59.0,59.0,405000.0,-3.0,24186100.0,148.0,61.0,101900.0,59.0,61100.0,0.0,0.0
495,20230105,MGLV,59.0,0.0,64.0,60.0,62.0,1554200.0,3.0,97697300.0,318.0,63.0,343600.0,62.0,10100.0,0.0,0.0
498,20230106,MGLV,62.0,0.0,62.0,56.0,58.0,512000.0,-4.0,29435000.0,140.0,59.0,55300.0,58.0,15400.0,0.0,0.0
499,20230109,MGLV,58.0,0.0,59.0,57.0,58.0,370400.0,0.0,21494700.0,60.0,58.0,15700.0,57.0,100.0,0.0,0.0
499,20230110,MGLV,58.0,0.0,59.0,56.0,59.0,244700.0,1.0,13920500.0,47.0,59.0,104100.0,57.0,100.0,0.0,0.0
500,20230111,MGLV,59.0,0.0,59.0,57.0,58.0,50900.0,-1.0,2948800.0,39.0,59.0,121000.0,58.0,1500.0,0.0,0.0
500,20230112,MGLV,58.0,0.0,59.0,58.0,59.0,110700.0,1.0,6433300.0,23.0,59.0,120600.0,58.0,2300.0,0.0,0.0
500,20230113,MGLV,59.0,0.0,59.0,55.0,59.0,159100.0,0.0,9086200.0,48.0,59.0,60000.0,58.0,5400.0,0.0,0.0
500,20230116,MGLV,59.0,0.0,59.0,56.0,58.0,130800.0,-1.0,7488700.0,73.0,58.0,12400.0,56.0,96600.0,0.0,0.0
500,20230117,MGLV,58.0,0.0,59.0,57.0,57.0,15600.0,-1.0,897700.0,28.0,59.0,128200.0,57.0,140400.0,0.0,0.0
500,20230118,MGLV,57.0,0.0,61.0,57.0,58.0,109100.0,1.0,6390900.0,65.0,58.0,34900.0,57.0,58600.0,0.0,0.0
500,20230119,MGLV,58.0,0.0,58.0,56.0,58.0,114400.0,0.0,6514500.0,45.0,58.0,27900.0,57.0,500.0,0.0,0.0
500,20230120,MGLV,58.0,0.0,59.0,57.0,58.0,176200.0,0.0,10161500.0,46.0,58.0,3500.0,57.0,25700.0,0.0,0.0
500,20230124,MGLV,58.0,0.0,63.0,59.0,63.0,1815400.0,5.0,111871900.0,363.0,0.0,0.0,63.0,100.0,0.0,0.0
500,20230125,MGLV,63.0,0.0,69.0,63.0,69.0,1025400.0,6.0,69734800.0,191.0,0.0,0.0,69.0,1030300.0,0.0,0.0
500,20230126,MGLV,69.0,0.0,74.0,67.0,74.0,2966900.0,5.0,210563400.0,553.0,74.0,240800.0,73.0,7000.0,0.0,0.0
501,20230127,MGLV,74.0,0.0,74.0,67.0,67.0,1597700.0,-7.0,109483500.0,451.0,67.0,3000.0,0.0,0.0,0.0,0.0
501,20230130,MGLV,67.0,0.0,68.0,61.0,66.0,353800.0,-1.0,22795300.0,204.0,66.0,28800.0,65.0,100.0,0.0,0.0
501,20230131,MGLV,66.0,0.0,72.0,66.0,71.0,1231600.0,5.0,86752300.0,316.0,71.0,371000.0,70.0,5700.0,0.0,0.0
502,20230201,MGLV,71.0,0.0,72.0,64.0,64.0,10402300.0,-7.0,665898200.0,1790.0,64.0,1091600.0,0.0,0.0,0.0,0.0
502,20230202,MGLV,64.0,0.0,58.0,58.0,58.0,9994700.0,-6.0,579692600.0,4364.0,58.0,1373500.0,0.0,0.0,0.0,0.0
502,20230203,MGLV,58.0,0.0,53.0,53.0,53.0,14261100.0,-5.0,755838300.0,5893.0,53.0,2329200.0,0.0,0.0,0.0,0.0
502,20230206,MGLV,53.0,0.0,49.0,48.0,48.0,24603600.0,-5.0,1181081900.0,3392.0,48.0,632900.0,0.0,0.0,0.0,0.0
503,20230207,MGLV,48.0,0.0,52.0,46.0,51.0,3392800.0,3.0,167023000.0,323.0,51.0,499000.0,50.0,4200.0,0.0,227600.0
505,20230208,MGLV,51.0,0.0,53.0,46.0,47.0,6025400.0,-4.0,287609200.0,455.0,47.0,78600.0,46.0,335500.0,0.0,507600.0
505,20230209,MGLV,47.0,0.0,48.0,44.0,46.0,2550000.0,-1.0,117056300.0,240.0,47.0,296200.0,46.0,200.0,0.0,0.0
505,20230210,MGLV,46.0,0.0,47.0,45.0,46.0,1917000.0,0.0,87310300.0,149.0,47.0,177500.0,45.0,122900.0,0.0,0.0
505,20230213,MGLV,46.0,0.0,48.0,46.0,48.0,1390600.0,2.0,65947700.0,135.0,48.0,93600.0,47.0,4000.0,260100.0,0.0
505,20230214,MGLV,48.0,0.0,48.0,46.0,47.0,1598500.0,-1.0,75206700.0,112.0,48.0,198700.0,47.0,1300.0,96400.0,0.0
505,20230215,MGLV,47.0,0.0,50.0,47.0,47.0,1101000.0,0.0,53158800.0,102.0,48.0,48000.0,47.0,121200.0,198700.0,0.0
506,20230216,MGLV,47.0,0.0,49.0,47.0,48.0,767600.0,1.0,36627100.0,44.0,49.0,739700.0,47.0,210600.0,180000.0,0.0
506,20230217,MGLV,48.0,0.0,48.0,46.0,46.0,506500.0,-2.0,23840100.0,77.0,47.0,93600.0,46.0,296500.0,0.0,0.0
506,20230220,MGLV,46.0,0.0,48.0,46.0,47.0,403500.0,1.0,18953700.0,62.0,47.0,18000.0,46.0,236000.0,0.0,0.0
506,20230221,MGLV,47.0,0.0,48.0,45.0,47.0,625800.0,0.0,28914200.0,86.0,47.0,1740900.0,46.0,137400.0,0.0,0.0
506,20230222,MGLV,47.0,0.0,46.0,44.0,46.0,3104200.0,-1.0,140321500.0,119.0,46.0,412000.0,45.0,3300.0,0.0,0.0
506,20230223,MGLV,46.0,0.0,47.0,45.0,46.0,604900.0,0.0,27581200.0,47.0,47.0,1771100.0,46.0,61800.0,0.0,100.0
506,20230224,MGLV,46.0,0.0,47.0,46.0,46.0,370000.0,0.0,17032200.0,21.0,47.0,2119600.0,46.0,193100.0,0.0,0.0
507,20230227,MGLV,46.0,0.0,47.0,45.0,46.0,268700.0,0.0,12408700.0,49.0,47.0,2253800.0,46.0,12100.0,0.0,0.0
507,20230228,MGLV,46.0,0.0,47.0,46.0,46.0,306800.0,0.0,14179200.0,44.0,46.0,446200.0,45.0,244400.0,0.0,0.0
508,20230301,MGLV,46.0,0.0,46.0,44.0,46.0,514100.0,0.0,23043700.0,58.0,46.0,203500.0,45.0,205200.0,0.0,18000.0
508,20230302,MGLV,46.0,0.0,46.0,45.0,46.0,607400.0,0.0,27930300.0,39.0,46.0,26700.0,45.0,124200.0,0.0,0.0
509,20230303,MGLV,46.0,0.0,47.0,45.0,46.0,416800.0,0.0,19156200.0,26.0,46.0,39300.0,45.0,60000.0,0.0,0.0
509,20230306,MGLV,46.0,0.0,46.0,45.0,45.0,410600.0,-1.0,18821300.0,65.0,46.0,17600.0,45.0,71700.0,0.0,0.0
