No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
497,20221230,MGRO,830.0,0.0,845.0,820.0,845.0,7166400.0,15.0,5976740500.0,495.0,850.0,393300.0,845.0,20400.0,171400.0,12500.0
497,20230102,MGRO,845.0,0.0,850.0,825.0,840.0,6256100.0,-5.0,5220402000.0,488.0,845.0,147300.0,830.0,98200.0,44600.0,110500.0
497,20230103,MGRO,840.0,0.0,855.0,825.0,855.0,16156100.0,15.0,13515504500.0,1580.0,855.0,131300.0,850.0,35400.0,243700.0,2177700.0
497,20230104,MGRO,855.0,0.0,855.0,820.0,845.0,6445600.0,-10.0,5394459500.0,694.0,845.0,12100.0,840.0,100.0,492800.0,12500.0
497,20230105,MGRO,845.0,0.0,850.0,800.0,800.0,5845500.0,-45.0,4789142500.0,545.0,830.0,197000.0,800.0,6200.0,470800.0,225500.0
500,20230106,MGRO,800.0,0.0,800.0,785.0,790.0,3949400.0,-10.0,3128416000.0,214.0,790.0,152500.0,780.0,129400.0,300700.0,23800.0
501,20230109,MGRO,790.0,0.0,800.0,770.0,800.0,6861700.0,10.0,5377956000.0,798.0,800.0,64500.0,795.0,14300.0,369300.0,69600.0
501,20230110,MGRO,800.0,0.0,800.0,775.0,800.0,3526400.0,0.0,2774264500.0,595.0,800.0,75900.0,795.0,24300.0,388300.0,0.0
502,20230111,MGRO,800.0,0.0,805.0,785.0,790.0,4373100.0,-10.0,3469304000.0,643.0,795.0,23200.0,785.0,63800.0,266000.0,2000.0
502,20230112,MGRO,790.0,0.0,795.0,765.0,775.0,5814800.0,-15.0,4532105000.0,555.0,775.0,4200.0,770.0,31000.0,112500.0,132600.0
502,20230113,MGRO,775.0,0.0,775.0,760.0,770.0,4873900.0,-5.0,3752352000.0,685.0,775.0,115400.0,770.0,4200.0,172800.0,103600.0
502,20230116,MGRO,770.0,0.0,790.0,770.0,790.0,5269100.0,20.0,4103061500.0,418.0,790.0,6400.0,780.0,10000.0,72600.0,2000.0
