No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
505,20221230,MKPI,36750.0,0.0,39200.0,34200.0,39000.0,25900.0,2250.0,926805000.0,149.0,38975.0,100.0,38350.0,100.0,800.0,800.0
505,20230102,MKPI,39000.0,0.0,41850.0,37650.0,39300.0,5700.0,300.0,224465000.0,50.0,39300.0,500.0,37100.0,100.0,400.0,400.0
505,20230103,MKPI,39300.0,0.0,39475.0,39000.0,39400.0,3200.0,100.0,125730000.0,24.0,39400.0,800.0,39300.0,100.0,200.0,200.0
505,20230104,MKPI,39400.0,0.0,39700.0,39100.0,39700.0,3600.0,300.0,142340000.0,23.0,39600.0,300.0,39300.0,100.0,0.0,0.0
505,20230105,MKPI,39700.0,0.0,39800.0,36925.0,36925.0,13800.0,-2775.0,518160000.0,24.0,39400.0,400.0,36925.0,500.0,0.0,0.0
508,20230106,MKPI,36925.0,0.0,38000.0,36925.0,37850.0,2100.0,925.0,78775000.0,16.0,39000.0,600.0,37225.0,100.0,0.0,200.0
509,20230109,MKPI,37850.0,0.0,37875.0,37850.0,37875.0,1400.0,25.0,53022500.0,6.0,38000.0,600.0,0.0,0.0,100.0,200.0
509,20230110,MKPI,37875.0,0.0,38200.0,37875.0,38200.0,1900.0,325.0,72355000.0,10.0,38400.0,100.0,38200.0,5900.0,500.0,800.0
510,20230111,MKPI,38200.0,0.0,38500.0,38200.0,38225.0,6200.0,25.0,238267500.0,12.0,38225.0,200.0,36500.0,100.0,0.0,200.0
510,20230112,MKPI,38225.0,0.0,38100.0,37750.0,38100.0,700.0,-125.0,26575000.0,4.0,38225.0,500.0,36925.0,100.0,0.0,0.0
510,20230113,MKPI,38100.0,0.0,0.0,0.0,38100.0,0.0,0.0,0.0,0.0,38100.0,600.0,0.0,0.0,0.0,0.0
510,20230116,MKPI,38100.0,0.0,38100.0,38000.0,38000.0,2800.0,-100.0,106410000.0,4.0,38000.0,2500.0,0.0,0.0,0.0,2700.0
510,20230117,MKPI,38000.0,0.0,37900.0,37900.0,37900.0,1800.0,-100.0,68220000.0,3.0,37875.0,4500.0,0.0,0.0,0.0,1500.0
510,20230118,MKPI,37900.0,0.0,37700.0,37350.0,37350.0,4700.0,-550.0,176805000.0,5.0,37350.0,2000.0,0.0,0.0,0.0,0.0
510,20230119,MKPI,37350.0,0.0,37350.0,37075.0,37075.0,1200.0,-275.0,44762500.0,6.0,37075.0,18100.0,36500.0,1500.0,0.0,0.0
510,20230120,MKPI,37075.0,0.0,37075.0,37000.0,37075.0,600.0,0.0,22230000.0,3.0,37050.0,100.0,36500.0,200.0,0.0,600.0
510,20230124,MKPI,37075.0,0.0,37075.0,37000.0,37000.0,3900.0,-75.0,144330000.0,4.0,37000.0,18800.0,0.0,0.0,0.0,0.0
510,20230125,MKPI,37000.0,0.0,36900.0,36875.0,36900.0,3500.0,-100.0,129147500.0,3.0,36875.0,200.0,0.0,0.0,100.0,0.0
510,20230126,MKPI,36900.0,0.0,36700.0,36600.0,36600.0,6200.0,-300.0,227117500.0,5.0,36600.0,18700.0,0.0,0.0,100.0,0.0
511,20230127,MKPI,36600.0,0.0,36350.0,36200.0,36350.0,4000.0,-250.0,144950000.0,3.0,36300.0,300.0,0.0,0.0,0.0,0.0
511,20230130,MKPI,36350.0,0.0,36275.0,36200.0,36200.0,3500.0,-150.0,126707500.0,2.0,36175.0,100.0,0.0,0.0,0.0,100.0
511,20230131,MKPI,36200.0,0.0,36000.0,35900.0,35900.0,1800.0,-300.0,64770000.0,2.0,35500.0,900.0,0.0,0.0,1500.0,0.0
512,20230201,MKPI,35900.0,0.0,35500.0,35150.0,35150.0,15400.0,-750.0,544145000.0,6.0,34900.0,8600.0,0.0,0.0,0.0,14300.0
512,20230202,MKPI,35150.0,0.0,34750.0,34500.0,34600.0,3600.0,-550.0,124260000.0,4.0,34500.0,400.0,0.0,0.0,3000.0,0.0
512,20230203,MKPI,34600.0,0.0,34350.0,34000.0,34000.0,4300.0,-600.0,147355000.0,4.0,33650.0,1200.0,0.0,0.0,0.0,0.0
