No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
516,20221230,MPMX,1125.0,0.0,1135.0,1120.0,1120.0,11865200.0,-5.0,13382926500.0,2206.0,1125.0,19200.0,1120.0,369600.0,342100.0,95900.0
516,20230102,MPMX,1120.0,0.0,1150.0,1115.0,1145.0,14423800.0,25.0,16285280000.0,2439.0,1145.0,12500.0,1140.0,21300.0,239000.0,143700.0
516,20230103,MPMX,1145.0,0.0,1160.0,1135.0,1150.0,16079100.0,5.0,18502730500.0,2833.0,1150.0,5500.0,1140.0,23500.0,245900.0,2263500.0
516,20230104,MPMX,1150.0,0.0,1165.0,1150.0,1150.0,17059400.0,0.0,19690887500.0,2810.0,1150.0,30500.0,1145.0,310600.0,457800.0,3440300.0
516,20230105,MPMX,1150.0,0.0,1155.0,1125.0,1130.0,16369100.0,-20.0,18630226000.0,2641.0,1130.0,207300.0,1125.0,272100.0,1896600.0,2094900.0
519,20230106,MPMX,1130.0,0.0,1170.0,1120.0,1170.0,16943400.0,40.0,19396805500.0,2759.0,1170.0,413400.0,1165.0,4300.0,369000.0,3347100.0
520,20230109,MPMX,1170.0,0.0,1180.0,1150.0,1150.0,18315400.0,-20.0,21357135500.0,3241.0,1155.0,108100.0,1150.0,12600.0,1315200.0,317000.0
520,20230110,MPMX,1150.0,0.0,1170.0,1135.0,1155.0,11504400.0,5.0,13203195500.0,2054.0,1160.0,147000.0,1155.0,22200.0,325400.0,81800.0
521,20230111,MPMX,1155.0,0.0,1165.0,1140.0,1165.0,19149700.0,10.0,21985093000.0,2798.0,1165.0,816600.0,1160.0,5200.0,583500.0,2281000.0
521,20230112,MPMX,1165.0,0.0,1175.0,1155.0,1170.0,17785700.0,5.0,20677351500.0,2128.0,1170.0,506300.0,1165.0,1000.0,764700.0,1212200.0
521,20230113,MPMX,1170.0,0.0,1175.0,1155.0,1170.0,18680900.0,0.0,21718938500.0,2072.0,1170.0,624500.0,1160.0,4200.0,2224200.0,2285300.0
521,20230116,MPMX,1170.0,0.0,1175.0,1140.0,1145.0,13340500.0,-25.0,15387830500.0,2088.0,1145.0,255400.0,1140.0,920500.0,1216300.0,26900.0
521,20230117,MPMX,1145.0,0.0,1165.0,1140.0,1150.0,19271100.0,5.0,22168951000.0,2321.0,1155.0,3900.0,1150.0,45900.0,348700.0,1010700.0
