No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
519,20221230,MPRO,1510.0,0.0,0.0,0.0,1510.0,0.0,0.0,0.0,0.0,1510.0,200.0,0.0,0.0,0.0,0.0
519,20230102,MPRO,1510.0,0.0,1515.0,1500.0,1500.0,800.0,-10.0,1207000.0,8.0,1495.0,200.0,0.0,0.0,100.0,0.0
519,20230103,MPRO,1500.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,1500.0,900.0,0.0,0.0,0.0,0.0
519,20230104,MPRO,1500.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,1500.0,6400.0,0.0,0.0,0.0,0.0
519,20230105,MPRO,1500.0,0.0,1500.0,1485.0,1500.0,5900.0,0.0,8794500.0,11.0,1500.0,1300.0,0.0,0.0,100.0,0.0
522,20230106,MPRO,1500.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,1500.0,6300.0,0.0,0.0,0.0,0.0
523,20230109,MPRO,1500.0,0.0,1580.0,1500.0,1580.0,1200.0,80.0,1844500.0,8.0,1580.0,100.0,1505.0,100.0,0.0,100.0
523,20230110,MPRO,1580.0,0.0,1600.0,1580.0,1600.0,1700.0,20.0,2690000.0,12.0,1600.0,2500.0,1580.0,1700.0,100.0,0.0
524,20230111,MPRO,1600.0,0.0,1655.0,1650.0,1655.0,1000.0,55.0,1654000.0,3.0,1650.0,3000.0,0.0,0.0,0.0,0.0
524,20230112,MPRO,1655.0,0.0,1710.0,1655.0,1710.0,6900.0,55.0,11563000.0,33.0,1710.0,100.0,1560.0,500.0,0.0,0.0
524,20230113,MPRO,1710.0,0.0,1710.0,1690.0,1710.0,1200.0,0.0,2043000.0,9.0,1700.0,300.0,1600.0,200.0,100.0,0.0
524,20230116,MPRO,1710.0,0.0,1755.0,1710.0,1755.0,5400.0,45.0,9290500.0,14.0,1755.0,1300.0,0.0,0.0,0.0,0.0
