No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
522,20221230,MSIN,4800.0,0.0,4820.0,4760.0,4820.0,1061000.0,20.0,5103240000.0,73.0,4820.0,1191600.0,4810.0,1200.0,1016100.0,1055200.0
522,20230102,MSIN,4820.0,0.0,4830.0,4770.0,4820.0,1021200.0,0.0,4911772000.0,60.0,4820.0,56100.0,4810.0,2500.0,1000200.0,1019800.0
522,20230103,MSIN,4820.0,0.0,4830.0,4770.0,4820.0,1058800.0,0.0,5092584000.0,76.0,4820.0,41900.0,4810.0,1500.0,1008200.0,1054500.0
522,20230104,MSIN,4820.0,0.0,4830.0,4780.0,4800.0,1081700.0,-20.0,5201464000.0,55.0,4800.0,38700.0,4770.0,4000.0,1060600.0,1080700.0
522,20230105,MSIN,4800.0,0.0,4800.0,4730.0,4770.0,1103300.0,-30.0,5282373000.0,201.0,4770.0,9000.0,4740.0,500.0,1052200.0,1101200.0
525,20230106,MSIN,4770.0,0.0,4810.0,4700.0,4810.0,1288100.0,40.0,6130184000.0,437.0,4810.0,16500.0,4790.0,300.0,1119500.0,1287000.0
526,20230109,MSIN,4810.0,0.0,4830.0,4760.0,4800.0,1119000.0,-10.0,5390925000.0,220.0,4800.0,16300.0,4790.0,300.0,1069800.0,1111500.0
526,20230110,MSIN,4800.0,0.0,4800.0,4780.0,4800.0,1138200.0,0.0,5453022000.0,91.0,4800.0,90200.0,4790.0,1200.0,1116400.0,1137500.0
527,20230111,MSIN,4800.0,0.0,4820.0,4660.0,4800.0,1517900.0,0.0,7284952000.0,372.0,4800.0,5700.0,4690.0,200.0,1208700.0,1511500.0
527,20230112,MSIN,4800.0,0.0,4810.0,4760.0,4780.0,359800.0,-20.0,1723228000.0,88.0,4790.0,10000.0,4770.0,500.0,41500.0,357300.0
527,20230113,MSIN,4780.0,0.0,4790.0,4700.0,4780.0,1401600.0,0.0,6690592000.0,118.0,4780.0,21300.0,4770.0,700.0,1073700.0,1374100.0
527,20230116,MSIN,4780.0,0.0,4790.0,4710.0,4780.0,1275300.0,0.0,6101114000.0,136.0,4780.0,26900.0,4770.0,700.0,999500.0,1269500.0
527,20230117,MSIN,4780.0,0.0,4800.0,4760.0,4790.0,1069100.0,10.0,5120888000.0,88.0,4790.0,14100.0,4780.0,400.0,1057000.0,1067600.0
527,20230118,MSIN,4790.0,0.0,4800.0,4700.0,4780.0,1389100.0,-10.0,6658804000.0,167.0,4780.0,14200.0,4770.0,100.0,1084900.0,1371400.0
527,20230119,MSIN,4780.0,0.0,4780.0,4710.0,4750.0,1371600.0,-30.0,6548946000.0,68.0,4750.0,44900.0,4740.0,200.0,1073000.0,1361100.0
527,20230120,MSIN,4750.0,0.0,4780.0,4730.0,4750.0,1079400.0,0.0,5158905000.0,50.0,4750.0,35600.0,4740.0,1300.0,1052300.0,1076500.0
527,20230124,MSIN,4750.0,0.0,4790.0,4720.0,4750.0,1068100.0,0.0,5115453000.0,59.0,4750.0,18200.0,4740.0,500.0,1052100.0,1057500.0
527,20230125,MSIN,4750.0,0.0,4780.0,4680.0,4740.0,1425000.0,-10.0,6785368000.0,162.0,4740.0,10200.0,4720.0,1300.0,1112900.0,1400500.0
527,20230126,MSIN,4740.0,0.0,4770.0,4690.0,4720.0,1067000.0,-20.0,5088777000.0,62.0,4720.0,19300.0,4710.0,200.0,1046500.0,1059600.0
528,20230127,MSIN,4720.0,0.0,4740.0,4660.0,4720.0,1086900.0,0.0,5150703000.0,81.0,4720.0,17000.0,4710.0,200.0,1053500.0,1076000.0
528,20230130,MSIN,4720.0,0.0,4740.0,4640.0,4700.0,1185400.0,-20.0,5609481000.0,305.0,4700.0,100.0,4640.0,2200.0,1099300.0,1127600.0
528,20230131,MSIN,4700.0,0.0,4710.0,4490.0,4530.0,1343600.0,-170.0,6277862000.0,601.0,4530.0,100.0,4520.0,300.0,1303500.0,1239300.0
529,20230201,MSIN,4530.0,0.0,4620.0,4350.0,4430.0,204500.0,-100.0,904857000.0,457.0,4430.0,50600.0,4380.0,4900.0,12200.0,131800.0
529,20230202,MSIN,4430.0,0.0,4700.0,4420.0,4690.0,372700.0,260.0,1704890000.0,954.0,4690.0,3000.0,4680.0,4400.0,114000.0,324800.0
529,20230203,MSIN,4690.0,0.0,4750.0,4590.0,4690.0,300900.0,0.0,1417818000.0,351.0,4690.0,3000.0,4680.0,1200.0,241800.0,276900.0
529,20230206,MSIN,4690.0,0.0,4760.0,4610.0,4670.0,374400.0,-20.0,1761073000.0,336.0,4670.0,2300.0,4660.0,2200.0,325100.0,370400.0
530,20230207,MSIN,4670.0,0.0,4700.0,4630.0,4670.0,374300.0,0.0,1749096000.0,126.0,4670.0,9300.0,4660.0,100.0,254400.0,313600.0
532,20230208,MSIN,4670.0,0.0,4670.0,4600.0,4670.0,402300.0,0.0,1873590000.0,186.0,4660.0,10000.0,4640.0,1200.0,314200.0,388600.0
