No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
525,20221230,MTEL,760.0,0.0,800.0,760.0,800.0,55970400.0,40.0,44354114500.0,3298.0,800.0,9097300.0,770.0,700.0,19825000.0,3278800.0
525,20230102,MTEL,800.0,0.0,800.0,750.0,755.0,21477600.0,-45.0,16379846000.0,2935.0,755.0,244300.0,750.0,5314400.0,6336300.0,8831000.0
525,20230103,MTEL,755.0,0.0,760.0,745.0,745.0,12661300.0,-10.0,9496734000.0,1687.0,750.0,100000.0,745.0,30800.0,10061000.0,8804000.0
525,20230104,MTEL,745.0,0.0,745.0,720.0,720.0,30696500.0,-25.0,22499980500.0,2911.0,725.0,53700.0,720.0,1075200.0,22933000.0,12150800.0
525,20230105,MTEL,720.0,0.0,725.0,700.0,720.0,23334900.0,0.0,16607625000.0,2325.0,720.0,226800.0,710.0,5000.0,18312000.0,11223100.0
528,20230106,MTEL,720.0,0.0,720.0,705.0,705.0,27628000.0,-15.0,19574917500.0,2275.0,705.0,1384900.0,700.0,6057900.0,23936700.0,9495700.0
529,20230109,MTEL,705.0,0.0,715.0,695.0,695.0,15951500.0,-10.0,11167064500.0,1972.0,700.0,95000.0,695.0,731300.0,12767700.0,5209200.0
529,20230110,MTEL,695.0,0.0,700.0,690.0,695.0,11195500.0,0.0,7766731500.0,1356.0,695.0,2672800.0,690.0,3856800.0,9616600.0,7154200.0
530,20230111,MTEL,695.0,0.0,700.0,685.0,700.0,16658700.0,5.0,11552795500.0,1226.0,700.0,883300.0,695.0,362300.0,13736400.0,11119500.0
530,20230112,MTEL,700.0,0.0,700.0,690.0,700.0,14457300.0,0.0,10076058500.0,1277.0,700.0,5365900.0,695.0,2073100.0,13351300.0,5845900.0
530,20230113,MTEL,700.0,0.0,700.0,690.0,695.0,10507500.0,-5.0,7301328500.0,927.0,695.0,1175000.0,690.0,5349700.0,10349300.0,6154300.0
530,20230116,MTEL,695.0,0.0,695.0,685.0,690.0,18292700.0,-5.0,12607913500.0,1250.0,690.0,554900.0,685.0,6789700.0,17157200.0,8893400.0
530,20230117,MTEL,690.0,0.0,695.0,685.0,690.0,16350300.0,0.0,11287451500.0,1811.0,690.0,782500.0,685.0,7016600.0,13766800.0,5962200.0
530,20230118,MTEL,690.0,0.0,695.0,685.0,695.0,11396800.0,5.0,7876725500.0,1719.0,695.0,2565300.0,690.0,1507700.0,9046100.0,4689400.0
530,20230119,MTEL,695.0,0.0,700.0,690.0,695.0,16915700.0,0.0,11751306000.0,6243.0,695.0,4482600.0,690.0,5142900.0,14174600.0,7036600.0
530,20230120,MTEL,695.0,0.0,700.0,690.0,700.0,36178000.0,5.0,25220079000.0,1881.0,700.0,6864200.0,695.0,2855400.0,30891600.0,7505800.0
530,20230124,MTEL,700.0,0.0,700.0,690.0,695.0,15794600.0,-5.0,10982654000.0,2350.0,695.0,821300.0,690.0,7552800.0,8757700.0,5301700.0
530,20230125,MTEL,695.0,0.0,695.0,685.0,690.0,24569800.0,-5.0,16948159000.0,2263.0,690.0,2779100.0,685.0,6921700.0,20688400.0,6032700.0
530,20230126,MTEL,690.0,0.0,690.0,680.0,680.0,28240900.0,-10.0,19341332000.0,9131.0,685.0,2267300.0,680.0,13555800.0,23541600.0,7458000.0
531,20230127,MTEL,680.0,0.0,690.0,680.0,680.0,40334900.0,0.0,27554075000.0,4565.0,680.0,5937600.0,675.0,6063500.0,34321600.0,8557000.0
531,20230130,MTEL,680.0,0.0,685.0,675.0,680.0,20706300.0,0.0,14082379000.0,2589.0,680.0,720800.0,675.0,11458000.0,17651000.0,5966300.0
531,20230131,MTEL,680.0,0.0,685.0,675.0,675.0,21505000.0,-5.0,14567454000.0,1695.0,680.0,1542000.0,675.0,5024800.0,16411800.0,8546200.0
532,20230201,MTEL,675.0,0.0,680.0,670.0,680.0,16848000.0,5.0,11385396000.0,4637.0,680.0,10114600.0,675.0,367000.0,11629700.0,5683500.0
532,20230202,MTEL,680.0,0.0,680.0,670.0,675.0,24445900.0,-5.0,16450489000.0,2672.0,675.0,2381800.0,670.0,2121300.0,21584100.0,9271100.0
532,20230203,MTEL,675.0,0.0,680.0,665.0,675.0,25202300.0,0.0,16936211000.0,2602.0,675.0,246600.0,670.0,3584100.0,15289500.0,5799200.0
