No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
526,20221230,MTFN,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,316643600.0,0.0,0.0,0.0,0.0
526,20230102,MTFN,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,301644300.0,0.0,0.0,0.0,0.0
526,20230103,MTFN,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,343801100.0,0.0,0.0,0.0,0.0
526,20230104,MTFN,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,346970200.0,0.0,0.0,0.0,0.0
526,20230105,MTFN,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,341892200.0,0.0,0.0,0.0,0.0
529,20230106,MTFN,50.0,0.0,50.0,50.0,50.0,500.0,0.0,25000.0,1.0,50.0,348307200.0,0.0,0.0,0.0,0.0
530,20230109,MTFN,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,359681600.0,0.0,0.0,0.0,0.0
530,20230110,MTFN,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,357014700.0,0.0,0.0,0.0,0.0
531,20230111,MTFN,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,360149100.0,0.0,0.0,0.0,0.0
531,20230112,MTFN,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,360695200.0,0.0,0.0,0.0,0.0
531,20230113,MTFN,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,358303700.0,0.0,0.0,0.0,0.0
531,20230116,MTFN,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,304120800.0,0.0,0.0,0.0,0.0
531,20230117,MTFN,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,355372500.0,0.0,0.0,0.0,0.0
531,20230118,MTFN,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,359336100.0,0.0,0.0,0.0,0.0
531,20230119,MTFN,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,353306100.0,0.0,0.0,0.0,0.0
531,20230120,MTFN,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,349914300.0,0.0,0.0,0.0,0.0
531,20230124,MTFN,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,366151400.0,0.0,0.0,0.0,0.0
531,20230125,MTFN,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,357429000.0,0.0,0.0,0.0,0.0
531,20230126,MTFN,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,364465300.0,0.0,0.0,0.0,0.0
532,20230127,MTFN,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,368598000.0,0.0,0.0,0.0,0.0
532,20230130,MTFN,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,378143400.0,0.0,0.0,0.0,0.0
