No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
527,20221230,MTLA,390.0,0.0,390.0,386.0,386.0,273500.0,-4.0,105912200.0,37.0,386.0,1313700.0,384.0,2900.0,25200.0,5200.0
527,20230102,MTLA,386.0,0.0,386.0,360.0,386.0,275800.0,0.0,105470800.0,60.0,386.0,39500.0,376.0,2000.0,0.0,0.0
527,20230103,MTLA,386.0,0.0,386.0,370.0,382.0,73600.0,-4.0,27570600.0,21.0,380.0,100.0,374.0,1600.0,0.0,2400.0
527,20230104,MTLA,382.0,0.0,382.0,368.0,380.0,461500.0,-2.0,175946400.0,43.0,380.0,100.0,372.0,100.0,0.0,0.0
527,20230105,MTLA,380.0,0.0,380.0,364.0,376.0,800300.0,-4.0,292940200.0,30.0,376.0,200.0,366.0,15300.0,0.0,4000.0
530,20230106,MTLA,376.0,0.0,376.0,358.0,376.0,30500.0,0.0,11095400.0,42.0,376.0,108900.0,374.0,900.0,0.0,900.0
531,20230109,MTLA,376.0,0.0,370.0,362.0,364.0,85100.0,-12.0,30952800.0,46.0,372.0,100.0,364.0,14600.0,0.0,7100.0
531,20230110,MTLA,364.0,0.0,370.0,362.0,366.0,214700.0,2.0,77794200.0,30.0,366.0,10400.0,364.0,100.0,0.0,2700.0
532,20230111,MTLA,366.0,0.0,364.0,358.0,362.0,37400.0,-4.0,13495200.0,24.0,368.0,200.0,366.0,10000.0,1200.0,0.0
532,20230112,MTLA,362.0,0.0,370.0,358.0,370.0,48300.0,8.0,17597800.0,26.0,370.0,3500.0,358.0,26000.0,6600.0,0.0
532,20230113,MTLA,370.0,0.0,372.0,360.0,372.0,12100.0,2.0,4464200.0,17.0,372.0,25500.0,366.0,100.0,0.0,0.0
532,20230116,MTLA,372.0,0.0,372.0,364.0,370.0,13300.0,-2.0,4921600.0,11.0,372.0,3300.0,370.0,2700.0,900.0,0.0
532,20230117,MTLA,370.0,0.0,372.0,362.0,370.0,70200.0,0.0,26042200.0,19.0,372.0,51900.0,370.0,2300.0,5900.0,0.0
532,20230118,MTLA,370.0,0.0,372.0,370.0,372.0,23400.0,2.0,8699600.0,10.0,370.0,1400.0,366.0,2100.0,1500.0,0.0
532,20230119,MTLA,372.0,0.0,372.0,370.0,370.0,6800.0,-2.0,2516200.0,7.0,372.0,51600.0,370.0,1900.0,0.0,0.0
532,20230120,MTLA,370.0,0.0,374.0,368.0,368.0,36700.0,-2.0,13645600.0,19.0,376.0,10100.0,368.0,5000.0,0.0,0.0
532,20230124,MTLA,368.0,0.0,376.0,366.0,368.0,26300.0,0.0,9809000.0,21.0,376.0,2500.0,368.0,2000.0,1900.0,0.0
532,20230125,MTLA,368.0,0.0,368.0,368.0,368.0,800.0,0.0,294400.0,3.0,374.0,1700.0,368.0,1800.0,0.0,0.0
532,20230126,MTLA,368.0,0.0,372.0,360.0,368.0,42100.0,0.0,15308600.0,26.0,370.0,400.0,362.0,700.0,0.0,0.0
533,20230127,MTLA,368.0,0.0,378.0,370.0,370.0,51200.0,2.0,19004400.0,33.0,376.0,2700.0,368.0,11900.0,1900.0,0.0
533,20230130,MTLA,370.0,0.0,386.0,372.0,372.0,98600.0,2.0,37551800.0,43.0,380.0,45200.0,372.0,900.0,300.0,200.0
533,20230131,MTLA,372.0,0.0,396.0,372.0,388.0,167100.0,16.0,64566400.0,100.0,388.0,3800.0,386.0,1000.0,4700.0,0.0
534,20230201,MTLA,388.0,0.0,394.0,374.0,374.0,56700.0,-14.0,21957000.0,47.0,386.0,1800.0,376.0,10000.0,2600.0,100.0
534,20230202,MTLA,374.0,0.0,380.0,374.0,376.0,29200.0,2.0,10948000.0,23.0,378.0,100.0,376.0,1700.0,0.0,1700.0
534,20230203,MTLA,376.0,0.0,386.0,378.0,380.0,91600.0,4.0,34819400.0,25.0,382.0,3700.0,380.0,27700.0,0.0,1900.0
534,20230206,MTLA,380.0,0.0,390.0,382.0,382.0,99700.0,2.0,38556400.0,22.0,386.0,900.0,384.0,800.0,0.0,700.0
535,20230207,MTLA,382.0,0.0,394.0,384.0,392.0,3500.0,10.0,1352800.0,15.0,390.0,700.0,382.0,2100.0,0.0,0.0
537,20230208,MTLA,392.0,0.0,384.0,376.0,380.0,34500.0,-12.0,13158600.0,18.0,380.0,13200.0,376.0,22100.0,0.0,0.0
537,20230209,MTLA,380.0,0.0,386.0,380.0,380.0,16300.0,0.0,6197200.0,19.0,380.0,8900.0,376.0,100.0,0.0,400.0
537,20230210,MTLA,380.0,0.0,380.0,364.0,374.0,17400.0,-6.0,6417200.0,25.0,374.0,1200.0,364.0,11800.0,0.0,0.0
537,20230213,MTLA,374.0,0.0,376.0,370.0,376.0,6100.0,2.0,2264200.0,17.0,376.0,1400.0,372.0,800.0,0.0,900.0
537,20230214,MTLA,376.0,0.0,376.0,360.0,372.0,121000.0,-4.0,44219600.0,69.0,374.0,500.0,370.0,2100.0,1300.0,0.0
537,20230215,MTLA,372.0,0.0,370.0,362.0,370.0,83700.0,-2.0,30374600.0,86.0,368.0,300.0,366.0,900.0,0.0,0.0
538,20230216,MTLA,370.0,0.0,386.0,370.0,384.0,56000.0,14.0,20916400.0,32.0,384.0,5000.0,382.0,900.0,700.0,0.0
538,20230217,MTLA,384.0,0.0,382.0,370.0,380.0,19200.0,-4.0,7202000.0,35.0,380.0,5200.0,374.0,1700.0,1000.0,0.0
538,20230220,MTLA,380.0,0.0,400.0,374.0,382.0,151200.0,2.0,58437400.0,49.0,382.0,4300.0,380.0,500.0,400.0,0.0
538,20230221,MTLA,382.0,0.0,396.0,376.0,378.0,27100.0,-4.0,10295200.0,37.0,382.0,13100.0,378.0,11300.0,0.0,0.0
538,20230222,MTLA,378.0,0.0,378.0,370.0,372.0,42100.0,-6.0,15783200.0,26.0,376.0,600.0,372.0,3800.0,0.0,0.0
538,20230223,MTLA,372.0,0.0,376.0,372.0,376.0,213400.0,4.0,79389200.0,18.0,376.0,1600.0,372.0,10800.0,0.0,500.0
538,20230224,MTLA,376.0,0.0,392.0,366.0,374.0,41500.0,-2.0,15848200.0,47.0,378.0,11400.0,376.0,100.0,0.0,2800.0
539,20230227,MTLA,374.0,0.0,396.0,374.0,382.0,10100.0,8.0,3852200.0,33.0,382.0,2900.0,380.0,2400.0,0.0,0.0
539,20230228,MTLA,382.0,0.0,386.0,374.0,386.0,38500.0,4.0,14632000.0,39.0,384.0,270400.0,378.0,1000.0,2800.0,0.0
540,20230301,MTLA,386.0,0.0,386.0,374.0,378.0,47600.0,-8.0,17888800.0,33.0,380.0,600.0,378.0,3300.0,2200.0,0.0
540,20230302,MTLA,378.0,0.0,384.0,374.0,376.0,33100.0,-2.0,12577200.0,21.0,382.0,8200.0,378.0,100.0,0.0,0.0
541,20230303,MTLA,376.0,0.0,382.0,376.0,382.0,4700.0,6.0,1788600.0,15.0,380.0,4000.0,376.0,12200.0,0.0,0.0
541,20230306,MTLA,382.0,0.0,386.0,382.0,382.0,88600.0,0.0,33952400.0,43.0,384.0,2400.0,382.0,23200.0,0.0,0.0
541,20230307,MTLA,382.0,0.0,392.0,376.0,380.0,12600.0,-2.0,4766400.0,23.0,380.0,9800.0,378.0,1400.0,0.0,0.0
542,20230308,MTLA,380.0,0.0,390.0,378.0,378.0,53700.0,-2.0,20781600.0,16.0,386.0,100.0,378.0,1500.0,0.0,0.0
542,20230309,MTLA,378.0,0.0,382.0,378.0,380.0,21600.0,2.0,8229200.0,14.0,384.0,16000.0,380.0,2500.0,0.0,0.0
542,20230310,MTLA,380.0,0.0,386.0,378.0,386.0,14600.0,6.0,5620800.0,10.0,386.0,8600.0,380.0,3600.0,300.0,0.0
