No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
532,20221230,MTWI,102.0,0.0,105.0,97.0,99.0,5397200.0,-3.0,541089100.0,754.0,99.0,32800.0,98.0,385700.0,0.0,0.0
532,20230102,MTWI,99.0,0.0,101.0,98.0,100.0,2969500.0,1.0,294196500.0,324.0,101.0,156300.0,100.0,208000.0,0.0,13300.0
532,20230103,MTWI,100.0,0.0,102.0,99.0,101.0,1354700.0,1.0,136319200.0,230.0,101.0,296600.0,100.0,139600.0,6700.0,6300.0
532,20230104,MTWI,101.0,0.0,103.0,94.0,101.0,2564800.0,0.0,258104100.0,288.0,102.0,275300.0,101.0,62700.0,1000.0,600.0
532,20230105,MTWI,101.0,0.0,109.0,99.0,100.0,3347300.0,-1.0,338280600.0,348.0,100.0,126300.0,99.0,49300.0,12500.0,0.0
535,20230106,MTWI,100.0,0.0,104.0,96.0,97.0,4909400.0,-3.0,491347100.0,1206.0,98.0,18000.0,97.0,3100.0,0.0,13000.0
536,20230109,MTWI,97.0,0.0,99.0,95.0,97.0,733400.0,0.0,70913800.0,171.0,97.0,65500.0,96.0,95700.0,0.0,0.0
536,20230110,MTWI,97.0,0.0,100.0,95.0,95.0,875100.0,-2.0,84806700.0,213.0,96.0,19500.0,95.0,100.0,0.0,0.0
537,20230111,MTWI,95.0,0.0,97.0,92.0,94.0,1433300.0,-1.0,133818300.0,211.0,94.0,1900.0,93.0,105600.0,13000.0,0.0
537,20230112,MTWI,94.0,0.0,95.0,91.0,93.0,871000.0,-1.0,80590800.0,180.0,93.0,131900.0,92.0,110100.0,170000.0,10000.0
537,20230113,MTWI,93.0,0.0,101.0,90.0,93.0,4351200.0,0.0,419257100.0,764.0,94.0,31100.0,93.0,118700.0,130000.0,0.0
537,20230116,MTWI,93.0,0.0,94.0,91.0,92.0,702100.0,-1.0,64267600.0,126.0,93.0,33200.0,92.0,2300.0,0.0,0.0
537,20230117,MTWI,92.0,0.0,95.0,92.0,93.0,1002200.0,1.0,93208400.0,189.0,94.0,20600.0,92.0,308400.0,0.0,0.0
537,20230118,MTWI,93.0,0.0,101.0,92.0,95.0,10557800.0,2.0,1027153000.0,1449.0,95.0,7700.0,94.0,807900.0,0.0,0.0
537,20230119,MTWI,95.0,0.0,99.0,95.0,97.0,1972200.0,2.0,190666000.0,486.0,97.0,195200.0,96.0,9200.0,0.0,0.0
