No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
533,20221230,MYOH,1590.0,0.0,1590.0,1575.0,1590.0,15000.0,0.0,23848500.0,7.0,1595.0,10000.0,1575.0,4600.0,0.0,0.0
533,20230102,MYOH,1590.0,0.0,1600.0,1575.0,1600.0,40100.0,10.0,63657500.0,14.0,1600.0,100.0,1575.0,200.0,20000.0,0.0
533,20230103,MYOH,1600.0,0.0,1595.0,1575.0,1590.0,51100.0,-10.0,81013000.0,13.0,1590.0,500.0,1550.0,2500.0,0.0,0.0
533,20230104,MYOH,1590.0,0.0,1590.0,1575.0,1590.0,38200.0,0.0,60661500.0,11.0,1590.0,9900.0,1560.0,1300.0,0.0,0.0
533,20230105,MYOH,1590.0,0.0,1590.0,1530.0,1585.0,16500.0,-5.0,26074000.0,22.0,1590.0,28900.0,1530.0,300.0,0.0,0.0
536,20230106,MYOH,1585.0,0.0,1580.0,1550.0,1580.0,35800.0,-5.0,56426500.0,25.0,1580.0,79900.0,1550.0,2700.0,0.0,0.0
537,20230109,MYOH,1580.0,0.0,1580.0,1550.0,1575.0,35400.0,-5.0,55572000.0,16.0,1575.0,300.0,1550.0,6300.0,0.0,0.0
537,20230110,MYOH,1575.0,0.0,1575.0,1570.0,1570.0,1900.0,-5.0,2989500.0,9.0,1570.0,16900.0,1550.0,300.0,0.0,300.0
538,20230111,MYOH,1570.0,0.0,1565.0,1550.0,1565.0,10200.0,-5.0,15961000.0,3.0,1570.0,25000.0,1545.0,200.0,0.0,0.0
538,20230112,MYOH,1565.0,0.0,1565.0,1550.0,1565.0,11200.0,0.0,17525000.0,5.0,1570.0,20000.0,1540.0,4200.0,0.0,0.0
538,20230113,MYOH,1565.0,0.0,1565.0,1540.0,1565.0,13800.0,0.0,21554000.0,10.0,1570.0,20000.0,1545.0,6600.0,0.0,0.0
538,20230116,MYOH,1565.0,0.0,1560.0,1530.0,1560.0,12600.0,-5.0,19457500.0,16.0,1560.0,3000.0,1530.0,1700.0,0.0,0.0
538,20230117,MYOH,1560.0,0.0,1565.0,1555.0,1565.0,21100.0,5.0,33013500.0,6.0,1565.0,6300.0,1540.0,200.0,0.0,0.0
538,20230118,MYOH,1565.0,0.0,1565.0,1540.0,1565.0,25700.0,0.0,40191000.0,7.0,1565.0,5900.0,1545.0,5000.0,0.0,0.0
538,20230119,MYOH,1565.0,0.0,1565.0,1540.0,1560.0,22500.0,-5.0,35110000.0,5.0,1565.0,18200.0,1540.0,5600.0,0.0,0.0
538,20230120,MYOH,1560.0,0.0,1565.0,1540.0,1560.0,15200.0,0.0,23684500.0,17.0,1565.0,23000.0,1540.0,7400.0,0.0,0.0
538,20230124,MYOH,1560.0,0.0,1565.0,1545.0,1560.0,38100.0,0.0,59405000.0,16.0,1565.0,30600.0,1545.0,12100.0,0.0,0.0
538,20230125,MYOH,1560.0,0.0,1560.0,1545.0,1560.0,26100.0,0.0,40549500.0,12.0,1560.0,5100.0,1535.0,300.0,0.0,0.0
538,20230126,MYOH,1560.0,0.0,1555.0,1555.0,1555.0,20100.0,-5.0,31255500.0,2.0,1560.0,17700.0,1550.0,100.0,0.0,0.0
539,20230127,MYOH,1555.0,0.0,1555.0,1535.0,1555.0,20200.0,0.0,31408000.0,4.0,1560.0,13500.0,1540.0,400.0,0.0,0.0
539,20230130,MYOH,1555.0,0.0,1555.0,1555.0,1555.0,12600.0,0.0,19593000.0,11.0,1555.0,1000.0,1545.0,100.0,3300.0,1000.0
539,20230131,MYOH,1555.0,0.0,1560.0,1545.0,1555.0,28400.0,0.0,44137000.0,15.0,1560.0,20400.0,1555.0,100.0,1200.0,0.0
540,20230201,MYOH,1555.0,0.0,1555.0,1550.0,1550.0,1000.0,-5.0,1551000.0,6.0,1550.0,24000.0,1535.0,6100.0,800.0,100.0
540,20230202,MYOH,1550.0,0.0,1550.0,1525.0,1535.0,33600.0,-15.0,51601500.0,13.0,1535.0,100.0,1530.0,500.0,400.0,0.0
540,20230203,MYOH,1535.0,0.0,1535.0,1490.0,1535.0,51500.0,0.0,78122000.0,49.0,1535.0,2100.0,1495.0,100.0,23600.0,400.0
540,20230206,MYOH,1535.0,0.0,1535.0,1500.0,1535.0,24200.0,0.0,37014500.0,36.0,1535.0,1200.0,1500.0,300.0,0.0,0.0
541,20230207,MYOH,1535.0,0.0,1535.0,1500.0,1535.0,25900.0,0.0,39558500.0,40.0,1535.0,1100.0,1505.0,400.0,0.0,200.0
543,20230208,MYOH,1535.0,0.0,1530.0,1505.0,1525.0,30400.0,-10.0,46160500.0,16.0,1525.0,3200.0,1510.0,400.0,0.0,0.0
543,20230209,MYOH,1525.0,0.0,1545.0,1510.0,1545.0,21100.0,20.0,32576000.0,14.0,1545.0,1500.0,1510.0,400.0,0.0,0.0
543,20230210,MYOH,1545.0,0.0,1565.0,1500.0,1565.0,80000.0,20.0,123322500.0,91.0,1565.0,21300.0,1490.0,800.0,3100.0,0.0
543,20230213,MYOH,1565.0,0.0,1565.0,1500.0,1520.0,148900.0,-45.0,224575000.0,110.0,1520.0,12700.0,1495.0,1100.0,55000.0,5000.0
