No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
537,20221230,MYTX,53.0,0.0,55.0,54.0,54.0,135800.0,1.0,7367500.0,16.0,56.0,20100.0,55.0,12000.0,0.0,0.0
537,20230102,MYTX,54.0,0.0,56.0,52.0,53.0,60700.0,-1.0,3235500.0,15.0,56.0,20300.0,53.0,128100.0,0.0,0.0
537,20230103,MYTX,53.0,0.0,54.0,53.0,54.0,6500.0,1.0,345800.0,3.0,54.0,13000.0,53.0,3100.0,0.0,0.0
537,20230104,MYTX,54.0,0.0,54.0,54.0,54.0,200.0,0.0,10800.0,2.0,54.0,9900.0,53.0,33200.0,0.0,0.0
537,20230105,MYTX,54.0,0.0,54.0,53.0,53.0,46400.0,-1.0,2487800.0,8.0,54.0,13700.0,53.0,113000.0,0.0,0.0
540,20230106,MYTX,53.0,0.0,53.0,52.0,52.0,167400.0,-1.0,8730300.0,21.0,52.0,42400.0,51.0,246800.0,0.0,0.0
541,20230109,MYTX,52.0,0.0,53.0,53.0,53.0,5200.0,1.0,275600.0,4.0,53.0,496000.0,52.0,80100.0,0.0,0.0
541,20230110,MYTX,53.0,0.0,53.0,52.0,52.0,51100.0,-1.0,2657300.0,6.0,53.0,495800.0,52.0,19300.0,0.0,0.0
542,20230111,MYTX,52.0,0.0,52.0,52.0,52.0,28600.0,0.0,1487200.0,4.0,52.0,23200.0,51.0,100000.0,0.0,0.0
542,20230112,MYTX,52.0,0.0,53.0,52.0,52.0,17200.0,0.0,896000.0,10.0,53.0,538800.0,52.0,5000.0,0.0,0.0
542,20230113,MYTX,52.0,0.0,53.0,52.0,52.0,22200.0,0.0,1159900.0,7.0,53.0,539500.0,52.0,484900.0,0.0,0.0
542,20230116,MYTX,52.0,0.0,55.0,53.0,53.0,183300.0,1.0,9731500.0,360.0,53.0,377600.0,52.0,205000.0,0.0,0.0
542,20230117,MYTX,53.0,0.0,53.0,52.0,53.0,63100.0,0.0,3326400.0,8.0,53.0,373100.0,52.0,107600.0,0.0,0.0
542,20230118,MYTX,53.0,0.0,53.0,52.0,52.0,62500.0,-1.0,3250100.0,7.0,53.0,373000.0,52.0,24600.0,0.0,0.0
542,20230119,MYTX,52.0,0.0,53.0,52.0,52.0,41100.0,0.0,2152200.0,114.0,53.0,395100.0,52.0,94300.0,0.0,0.0
542,20230120,MYTX,52.0,0.0,52.0,51.0,52.0,93700.0,0.0,4822400.0,8.0,52.0,16600.0,51.0,82300.0,0.0,0.0
